Reaction,CN10,CN11,CN13,CN14,CN15,CN17,CN18,CN19,CN2,CN20,CN21,CN22,CN23,CN24,CN25,CN26,CN27,CN28,CN3,CN30,CN4,CN5,CN6,CN7,CN8,CN9,CT1,CT11,CT12,CT15,CT16,CT17,CT2,CT20,CT21,CT22,CT23,CT24,CT25,CT26,CT27,CT28,CT29,CT30,CT4,CT5,CT6,CT7,CT9,Normal_Random_Mean,Cancer_Random_Mean,Normal_All_Mean,Cancer_All_Mean
10FTHF5GLUtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF5GLUtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF6GLUtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF6GLUtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF7GLUtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF7GLUtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHFtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHFtm,0.0,0.01842550853958424,0.0,0.0,-0.03126322569155366,0.0,-0.026109530769745173,0.0,0.0,0.0,0.0,0.0,0.0,-0.012233855788233265,0.0,-0.00039496914303291055,-0.006464766206408715,0.0,0.02690253965203303,0.009202404559548776,0.04097055600766985,0.0,0.0,0.0,0.0,0.0,-0.015878612788037486,-8.994699209909933e-05,-0.020120571827435582,-0.003445699393978771,-0.006178550226303148,-0.0007417055053139936,-0.012364697679977048,-0.014301213113815499,-0.000171344956035375,-0.032675021193914834,-0.021900753080821726,-0.0002274565523943904,-0.01004702514143327,-0.0002239778049741745,-0.01583397562693115,-0.03710439904473635,-0.0007983062725279404,-0.021193941889772132,-0.01750322945339256,-0.049775407460643045,-0.0021860986350127937,-0.012690328241259456,-0.004115218408966812,0.0015296207419297574,,-0.0058895076977172525,
11DOCRTSLtm,0.00010297833623595126,0.00027541385443719283,5.143032566468097e-05,0.0020761284127249176,0.0001222991900391291,0.00030895491390596925,0.00013681237406452557,0.00037266195723540193,0.0002503846840044146,0.00021037350948684564,0.005732203638638908,0.00018251923844891742,0.0006027170032598223,0.0007574939724865685,9.676982804563774e-05,0.0007471379941763644,0.0008168067072233544,0.0006917414618287581,0.0004659022371858931,0.0015260915004647706,0.000476612950743762,0.0006395092461002251,0.0005233151939629284,3.5073565955237815e-05,0.0009433066193131491,2.104294343389316e-05,0.0009921439129052054,0.00020547808367698408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007071547399264892,0.0,0.0007622595660849357,0.00010724094341717894,0.0005420108996571709,0.0011389372243995467,0.0010462340751467116,0.0,0.0,0.00020893695864736256,0.0,0.0,0.00013577331403901504,0.0007428906971715957,,0.0005017621757896963,
11DOCRTSLtr,-0.00010297833623595126,-0.00027541385443719283,-5.143032566468097e-05,-0.0020761284127249176,-0.0001222991900391291,-0.00030895491390596925,-0.00013681237406452557,-0.00037266195723540193,-0.0002503846840044146,-0.00021037350948684564,-0.005732203638638908,-0.00018251923844891742,-0.0006027170032598223,-0.0007574939724865685,-9.676982804563774e-05,-0.0007471379941763644,-0.0008168067072233544,-0.0006917414618287581,-0.0004659022371858931,-0.0015260915004647706,-0.000476612950743762,-0.0006395092461002251,-0.0005233151939629284,-3.5073565955237815e-05,-0.0009433066193131491,-2.104294343389316e-05,-0.0009921439129052054,-0.00020547808367698408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007071547399264892,0.0,-0.0007622595660849357,-0.00010724094341717894,-0.0005420108996571709,-0.0011389372243995467,-0.0010462340751467116,0.0,0.0,-0.00020893695864736256,0.0,0.0,-0.00013577331403901504,-0.0007428906971715957,,-0.0005017621757896963,
11DOCRTSTRNtm,8.756406337333661e-05,0.0001921158335579996,0.000125880535284621,0.0007010952039563878,0.00010340996879413146,0.0005095750501050669,0.0001379543588924092,0.001162754199630406,9.904845756334858e-05,0.0003130053965386782,0.0005745377526718796,0.00017788599723164415,0.0010830612730695429,0.00030483939638244623,6.0186925356542446e-05,0.000583571222449928,0.0010450983601148595,0.00032185120946195977,0.00019325929693777167,0.0013934003072231219,0.0004335609726661686,0.0008592829542063208,0.0004226636943342183,5.974432344013637e-05,0.00031263598551512124,6.208075219967892e-05,0.00020279817975132712,0.000419852955266189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040775250673366934,0.0,0.0012331868582024974,4.8986736312935836e-05,0.0007669018656597575,0.00015894008840242852,0.00021980928490738982,0.0,0.0,0.00014468722633329676,0.0,0.0,0.00018257518374272306,0.0004859651483772558,,0.0003211000352858749,
11DOCRTSTRNtr,-8.756406337333661e-05,-0.0001921158335579996,-0.000125880535284621,-0.0007010952039563878,-0.00010340996879413146,-0.0005095750501050669,-0.0001379543588924092,-0.001162754199630406,-9.904845756334858e-05,-0.0003130053965386782,-0.0005745377526718796,-0.00017788599723164415,-0.0010830612730695429,-0.00030483939638244623,-6.0186925356542446e-05,-0.000583571222449928,-0.0010450983601148595,-0.00032185120946195977,-0.00019325929693777167,-0.0013934003072231219,-0.0004335609726661686,-0.0008592829542063208,-0.0004226636943342183,-5.974432344013637e-05,-0.00031263598551512124,-6.208075219967892e-05,-0.00020279817975132712,-0.000419852955266189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00040775250673366934,0.0,-0.0012331868582024974,-4.8986736312935836e-05,-0.0007669018656597575,-0.00015894008840242852,-0.00021980928490738982,0.0,0.0,-0.00014468722633329676,0.0,0.0,-0.00018257518374272306,-0.0004859651483772558,,-0.0003211000352858749,
12HPETATP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.247144105991475e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0108238655554176e-05,0.0,,2.6731591418067485e-06,
12HPETUPKt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
13DAMPPOX,0.0010542339648068435,0.0,0.0007355381846319848,0.0008134686239648721,0.00533910489698989,0.0,0.001772886777016806,0.0,0.00567753270438534,0.006378890385670808,0.0012326111209966812,0.003172725768376181,0.007514360282103499,0.004148673690497796,0.0,0.00685822793094996,0.01329176900402652,0.0,0.0,0.0,0.0,0.007123867894255404,0.01440762982411118,0.000792212961977175,0.0,0.001382043391423463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003605765888715291,,0.001709037006856552,
15HPETATP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005535476306930116,0.0,0.00024874673653650094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.6307584029717943e-05,
15HPETUPKt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
15KPROSTGF2c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
15KPROSTGF2t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
1a_24_25VITD3Hm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022370194522134796,0.0,0.0004035434018879651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002942313094279991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010690243707600932,,5.970189216849143e-05,
