Reaction,LIN10,LIN11,LIN12,LIN13,LIN16,LIN18,LIN19,LIN2,LIN21,LIN22,LIN23,LIN24,LIN25,LIN26,LIN27,LIN29,LIN3,LIN4,LIN5,LIN6,LIN7,LIN8,LIN9,LIT1,LIT10,LIT11,LIT13,LIT14,LIT16,LIT17,LIT18,LIT19,LIT2,LIT21,LIT22,LIT24,LIT25,LIT26,LIT28,LIT29,LIT3,LIT30,LIT4,LIT5,LIT6,LIT7,LIT8,LIT9,Normal_Random_Mean,Cancer_Random_Mean,Normal_All_Mean,Cancer_All_Mean
10FTHF5GLUtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF5GLUtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF6GLUtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF6GLUtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF7GLUtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF7GLUtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHFtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHFtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005670975924653527,-0.24481975464915387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003093402270338053,0.0,-0.0008042174218968217,0.0,0.0,0.0,,-0.005618217998929598,
11DOCRTSLtm,3.9916762050488476e-05,0.00014056481424606774,0.00010214749391212281,2.6309798322016788e-05,2.4617030689568876e-05,0.0,5.2787246789901335e-05,5.6999825927048326e-05,0.0,3.0209120584349135e-05,8.611807858202113e-05,2.730328031149246e-05,1.8348275510383145e-05,0.0,9.176398931848312e-05,5.547032536011119e-05,7.619176881621493e-05,0.00019752846097546232,0.0,6.416952643032854e-05,3.026236822678747e-05,6.74912110587916e-05,0.0,0.0,0.0,0.0,6.47884554310517e-05,0.0,5.371974438687976e-05,0.0,0.0,0.000474366711713532,0.0,9.222256402298759e-05,0.00014447757191071367,0.0006012920928256858,9.599000395281249e-05,0.00026615853009531287,8.611451402624396e-05,0.0,0.0,0.0,0.0006581082070576739,0.0,0.0,0.0,0.0,5.783249808968569e-05,4.966649355726572e-05,,8.379718090407664e-05,
11DOCRTSLtr,-3.9916762050488476e-05,-0.00014056481424606774,-0.00010214749391212281,-2.6309798322016788e-05,-2.4617030689568876e-05,0.0,-5.2787246789901335e-05,-5.6999825927048326e-05,0.0,-3.0209120584349135e-05,-8.611807858202113e-05,-2.730328031149246e-05,-1.8348275510383145e-05,0.0,-9.176398931848312e-05,-5.547032536011119e-05,-7.619176881621493e-05,-0.00019752846097546232,0.0,-6.416952643032854e-05,-3.026236822678747e-05,-6.74912110587916e-05,0.0,0.0,0.0,0.0,-6.47884554310517e-05,0.0,-5.371974438687976e-05,0.0,0.0,-0.000474366711713532,0.0,-9.222256402298759e-05,-0.00014447757191071367,-0.0006012920928256858,-9.599000395281249e-05,-0.00026615853009531287,-8.611451402624396e-05,0.0,0.0,0.0,-0.0006581082070576739,0.0,0.0,0.0,0.0,-5.783249808968569e-05,-4.966649355726572e-05,,-8.379718090407664e-05,
