Reaction,PN1,PN11,PN12,PN13,PN14,PN15,PN16,PN17,PN18,PN19,PN2,PN20,PN21,PN22,PN23,PN24,PN25,PN26,PN27,PN28,PN29,PN3,PN30,PN4,PN5,PN6,PN7,PN8,PN9,PT1,PT10,PT11,PT12,PT14,PT15,PT16,PT17,PT18,PT2,PT20,PT22,PT23,PT24,PT25,PT27,PT28,PT29,PT3,PT30,PT4,PT5,PT6,PT7,PT8,Normal_Random_Mean,Cancer_Random_Mean,Normal_All_Mean,Cancer_All_Mean
11DOCRTSTRNtr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002674404062079817,0.0,0.0,0.0,-0.00010745810577523887,0.0,-0.00041487558019158145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.36080945135617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004124700703663257,0.0,0.0,0.0,0.0,0.0,0.0,-3.1504814631185e-05,,-2.280855802454577e-05,
12HPETATP,0.00010927151654460882,0.0,0.0,7.189891429076824e-05,0.0,0.0,0.0,0.000570124686756202,0.0,0.0,0.0008614542445200564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014449935622719216,0.0,0.0,0.0,0.0,0.0,0.0004446614986111333,0.0,0.0,6.132603335603072e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009174124627031957,0.0,0.0,0.0,0.0,0.000471480414959647,0.0,0.0,0.0,0.00023974166793718315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014125470936454253,,0.00010242693502185394,
12HPETUPKt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
13DAMPPOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
15HPETATP,0.0005350840844822498,0.00016248038397401806,0.0,0.0002594033093051938,0.0017797493051933465,0.0,0.0012352182259753486,0.001211589177441324,0.0,0.00025400638118470195,0.0,0.00017471024709888705,0.0004900520672925023,0.0,0.0,0.0,1.6616348129633527e-05,7.71219960770097e-05,0.0,0.0005387894237073134,0.0,0.0,0.0,0.0,0.0,0.0,0.0004984176353363391,0.00015748102986237812,0.0,0.0,0.0,0.00015386827245380793,0.0,0.0,0.0,0.0014910947215858125,0.00024292237428421467,0.0008977376872353085,0.0,3.4466543979970916e-05,0.0,0.0,0.0,0.0,0.0002231146677964537,0.000224606292322398,0.00012006090580734941,0.0,0.0,0.00017220924900807354,0.000535540665194619,0.0,0.00036540523162186873,0.0009016428393002615,0.0002647597197935218,,0.00024936914097050794,
15HPETUPKt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
15KPROSTGF2c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
15KPROSTGF2t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
1a_24_25VITD3Hm,0.0002580783218222193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043875315046847595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010122551399503271,0.0,4.342194963525333e-05,0.0,5.33642526889667e-05,0.00011423022242194343,0.0,8.984216437776868e-05,0.0,0.00020333802488887065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.707674303626801e-05,,2.3374208331103095e-05,
1a_25VITD3Hm,0.00026911777275946875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009393667482979968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002624848986266502,0.00014773130597829146,7.584061451248227e-05,0.0,0.00022919628200546852,0.0005388959346808137,0.0,0.0001335282273313828,0.0,0.00017297475436980927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.111114839221559e-05,,4.978668407388203e-05,
