Reaction,KN1,KN10,KN11,KN12,KN13,KN14,KN15,KN16,KN17,KN18,KN19,KN2,KN21,KN22,KN23,KN24,KN25,KN26,KN27,KN28,KN3,KN30,KN4,KN5,KN6,KN7,KN8,KN9,KT1,KT11,KT15,KT16,KT17,KT19,KT2,KT20,KT21,KT22,KT23,KT26,KT27,KT28,KT29,KT30,KT4,KT6,KT7,KT8,KT9,Normal_Random_Mean,Cancer_Random_Mean,Normal_All_Mean,Cancer_All_Mean
10FTHF5GLUtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF5GLUtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF6GLUtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF6GLUtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF7GLUtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHF7GLUtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHFtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
10FTHFtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002919224988643305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008633841465445147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003991227398838938,0.0,-0.002706479401345125,0.0,-0.009491227692766783,0.0,-0.053076191834016725,-0.016450734844483814,-0.01966191010968564,0.0,-0.01941546244201918,-0.019077046392892826,-0.07700243483087718,0.0,-0.009415509377730438,0.0,-0.002489730546960422,0.0,0.0,-0.003674511789796625,0.021201672014029425,-0.000503255786721178,,-0.0046493988687206856,
11DOCRTSLtm,0.0002718588982773591,0.0006068705361503948,0.0,0.0,0.0007661463864900742,3.672936907314784e-05,0.0005308932675674974,0.00011219585675566299,0.00017181945632177806,0.0,0.0004620849476606681,0.0,0.00024251308698756618,0.0012603502116517804,0.00018930928021176826,0.00012839486726540092,0.0007857443696701139,0.0,0.0,0.0,0.00042084792309966796,7.787325679900154e-05,0.00012579155178293414,0.0,7.223219270477841e-05,1.6413481638673534e-05,0.0,0.0010121756928362694,0.00013298003981110847,9.960965502626276e-05,6.377018881443718e-05,0.000481120613981829,0.001287212280223419,0.0001459448332411449,0.0010115518416741413,0.00048315324436720003,0.00022145588319298507,0.00011387144669279898,0.001261981541138525,0.00037518203926604956,0.0,0.00040034925658786205,0.0034054009096045387,0.00029389406510688386,0.0005863389088082045,0.000673028115795337,0.0015035058472430529,0.0005308093868937165,0.0010874497136741416,0.0002635049980684713,,0.00044131259251736055,
11DOCRTSLtr,-0.0002718588982773591,-0.0006068705361503948,0.0,0.0,-0.0007661463864900742,-3.672936907314784e-05,-0.0005308932675674974,-0.00011219585675566299,-0.00017181945632177806,0.0,-0.0004620849476606681,0.0,-0.00024251308698756618,-0.0012603502116517804,-0.00018930928021176826,-0.00012839486726540092,-0.0007857443696701139,0.0,0.0,0.0,-0.00042084792309966796,-7.787325679900154e-05,-0.00012579155178293414,0.0,-7.223219270477841e-05,-1.6413481638673534e-05,0.0,-0.0010121756928362694,-0.00013298003981110847,-9.960965502626276e-05,-6.377018881443718e-05,-0.000481120613981829,-0.001287212280223419,-0.0001459448332411449,-0.0010115518416741413,-0.00048315324436720003,-0.00022145588319298507,-0.00011387144669279898,-0.001261981541138525,-0.00037518203926604956,0.0,-0.00040034925658786205,-0.0034054009096045387,-0.00029389406510688386,-0.0005863389088082045,-0.000673028115795337,-0.0015035058472430529,-0.0005308093868937165,-0.0010874497136741416,-0.0002635049980684713,,-0.00044131259251736055,
11DOCRTSTRNtm,0.00012522950765145186,0.00043857524397756024,0.0,0.0,0.0004348177580572015,8.192995848419175e-05,0.0001456247949750273,0.00018597885565553612,7.982521203132265e-05,0.0,0.00021028264286252212,0.0,0.0001451123219412318,0.00041300528191557,6.739864643850095e-05,0.00010266976844832872,0.0008724588631937014,0.0,0.0,0.0,0.00048492341287838936,0.00011008532333286515,0.0003582340439382884,0.0,3.5753208814651166e-05,5.232276419778444e-05,0.0,0.00041777723687680694,0.00010997464270252103,7.283055929584966e-05,0.0005923578334390023,0.00014843457567258777,0.0001866692484176971,0.0003444850968046971,0.00022359814686866123,0.0007489991592081272,2.9598821982209037e-05,0.0004601301650509684,0.0003680020188056554,0.0009765294672861981,0.0,0.00036027691942832187,0.0012517665037004337,0.0002980777225717884,0.00013619259526221727,0.0004265495871596941,0.0009927272813427203,0.00035368026314674185,0.0014250039394741003,0.00016707038505386692,,0.0002950173508024474,
11DOCRTSTRNtr,-0.00012522950765145186,-0.00043857524397756024,0.0,0.0,-0.0004348177580572015,-8.192995848419175e-05,-0.0001456247949750273,-0.00018597885565553612,-7.982521203132265e-05,0.0,-0.00021028264286252212,0.0,-0.0001451123219412318,-0.00041300528191557,-6.739864643850095e-05,-0.00010266976844832872,-0.0008724588631937014,0.0,0.0,0.0,-0.00048492341287838936,-0.00011008532333286515,-0.0003582340439382884,0.0,-3.5753208814651166e-05,-5.232276419778444e-05,0.0,-0.00041777723687680694,-0.00010997464270252103,-7.283055929584966e-05,-0.0005923578334390023,-0.00014843457567258777,-0.0001866692484176971,-0.0003444850968046971,-0.00022359814686866123,-0.0007489991592081272,-2.9598821982209037e-05,-0.0004601301650509684,-0.0003680020188056554,-0.0009765294672861981,0.0,-0.00036027691942832187,-0.0012517665037004337,-0.0002980777225717884,-0.00013619259526221727,-0.0004265495871596941,-0.0009927272813427203,-0.00035368026314674185,-0.0014250039394741003,-0.00016707038505386692,,-0.0002950173508024474,
12HPETATP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
12HPETUPKt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
13DAMPPOX,0.006895659609140092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019899509864541444,0.0,0.0,0.0,3.0681354128233675e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012790163735814332,0.0008566291691539733,0.0,0.0012134163245847986,0.007514038718379983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003337018022160419,0.0,0.0,0.0,0.0,0.0,0.0017141809869590954,0.0,0.00040857200064879385,,0.000756549486879775,
15HPETATP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
15HPETUPKt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
15KPROSTGF2c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
15KPROSTGF2t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
