CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
CT28,CN15,ADK3,10FTHFtm,0,-0.00241752291913144,0.00241752291913144
CT28,CN15,ADK3,11DOCRTSLtm,0,0,0
CT28,CN15,ADK3,11DOCRTSLtr,0,0,0
CT28,CN15,ADK3,11DOCRTSTRNtm,0,0,0
CT28,CN15,ADK3,11DOCRTSTRNtr,0,0,0
CT28,CN15,ADK3,3DSPHR,0.000652294258348218,0.00018721680527252,0.000465077453075697
CT28,CN15,ADK3,3HAD100,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3HAD120,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3HAD140,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3HAD40,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3HAD60,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3HAD80,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3HLYTCL,0,0,0
CT28,CN15,ADK3,3MHISt1,-0.0203507154122917,-0.00861897520371713,-0.0117317402085746
CT28,CN15,ADK3,3MHISt2,-0.0203507154122917,-0.00584091592975255,-0.0145097994825392
CT28,CN15,ADK3,3OAR100,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3OAR120,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3OAR140,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3OAR40,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3OAR60,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3OAR80,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3OAS100,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3OAS120,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3OAS140,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3OAS60,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,3OAS80,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,4MPTNLte,0.00347728828558047,0,0.00347728828558047
CT28,CN15,ADK3,4MPTNLtm,-0.00347728828558047,0,-0.00347728828558047
CT28,CN15,ADK3,5AOPtm,0,0,0
CT28,CN15,ADK3,ABO1g,0,0,0
CT28,CN15,ADK3,ABO2g,0,0,0
CT28,CN15,ADK3,ACACT1rm,0.0254299387372612,0.0013105604635939,0.0241193782736673
CT28,CN15,ADK3,ACALDt,0,0,0
CT28,CN15,ADK3,ACCOAC,0.144718016307516,0.124197177861372,0.0205208384461444
CT28,CN15,ADK3,ACGAM2E,0,0,0
CT28,CN15,ADK3,ACGAM6PSi,0,0,0
CT28,CN15,ADK3,ACGAMPM,0,0,0
CT28,CN15,ADK3,ACGAMtly,0,0,0
CT28,CN15,ADK3,ACHtn,0.16872896998234,0.0523590564790766,0.116369913503263
CT28,CN15,ADK3,ACITL,0,NaN,NaN
CT28,CN15,ADK3,ACMAT1,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,ACNAM9PL,0,NaN,NaN
CT28,CN15,ADK3,ACNAMPH,0,NaN,NaN
CT28,CN15,ADK3,ACOATA,0.0240109536748614,0.0060534218860471,0.0179575317888143
CT28,CN15,ADK3,ACOATE100,0,NaN,NaN
CT28,CN15,ADK3,ACOATE100p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE120,0,NaN,NaN
CT28,CN15,ADK3,ACOATE120p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE140p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE160p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE161,0,NaN,NaN
CT28,CN15,ADK3,ACOATE161p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE180,0,NaN,NaN
CT28,CN15,ADK3,ACOATE180p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE181,0,NaN,NaN
CT28,CN15,ADK3,ACOATE1812,0,NaN,NaN
CT28,CN15,ADK3,ACOATE18121p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE18122p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE1813,0,NaN,NaN
CT28,CN15,ADK3,ACOATE1813p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE181p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE1822p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE1831,0,NaN,NaN
CT28,CN15,ADK3,ACOATE1831p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE1832,0,NaN,NaN
CT28,CN15,ADK3,ACOATE1832p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE184,0,NaN,NaN
CT28,CN15,ADK3,ACOATE184p,0,NaN,NaN
CT28,CN15,ADK3,ACOATE203,0,NaN,NaN
CT28,CN15,ADK3,ACOATE223,0,NaN,NaN
CT28,CN15,ADK3,ACOATE80,0,NaN,NaN
CT28,CN15,ADK3,ACOATE80p,0,NaN,NaN
CT28,CN15,ADK3,ACONTa,-0.16872896998234,-0.0523590564790766,-0.116369913503263
CT28,CN15,ADK3,ACONTb,0.16872896998234,0.0523590564790766,0.116369913503263
CT28,CN15,ADK3,ADHAPtx,0,NaN,NaN
CT28,CN15,ADK3,ADK1,0.269892864550326,NaN,NaN
CT28,CN15,ADK3,ADMDC,0,0,0
CT28,CN15,ADK3,ADNCYC,0,NaN,NaN
CT28,CN15,ADK3,ADNK1,0,NaN,NaN
CT28,CN15,ADK3,ADPT,0,0.00552290646220784,-0.00552290646220784
CT28,CN15,ADK3,ADPt4,0.162398328491349,0.556572928177957,-0.394174599686608
CT28,CN15,ADK3,ADSK,0,0,0
CT28,CN15,ADK3,ADSL1,0.00541482252663528,0.0461435891654297,-0.0407287666387944
CT28,CN15,ADK3,ADSL2,0.0386089114303322,0.00120876145954799,0.0374001499707842
CT28,CN15,ADK3,ADSS,0.00541482252663528,0.0461435891654297,-0.0407287666387944
CT28,CN15,ADK3,AGLPC,0,NaN,NaN
CT28,CN15,ADK3,AGLPH,0,NaN,NaN
CT28,CN15,ADK3,AGLPR,0,NaN,NaN
CT28,CN15,ADK3,AGLPT,0,NaN,NaN
CT28,CN15,ADK3,AGPAT1,0.00989326636555039,0.00283949413775103,0.00705377222779936
CT28,CN15,ADK3,AGPex,0,NaN,NaN
CT28,CN15,ADK3,AGPSx,0,NaN,NaN
CT28,CN15,ADK3,AHC,0,0.00552290646226083,-0.00552290646226083
CT28,CN15,ADK3,AHCYStn,0,NaN,NaN
CT28,CN15,ADK3,AICART,0.0386089114302877,0.00120876145956572,0.0374001499707219
CT28,CN15,ADK3,AIRCr,0.0386089114302877,0.00120876145956572,0.0374001499707219
CT28,CN15,ADK3,AK2LGCHOLt,0,NaN,NaN
CT28,CN15,ADK3,AKGDa1,0,0.140019187420607,-0.140019187420607
CT28,CN15,ADK3,AKGDa2,0,0.140019187420648,-0.140019187420648
CT28,CN15,ADK3,AKGDb,0,-0.140019187420648,0.140019187420648
CT28,CN15,ADK3,AKGSUCCtm,0.00633064149110396,NaN,NaN
CT28,CN15,ADK3,ALAARGGLYr,0,NaN,NaN
CT28,CN15,ADK3,ALAARGGLYt,0,NaN,NaN
CT28,CN15,ADK3,ALABte,0,0,0
CT28,CN15,ADK3,ALASm,0,0,0
CT28,CN15,ADK3,ALAt4,998.976599725825,0,998.976599725825
CT28,CN15,ADK3,ALAtN1,-998.964068446588,NaN,NaN
CT28,CN15,ADK3,ALATRS,0.0188619207279314,0.00541361279022901,0.0134483079377024
CT28,CN15,ADK3,AMANK,0,NaN,NaN
CT28,CN15,ADK3,AMETEPMT,0,-0.000592871061144251,0.000592871061144251
CT28,CN15,ADK3,AMETt2m,0,0.00730151964569359,-0.00730151964569359
CT28,CN15,ADK3,AMETtn,0,NaN,NaN
CT28,CN15,ADK3,AMID6,0.00633064149107773,NaN,NaN
CT28,CN15,ADK3,ARGATB0tc,0.0134017634252648,NaN,NaN
CT28,CN15,ADK3,ARGTRS,0.0134017634252648,0.00384647772287577,0.00955528570238906
CT28,CN15,ADK3,ARSA,0,NaN,NaN
CT28,CN15,ADK3,ASNt4,0.0104234279805364,0.00299165731037674,0.00743177067015964
CT28,CN15,ADK3,ASNTRS,0.0104234279805364,0.00299165731037674,0.00743177067015964
CT28,CN15,ADK3,ASPCTr,0.00429049663296155,0.00123142747679594,0.00305906915616561
CT28,CN15,ADK3,ASPPROASCT1,0.0614679237407994,0,0.0614679237407994
CT28,CN15,ADK3,ASPTRS,0.013153693150873,0.00377527837739582,0.00937841477347716
CT28,CN15,ADK3,ATP1ter,0,0,0
CT28,CN15,ADK3,ATPAMPtp,0,NaN,NaN
CT28,CN15,ADK3,ATPS4m,0.1623983284913,0.637882484356085,-0.475484155864785
CT28,CN15,ADK3,ATPt4,-0.162398328491349,-0.637882484356055,0.475484155864706
CT28,CN15,ADK3,ATPtm,0,NaN,NaN
CT28,CN15,ADK3,ATPtn,0.16872896998234,0.0523590564790766,0.116369913503263
CT28,CN15,ADK3,B3GALTg,0,0,0
CT28,CN15,ADK3,B3GNT39g,0,0,0
CT28,CN15,ADK3,B3GNT51g,0,0,0
CT28,CN15,ADK3,BAMPPALDOX,0,0,0
