CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
CT30,CN22,ADK3,10FTHFtm,-0.00751503787876118,NaN,NaN
CT30,CN22,ADK3,1PPDCRp,0.0113645416222569,NaN,NaN
CT30,CN22,ADK3,2HYOXPLCte,0,NaN,NaN
CT30,CN22,ADK3,2OXOADPTm,0.0113645416222425,NaN,NaN
CT30,CN22,ADK3,34DHOXMANDte,0.0936790207143758,NaN,NaN
CT30,CN22,ADK3,34DHPHAMT,0.0032230801274832,0,0.0032230801274832
CT30,CN22,ADK3,34DHPLACOX,0.0032230801274832,0,0.0032230801274832
CT30,CN22,ADK3,34DHXMANDACOX,0.0936790207143364,NaN,NaN
CT30,CN22,ADK3,3DSPHR,0.000339261380847637,3.50132392935047e-05,0.000304248141554133
CT30,CN22,ADK3,3HAD100,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3HAD120,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3HAD140,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3HAD224n6p,0,NaN,NaN
CT30,CN22,ADK3,3HAD241n9p,0,0,0
CT30,CN22,ADK3,3HAD245n6p,0,NaN,NaN
CT30,CN22,ADK3,3HAD40,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3HAD60,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3HAD80,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3HDH241n9p,0,NaN,NaN
CT30,CN22,ADK3,3HDH245n6p,0,NaN,NaN
CT30,CN22,ADK3,3HGLUTCOAm,0,NaN,NaN
CT30,CN22,ADK3,3HLYTCL,0.0969021008418196,0,0.0969021008418196
CT30,CN22,ADK3,3OAR100,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3OAR120,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3OAR140,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3OAR40,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3OAR60,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3OAR80,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3OAS100,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3OAS120,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3OAS140,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3OAS60,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3OAS80,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,3OHGLUTACm,0,NaN,NaN
CT30,CN22,ADK3,3OHGLUTACOAT3t,0,NaN,NaN
CT30,CN22,ADK3,3OHGLUTACtm,0,NaN,NaN
CT30,CN22,ADK3,41R2A1H12BOOX,0.0936790207143364,NaN,NaN
CT30,CN22,ADK3,42A12BOOX,0.0032230801274832,0,0.0032230801274832
CT30,CN22,ADK3,4HPRO_LTte,0,NaN,NaN
CT30,CN22,ADK3,4HPROLTASCT1,0,NaN,NaN
CT30,CN22,ADK3,4MPTNLte,0,0,0
CT30,CN22,ADK3,4MPTNLtm,0,0,0
CT30,CN22,ADK3,5AOPtm,0,0,0
CT30,CN22,ADK3,5HTRPVESSEC,0,0,0
CT30,CN22,ADK3,5MTHFt,499.977253762474,NaN,NaN
CT30,CN22,ADK3,5MTHFt2,-499.977253762474,NaN,NaN
CT30,CN22,ADK3,AASAD3m,0.0113645416222569,NaN,NaN
CT30,CN22,ADK3,AATAi,0.0113645416222569,NaN,NaN
CT30,CN22,ADK3,ABO2g,0,0,0
CT30,CN22,ADK3,ABUTt4_2_r,0,0,0
CT30,CN22,ADK3,ACACT1rm,0.00237490727351997,0.000245100684537647,0.00212980658898232
CT30,CN22,ADK3,ACACT224n6p,0,0,0
CT30,CN22,ADK3,ACACT245n6p,0,NaN,NaN
CT30,CN22,ADK3,ACCOAC,0.0752200703627787,0.00792476594782867,0.06729530441495
CT30,CN22,ADK3,ACCOAL2,0.0456611139135314,0.0083700654304653,0.0372910484830661
CT30,CN22,ADK3,ACGAM2E,0,0,0
CT30,CN22,ADK3,ACGAM6PSi,0,0,0
CT30,CN22,ADK3,ACGAMK,0,NaN,NaN
CT30,CN22,ADK3,ACGAMPM,0,0,0
CT30,CN22,ADK3,ACGAMtly,0,0,0
CT30,CN22,ADK3,ACHe,0,0,0
CT30,CN22,ADK3,ACHVESSEC,0,0,0
CT30,CN22,ADK3,ACITL,0.0420956348430437,NaN,NaN
CT30,CN22,ADK3,ACMAT1,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,ACNAM9PL,0,0,0
CT30,CN22,ADK3,ACNAMlt,0,0,0
CT30,CN22,ADK3,ACNAMPH,0,0,0
CT30,CN22,ADK3,ACOAD225n3p,0,NaN,NaN
CT30,CN22,ADK3,ACOAD241n9p,0,0,0
CT30,CN22,ADK3,ACOAD245n6p,0,NaN,NaN
CT30,CN22,ADK3,ACOAS,0.0456611139135314,0.0083700654304653,0.0372910484830661
CT30,CN22,ADK3,ACOATA,0.0125366783937964,0.00113210942111838,0.0114045689726781
CT30,CN22,ADK3,ACOATE100,0,NaN,NaN
CT30,CN22,ADK3,ACOATE100p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE120,0,NaN,NaN
CT30,CN22,ADK3,ACOATE120p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE140p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE160p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE161,0,NaN,NaN
CT30,CN22,ADK3,ACOATE161p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE180,0,NaN,NaN
CT30,CN22,ADK3,ACOATE180p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE181,0,NaN,NaN
CT30,CN22,ADK3,ACOATE1812,0,NaN,NaN
CT30,CN22,ADK3,ACOATE18121p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE18122p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE1813,0,NaN,NaN
CT30,CN22,ADK3,ACOATE1813p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE181p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE1822p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE1831,0,NaN,NaN
CT30,CN22,ADK3,ACOATE1831p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE1832,0,NaN,NaN
CT30,CN22,ADK3,ACOATE1832p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE184,0,NaN,NaN
CT30,CN22,ADK3,ACOATE184p,0,NaN,NaN
CT30,CN22,ADK3,ACOATE204,0,NaN,NaN
CT30,CN22,ADK3,ACOATE80,0,NaN,NaN
CT30,CN22,ADK3,ACOATE80p,0,NaN,NaN
CT30,CN22,ADK3,ACONTa,-0.0354733747544742,NaN,NaN
