SingleLethal,CountsInNormal,CountsInCancer,NotSLInNormal,NotSLInCancer,p-value,OddsRatio,ConfidenceInterval-I,ConfidenceInterval-II
RPI,0,23,23,2,9.69064253799955e-12,0,-Inf,Inf
MDHm,0,17,23,8,2.548227135186e-07,0,-Inf,Inf
HCO3E,0,16,23,9,9.06036314732801e-07,0,-Inf,Inf
DPCOAK,1,16,22,9,1.13254539341601e-05,0.0255681818181818,0.00148786454074638,0.43937596708882
OXALSUCCCLm,1,16,22,9,1.13254539341601e-05,0.0255681818181818,0.00148786454074638,0.43937596708882
PNTK,1,16,22,9,1.13254539341601e-05,0.0255681818181818,0.00148786454074638,0.43937596708882
PNTOt1,1,16,22,9,1.13254539341601e-05,0.0255681818181818,0.00148786454074638,0.43937596708882
PPCDC,1,16,22,9,1.13254539341601e-05,0.0255681818181818,0.00148786454074638,0.43937596708882
PTPAT,1,16,22,9,1.13254539341601e-05,0.0255681818181818,0.00148786454074638,0.43937596708882
TRDR,11,25,12,0,1.94072978615767e-05,0,-Inf,Inf
ASPGLUm,0,13,23,12,2.6954580363301e-05,0,-Inf,Inf
ASPTAm,0,13,23,12,2.6954580363301e-05,0,-Inf,Inf
PPNCL3,0,13,23,12,2.6954580363301e-05,0,-Inf,Inf
GLCt1r,6,21,17,4,6.08164706755499e-05,0.0672268907563025,0.0104340189193982,0.433146122857567
ACONTbm,0,12,23,13,7.46434533137567e-05,0,-Inf,Inf
LDH_L,0,12,23,13,7.46434533137567e-05,0,-Inf,Inf
ARGLYSex,0,11,23,14,0.000197271983757786,0,-Inf,Inf
L_LACt2r,0,11,23,14,0.000197271983757786,0,-Inf,Inf
MTHFD,1,13,22,12,0.000257223709752644,0.041958041958042,0.0024800633153148,0.709851750187818
AMID6,0,10,23,15,0.000499755692186387,0,-Inf,Inf
GPAT,0,10,23,15,0.000499755692186387,0,-Inf,Inf
ICDHyrm,0,10,23,15,0.000499755692186387,0,-Inf,Inf
PPAPA,0,10,23,15,0.000499755692186387,0,-Inf,Inf
PPAm,0,9,23,16,0.00121815449970432,0,-Inf,Inf
G6PDH2r,2,13,21,12,0.00130020741345731,0.0879120879120879,0.0100659123737856,0.767792815402395
GND,2,13,21,12,0.00130020741345731,0.0879120879120879,0.0100659123737856,0.767792815402395
PGL,2,13,21,12,0.00130020741345731,0.0879120879120879,0.0100659123737856,0.767792815402395
HMGCOASi,0,8,23,17,0.00286624588165724,0,-Inf,Inf
MI1PP,0,8,23,17,0.00286624588165724,0,-Inf,Inf
MI3PP,0,8,23,17,0.00286624588165724,0,-Inf,Inf
MI3PS,0,8,23,17,0.00286624588165724,0,-Inf,Inf
PIPLC,0,8,23,17,0.00286624588165724,0,-Inf,Inf
AKGDa1,2,12,21,13,0.00298502724251871,0.103174603174603,0.0118134666053456,0.901090179187533
AKGDa2,2,12,21,13,0.00298502724251871,0.103174603174603,0.0118134666053456,0.901090179187533
AKGDb,2,12,21,13,0.00298502724251871,0.103174603174603,0.0118134666053456,0.901090179187533
CHSTEROLtrc,11,22,12,3,0.00317757808012572,0.125,0.0184077603043266,0.848826785099296
HCO3Ee,2,11,21,14,0.00649220321321791,0.121212121212121,0.0138346442223962,1.06199899994228
CITtam,0,7,23,18,0.00652867117488592,0,-Inf,Inf
O2tm,15,24,8,1,0.00779618879810766,0.078125,0.00447143292785324,1.36500216451426
ATPS4m,2,10,21,15,0.0134166275656241,0.142857142857143,0.0161977449928646,1.25993854541458
CLFORtex2,2,10,21,15,0.0134166275656241,0.142857142857143,0.0161977449928646,1.25993854541458
PYRtm,2,10,21,15,0.0134166275656241,0.142857142857143,0.0161977449928646,1.25993854541458
ACACT1r,0,6,23,19,0.0144317994392215,0,-Inf,Inf
GLUt2m,0,6,23,19,0.0144317994392215,0,-Inf,Inf
ACITL,1,8,22,17,0.0160509769372805,0.0965909090909091,0.00555439891475532,1.67971437813434
PE_HStm,10,19,13,6,0.0219054056982598,0.242914979757085,0.0480060509000142,1.22917187071448
PSDm_hs,10,19,13,6,0.0219054056982598,0.242914979757085,0.0480060509000142,1.22917187071448
PSFLIPm,10,19,13,6,0.0219054056982598,0.242914979757085,0.0480060509000142,1.22917187071448
AGPAT1,4,12,19,13,0.0250408504593224,0.228070175438596,0.0395341730423782,1.31572259950484
GPAM_hs,4,12,19,13,0.0250408504593224,0.228070175438596,0.0395341730423782,1.31572259950484
DCYTD,0,5,23,20,0.0310283687943262,0,-Inf,Inf
DURIK1,0,5,23,20,0.0310283687943262,0,-Inf,Inf
NDP6,0,5,23,20,0.0310283687943262,0,-Inf,Inf
NTD3,0,5,23,20,0.0310283687943262,0,-Inf,Inf
NTD4,0,5,23,20,0.0310283687943262,0,-Inf,Inf
SERGLNexR,0,5,23,20,0.0310283687943262,0,-Inf,Inf
THRGLNexR,0,5,23,20,0.0310283687943262,0,-Inf,Inf
ACOD,1,7,22,18,0.0321656482274868,0.116883116883117,0.00660867390013423,2.06723212837524
CITMCOAHm,1,7,22,18,0.0321656482274868,0.116883116883117,0.00660867390013423,2.06723212837524
CITMCOALm,1,7,22,18,0.0321656482274868,0.116883116883117,0.00660867390013423,2.06723212837524
ITCOAL1m,1,7,22,18,0.0321656482274868,0.116883116883117,0.00660867390013423,2.06723212837524
PGK,14,22,9,3,0.0324093343607952,0.212121212121212,0.0307933966869435,1.46120316278232
CYOOm2,17,24,6,1,0.0376051459673428,0.118055555555556,0.0064986482314324,2.14461741906884
ADPGK,2,8,21,17,0.0495199096169396,0.202380952380952,0.0223581039779598,1.8319106990019
