SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm,4,1,25,25
2AMADPTm,3,1,26,25
2AOBUTtm,7,16,22,10
2HBFORte,0,1,29,25
2MCITt,1,3,28,23
2OXOADPTm,3,1,26,25
3DSPHR,29,26,0,0
3HAD100,29,26,0,0
3HAD120,29,26,0,0
3HAD140,29,26,0,0
3HAD160,2,0,27,26
3HAD40,29,26,0,0
3HAD60,29,26,0,0
3HAD80,29,26,0,0
3HCO3_NAt,1,0,28,26
3MHISt1,0,1,29,25
3MHISt2,0,1,29,25
3MHISt3,0,1,29,25
3OAR100,29,26,0,0
3OAR120,29,26,0,0
3OAR140,29,26,0,0
3OAR160,2,0,27,26
3OAR40,29,26,0,0
3OAR60,29,26,0,0
3OAR80,29,26,0,0
3OAS100,29,26,0,0
3OAS120,29,26,0,0
3OAS140,29,26,0,0
3OAS160,2,0,27,26
3OAS60,29,26,0,0
3OAS80,29,26,0,0
4ABUTtm,6,0,23,26
4HPROLTASCT1,0,1,29,25
4HPRO_LTte,0,1,29,25
4OHBUTm,4,0,25,26
4OHBUTtce,4,0,25,26
4OHBUTtmc,4,0,25,26
5AOPtm,1,1,28,25
AACOAT,0,7,29,19
AATA,3,1,26,25
AATAi,3,1,26,25
ABTArm,6,0,23,26
ABUTt4_2_r,4,0,25,26
ACACFORte,1,1,28,25
ACACLACte,0,1,29,25
ACACPYRte,4,0,25,26
ACACPYRtm,8,4,21,22
ACACT1r,2,7,27,19
ACACT1rm,22,22,7,4
ACACt2,4,0,25,26
ACCOAC,29,26,0,0
ACCOAL2,3,1,26,25
ACGAM6PSi,1,0,28,26
ACGAMPM,1,0,28,26
ACITL,1,3,28,23
ACMAT1,29,26,0,0
ACOAD1fm,0,1,29,25
ACOAD8m,3,1,26,25
ACOAS,3,1,26,25
ACOATA,29,26,0,0
ACOD,5,0,24,26
ACONTa,3,2,26,24
ACONTam,3,1,26,25
ACONTb,4,2,25,24
ACONTbm,5,0,24,26
ACRNtm,2,0,27,26
ADK1,2,6,27,20
ADK3,11,7,18,19
ADK3m,7,1,22,25
ADKd,17,9,12,17
ADNK1,0,1,29,25
ADNK3,1,2,28,24
ADPGK,15,0,14,26
ADPt4,4,1,25,25
ADSK,6,1,23,25
ADSL1,29,26,0,0
ADSL2,29,26,0,0
ADSS,29,26,0,0
AGPAT1,20,23,9,3
AGPAT1m,12,4,17,22
AHC,1,4,28,22
AHCYStn,2,1,27,25
AICART,29,26,0,0
AIRCr,29,26,0,0
AKGACONtm,3,0,26,26
AKGDa1,17,0,12,26
AKGDa2,17,0,12,26
AKGDb,17,0,12,26
AKGGHTRDtm,1,2,28,24
AKGICITtm,4,0,25,26
AKGMALtm,1,1,28,25
AKGSUCCtm,0,3,29,23
AKGtn,2,1,27,25
ALASm,1,1,28,25
ALATRS,29,26,0,0
ALAt2r,2,4,27,22
ALAt4,0,5,29,21
ALAtN1,2,0,27,26
ALAyLATthc,1,0,28,26
ALCD1,2,0,27,26
ALDD19xrm,5,0,24,26
ALDD19yrm,5,0,24,26
ALDD2y,1,1,28,25
AMETEPMT,8,15,21,11
AMETtn,2,1,27,25
AMID6,11,0,18,26
AMPt4,7,2,22,24
ARACHCOAtr,0,2,29,24
ARGATB0tc,1,0,28,26
ARGLYSex,4,0,25,26
ARGTRS,29,26,0,0
ARGt4,0,3,29,23
ARGt5r,0,2,29,24
ARTFR13,25,26,4,0
ARTFR207,0,2,29,24
ARTFR32,2,0,27,26
ARTFR41,0,2,29,24
ARTFR52,6,0,23,26
ARTPLM1,27,23,2,3
ARTPLM3,0,1,29,25
ASNALANaEx,1,0,28,26
ASNATB0tc,1,1,28,25
ASNCYSNaEx,2,0,27,26
ASNN,1,0,28,26
ASNNm,0,1,29,25
ASNTRS,29,26,0,0
ASNt4,17,22,12,4
ASNtN1,1,0,28,26
ASNtm,0,1,29,25
ASPCTr,29,26,0,0
ASPGLUm,23,0,6,26
ASPOX,1,0,28,26
ASPPROASCT1,2,8,27,18
ASPTAm,24,1,5,25
ASPTRS,29,26,0,0
ASPt6,13,4,16,22
ATP1ter,1,0,28,26
ATPS4m,15,11,14,15
ATPt4,2,0,27,26
ATPtm,5,5,24,21
BILDGLCURtr,0,1,29,25
BILDGLUCRabc,1,0,28,26
BILIRED2,1,1,28,25
BILIRUBtr,1,1,28,25
BPNT,6,1,23,25
C14STRr,29,26,0,0
C160CPT1,0,4,29,22
C161CPT1,0,1,29,25
C3STDH1Pr,24,18,5,8
C3STDH1r,5,8,24,18
C3STKR2r,29,26,0,0
C4STMO1r,29,26,0,0
C4STMO2Pr,25,17,4,9
C4STMO2r,3,9,26,17
CACT3r,0,4,29,22
CACT4r,0,1,29,25
CACT6r,11,3,18,23
CAT,5,0,24,26
CAt7r,4,1,25,25
CBPS,29,26,0,0
CDIPTr,29,26,0,0
CDPDAGtm,15,5,14,21
CDS,14,21,15,5
CDSm,15,5,14,21
CEPTC,29,23,0,3
CEPTE,6,15,23,11
CHLPCTD,29,23,0,3
CHOLK,29,23,0,3
CHOLt4,8,0,21,26
CHOLtu,9,16,20,10
CHSTEROLt2,3,26,26,0
CHSTEROLt3,3,26,26,0
CHSTEROLtrc,26,0,3,26
CITACONtm,1,0,28,26
CITMCOAHm,5,0,24,26
CITMCOALm,5,0,24,26
CITRt2m,13,0,16,26
CITRtm,11,0,18,26
CITSUCCtm,0,1,29,25
CITtam,6,1,23,25
CLFORtex,24,15,5,11
CLFORtex2,1,6,28,20
CLPNH,2,0,27,26
CLS_hs,29,26,0,0
CO2t,1,2,28,24
CO2ter,29,26,0,0
CO2tm,10,3,19,23
