CollateralLethal,DoubleLethalR1,DoubleLethalR2
CHOLtu,CHOLtu,CYSTGL
CHOLK,CHOLtu,CYSTS
34HPLFM,CHOLtu,METAT
4HBZCOAFm,CHOLtu,PSDm_hs
4HBZFm,CHOLtu,PSFLIPm
AMETt2m,CHOLtu,OBDHc
COQ3m,CHOLK,METAT
COQ5m,CHOLK,PSDm_hs
NaN,CHOLK,PSFLIPm
NaN,34HPLFM,ATPS4m
NaN,34HPLFM,CYOR_u10m
NaN,4HBZCOAFm,ATPS4m
NaN,4HBZCOAFm,CYOR_u10m
NaN,4HBZFm,ATPS4m
NaN,4HBZFm,CYOR_u10m
NaN,AMETt2m,ATPS4m
NaN,AMETt2m,CYOR_u10m
NaN,AMETt2m,CEPTC
NaN,AMETt2m,CHLPCTD
NaN,COQ3m,CYOR_u10m
NaN,COQ5m,CYOR_u10m
NaN,COQ6m,CYOR_u10m
NaN,COQ7m,CYOR_u10m
NaN,COUCOAFm,CYOR_u10m
NaN,ACACT1rm,GLUDxm
NaN,ACACT1rm,ADNtm
NaN,ACACT1rm,AMPPHm
NaN,ACACT1rm,PIATPLtm
NaN,AMETEPMT,PE_HStm
NaN,AMETEPMT,PSDm_hs
NaN,AMETEPMT,PSFLIPm
NaN,PEMET1,PSDm_hs
NaN,PEMET1,PSFLIPm
NaN,PEMET2,PSDm_hs
NaN,PEMET2,PSFLIPm
NaN,3DPHBH1,ATPS4m
NaN,3DPHBH1,CYOR_u10m
NaN,ALATA_L,BPNT
NaN,ALATA_L,PAPStg
NaN,ALATA_L,PAPtg
NaN,ALATA_L,SADT
NaN,ALATA_L,GALK
NaN,ALATA_L,GALM2
NaN,ALATA_L,UGLT
NaN,ALATA_L,GALASE17ly
NaN,ALATA_L,GALASE18ly
NaN,ALATA_L,GALASE19ly
NaN,ALATA_L,GALNTg
NaN,ALATA_L,GALtly
NaN,ALATA_L,GLCURter
NaN,ALATA_L,GLCURtly
NaN,ALATA_L,H2Otly
NaN,ALATA_L,HAS1
NaN,ALATA_L,HAS2
NaN,ALATA_L,HAtly
NaN,ALATA_L,HYAL
NaN,ALATA_L,NACHEX24ly
NaN,ALATA_L,NACHEX25ly
NaN,ALATA_L,NAGA2ly
NaN,ALATA_L,NAGLCAly
NaN,ALATA_L,S6TASE24ly
NaN,ALATA_L,SO4tl
NaN,ALATA_L,Ser/Thrtg
NaN,ALATA_L,UDPACGALtl
NaN,ALATA_L,UDPGD
NaN,ALATA_L,UDPtl
NaN,ALATA_L,UGALNACtg
NaN,ADNK1,CHOLtu
NaN,AHC,CHOLtu
NaN,ADNK1,CHOLK
NaN,AHC,CHOLK
NaN,ATPS4m,COQ3m
NaN,ATPS4m,COQ5m
NaN,ATPS4m,COQ6m
NaN,ATPS4m,COQ7m
NaN,ATPS4m,COUCOAFm
NaN,ATPS4m,DECDPtm
NaN,CYOR_u10m,DECDPtm
NaN,ATPS4m,DHDPBMTm
NaN,CYOR_u10m,DHDPBMTm
NaN,ATPS4m,DPHMBDCm
NaN,CYOR_u10m,DPHMBDCm
NaN,ATPS4m,DPPS
NaN,CYOR_u10m,DPPS
NaN,ATPS4m,FRDPtc
NaN,CYOR_u10m,FRDPtc
NaN,ATPS4m,HBZOPT10m
NaN,CYOR_u10m,HBZOPT10m
NaN,ATPS4m,Q10H2e
NaN,CYOR_u10m,Q10H2e
NaN,ATPS4m,T4HCINNMFM
NaN,CYOR_u10m,T4HCINNMFM
NaN,ATPS4m,TYRTAm
NaN,CYOR_u10m,TYRTAm
NaN,ATPS4m,TYRtl
NaN,CYOR_u10m,TYRtl
NaN,ATPS4m,q10h2tc
NaN,CYOR_u10m,q10h2tc
NaN,PE_HStm,PEMET1
NaN,PE_HStm,PEMET2
NaN,ADSK,ALATA_L
NaN,ACGAM2E,ALATA_L
NaN,ACGAMtly,ALATA_L
NaN,ACNAMlt,ALATA_L
NaN,CHOLtu,OBDHc
