CollateralLethal,DoubleLethalR1,DoubleLethalR2
CHOLK,CHOLK,PSDm_hs
CEPTC,CHOLK,PSFLIPm
CHLPCTD,CHOLK,METAT
AMETEPMT,CHOLK,DMGDHm
PEMET1,CHOLK,DMGtm
PEMET2,CHOLK,FALDtm
O2t,CHOLK,FALDtx
AMETt2m,CHOLK,GLYBtm
PE_HStm,CHOLK,SARCOXp
PSDm_hs,CHOLK,SARCStm
PSFLIPm,CHOLK,SARCStp
PCFLOPm,CHOLK,MEOHt2
PETOHMm_hs,CEPTC,PCFLOPm
NaN,CEPTC,PETOHMm_hs
NaN,CHLPCTD,PCFLOPm
NaN,CHLPCTD,PETOHMm_hs
NaN,AMETEPMT,PE_HStm
NaN,AMETEPMT,PSDm_hs
NaN,AMETEPMT,PSFLIPm
NaN,PEMET1,PSDm_hs
NaN,PEMET1,PSFLIPm
NaN,PEMET2,PSDm_hs
NaN,PEMET2,PSFLIPm
NaN,O2t,ADPtn
NaN,O2t,O2tn
NaN,O2t,SPODMn
NaN,ACACT1rm,PPItm
NaN,AHC,CHOLK
NaN,BETALDHxm,CHOLK
NaN,BHMT,CHOLK
NaN,CHLtm,CHOLK
NaN,CHOLD2m,CHOLK
NaN,CATp,CHOLK
NaN,ADNK3,CHOLK
NaN,ALCD1,CHOLK
NaN,AMETt2m,CEPTC
NaN,AMETt2m,CHLPCTD
NaN,PE_HStm,PEMET1
NaN,PE_HStm,PEMET2
NaN,ATPtn,O2t
NaN,H2O2tn,O2t
NaN,O2Stn,O2t
NaN,O2St,O2t
NaN,DHPR,TYRt4
NaN,PROt2r,PROt4
