SingleLethal,CountsInNormal,CountsInCancer,NotSLInNormal,NotSLInCancer,p-value,OddsRatio,ConfidenceInterval-I,ConfidenceInterval-II
L_LACt2r,0,17,19,4,6.7450011832659e-08,0,-Inf,Inf
NACDe,0,15,19,6,1.34900023665319e-06,0,-Inf,Inf
NACPRT,0,15,19,6,1.34900023665319e-06,0,-Inf,Inf
NCAMDe,0,15,19,6,1.34900023665319e-06,0,-Inf,Inf
NMNDA,0,15,19,6,1.34900023665319e-06,0,-Inf,Inf
PNP,0,15,19,6,1.34900023665319e-06,0,-Inf,Inf
PPM,0,15,19,6,1.34900023665319e-06,0,-Inf,Inf
RNMK,0,15,19,6,1.34900023665319e-06,0,-Inf,Inf
ADK1,0,13,19,8,1.69106815380452e-05,0,-Inf,Inf
DESAT18_1,0,12,19,9,5.26110092294742e-05,0,-Inf,Inf
CYTK1,0,11,19,10,0.000152571926765475,0,-Inf,Inf
PYK2,1,13,18,8,0.000171612101534237,0.0341880341880342,0.00190295675244067,0.614213476025193
PYK5,1,13,18,8,0.000171612101534237,0.0341880341880342,0.00190295675244067,0.614213476025193
PYK6,1,13,18,8,0.000171612101534237,0.0341880341880342,0.00190295675244067,0.614213476025193
TALA,2,14,17,7,0.000333087429861624,0.0588235294117647,0.0061086268409033,0.566446061050453
AKGLACte,0,10,19,11,0.000416105254814933,0,-Inf,Inf
LDH_L,0,10,19,11,0.000416105254814933,0,-Inf,Inf
OCDE9ECOAtr,0,10,19,11,0.000416105254814933,0,-Inf,Inf
PYK4,1,12,18,9,0.000481014941526619,0.0416666666666667,0.00233926490779456,0.742160969168686
ALAt2r,0,7,19,14,0.00623700623700624,0,-Inf,Inf
ARTFR32,0,7,19,14,0.00623700623700624,0,-Inf,Inf
RTOT3,0,7,19,14,0.00623700623700624,0,-Inf,Inf
ASPPROASCT1,1,9,18,12,0.0070044384560514,0.0740740740740741,0.00415869316941256,1.31939727852211
C160CPT1,7,16,12,5,0.0135692310775737,0.182291666666667,0.030112441704443,1.10353893125871
CACT3r,7,16,12,5,0.0135692310775737,0.182291666666667,0.030112441704443,1.10353893125871
PMTCOAPTr,7,16,12,5,0.0135692310775737,0.182291666666667,0.030112441704443,1.10353893125871
ARGLYSex,0,6,19,15,0.0141372141372141,0,-Inf,Inf
CO2tm,0,6,19,15,0.0141372141372141,0,-Inf,Inf
LEUyLAThtc,0,6,19,15,0.0141372141372141,0,-Inf,Inf
RTOT4,0,6,19,15,0.0141372141372141,0,-Inf,Inf
VALPHELAT2tc,0,6,19,15,0.0141372141372141,0,-Inf,Inf
CHOLtu,11,19,8,2,0.0211222953158437,0.144736842105263,0.0151315061078816,1.38444602363093
PROt2r,2,9,17,12,0.0247929380993897,0.156862745098039,0.0167732083396466,1.46697759316158
LYSt4,6,14,13,7,0.0280804632161213,0.230769230769231,0.0403844494789357,1.31868673603189
RPE,9,17,10,4,0.0286366733808335,0.211764705882353,0.0330537687308921,1.35670734016868
TKT1,9,17,10,4,0.0286366733808335,0.211764705882353,0.0330537687308921,1.35670734016868
TKT2,9,17,10,4,0.0286366733808335,0.211764705882353,0.0330537687308921,1.35670734016868
PIt7,8,16,11,5,0.029882852819449,0.227272727272727,0.0382645436623846,1.34988915633561
ILEPHELAT2tc,0,5,19,16,0.0309251559251559,0,-Inf,Inf
PHEyLATthc,0,5,19,16,0.0309251559251559,0,-Inf,Inf
3MHISt2,1,7,18,14,0.0313740313740314,0.111111111111111,0.00609762839482182,2.02466897176446
3MHISt3,1,7,18,14,0.0313740313740314,0.111111111111111,0.00609762839482182,2.02466897176446
FUM,1,7,18,14,0.0313740313740314,0.111111111111111,0.00609762839482182,2.02466897176446
FAE180,13,20,6,1,0.0332640332640333,0.108333333333333,0.00578671886913526,2.02811150438088
HACD180,13,20,6,1,0.0332640332640333,0.108333333333333,0.00578671886913526,2.02811150438088
HSD180,13,20,6,1,0.0332640332640333,0.108333333333333,0.00578671886913526,2.02811150438088
TECR180,13,20,6,1,0.0332640332640333,0.108333333333333,0.00578671886913526,2.02811150438088
GLUDxm,5,12,14,9,0.048785938329876,0.267857142857143,0.0461697260666204,1.55399338683674
