SingleLethal,CountsInNormal,CountsInCancer,NotSLInNormal,NotSLInCancer,p-value,OddsRatio,ConfidenceInterval-I,ConfidenceInterval-II
CDPDAGtm,0,13,29,8,5.73436573904616e-07,0,-Inf,Inf
CDSm,0,13,29,8,5.73436573904616e-07,0,-Inf,Inf
CTPtm,0,13,29,8,5.73436573904616e-07,0,-Inf,Inf
CHSTEROLtrc,0,12,29,9,2.42117664537505e-06,0,-Inf,Inf
ARGt5r,3,16,26,5,2.52660919057184e-06,0.0360576923076923,0.00463511951991458,0.280501326658384
PPItm,2,14,27,7,9.91201477295783e-06,0.037037037037037,0.00397179657313247,0.34537068735144
CHOLK,11,20,18,1,2.45535252957321e-05,0.0305555555555556,0.00182581501915717,0.511356279531335
ACOAD8m,1,12,28,9,2.45940575030203e-05,0.0267857142857143,0.00153872089039362,0.466279813496508
DHRT_ivcoa,1,12,28,9,2.45940575030203e-05,0.0267857142857143,0.00153872089039362,0.466279813496508
MCCCm,1,12,28,9,2.45940575030203e-05,0.0267857142857143,0.00153872089039362,0.466279813496508
MGCHrm,1,12,28,9,2.45940575030203e-05,0.0267857142857143,0.00153872089039362,0.466279813496508
MOD_3mhop,1,12,28,9,2.45940575030203e-05,0.0267857142857143,0.00153872089039362,0.466279813496508
ETHP,0,10,29,11,3.43366869707735e-05,0,-Inf,Inf
CEPTC,9,18,20,3,0.000131933814060236,0.075,0.0111028515879079,0.506626604477553
CHLPCTD,9,18,20,3,0.000131933814060236,0.075,0.0111028515879079,0.506626604477553
PSSA1_hs,9,18,20,3,0.000131933814060236,0.075,0.0111028515879079,0.506626604477553
ADK1,12,19,17,2,0.000382975107966359,0.0743034055727554,0.00868068797557811,0.636009046200247
ACONTa,2,11,27,10,0.000428140489112162,0.0673400673400673,0.00747873798481501,0.606343567400292
OXALSUCCCLm,9,17,20,4,0.000542879006072906,0.105882352941176,0.0181115849864324,0.619000086008939
LEUTAm,1,9,28,12,0.000864139955431134,0.0476190476190476,0.00273550380514421,0.828941890660459
LEUt5m,1,9,28,12,0.000864139955431134,0.0476190476190476,0.00273550380514421,0.828941890660459
DCYTD,0,7,29,14,0.00116414575248988,0,-Inf,Inf
NDP6,0,7,29,14,0.00116414575248988,0,-Inf,Inf
NTD3,0,7,29,14,0.00116414575248988,0,-Inf,Inf
NDPK1,4,12,25,9,0.00157879315221391,0.12,0.0199786042456086,0.720771072041492
NDPK2,9,16,20,5,0.00183261468562036,0.140625,0.0263010170013573,0.751886918440433
PRPPS,0,6,29,15,0.00341482754063698,0,-Inf,Inf
G6Pter,2,9,27,12,0.00347802025108127,0.0987654320987654,0.0109105052083501,0.894056727106491
GMPS,9,15,20,6,0.00527190983108022,0.18,0.0357021921750839,0.907507299302801
NDPK5,14,18,15,3,0.0065654191841421,0.155555555555556,0.0239774511320023,1.00917861247985
DURIK1,1,7,28,14,0.0066599966305235,0.0714285714285714,0.00401016841336211,1.27227594714632
UNK3,1,7,28,14,0.0066599966305235,0.0714285714285714,0.00401016841336211,1.27227594714632
KCC2t,0,5,29,16,0.00960420245804149,0,-Inf,Inf
TTDCAFATPc,0,5,29,16,0.00960420245804149,0,-Inf,Inf
TTDCAtr,0,5,29,16,0.00960420245804149,0,-Inf,Inf
AMETEPMT,8,13,21,8,0.016089073238269,0.234432234432234,0.048461175885602,1.13407220391486
ICDHyrm,8,13,21,8,0.016089073238269,0.234432234432234,0.048461175885602,1.13407220391486
PEMET1,8,13,21,8,0.016089073238269,0.234432234432234,0.048461175885602,1.13407220391486
PEMET2,8,13,21,8,0.016089073238269,0.234432234432234,0.048461175885602,1.13407220391486
O2t,16,18,13,3,0.0219841117368301,0.205128205128205,0.0315442649712115,1.33392173117746
TYRt4,10,14,19,7,0.0244336970700711,0.263157894736842,0.0552837569749369,1.25266590680012
AGMTm,0,4,29,17,0.0259878419452887,0,-Inf,Inf
ARGDCm,0,4,29,17,0.0259878419452887,0,-Inf,Inf
FCYTOB5OXRyr,0,4,29,17,0.0259878419452887,0,-Inf,Inf
PTRCtm,0,4,29,17,0.0259878419452887,0,-Inf,Inf
SPODMm,0,4,29,17,0.0259878419452887,0,-Inf,Inf
UREAtm,0,4,29,17,0.0259878419452887,0,-Inf,Inf
CTPS1,23,21,6,0,0.0298929562574336,0,-Inf,Inf
LYSt4,21,20,8,1,0.0399731391814519,0.13125,0.00760613539889322,2.26482459180344
PPAPA,1,5,28,16,0.0405510770450641,0.114285714285714,0.00607281406869698,2.1507696995239
INSTt4_2,11,14,18,7,0.042255499187454,0.305555555555556,0.0650414137703788,1.43545768947268
NADPHtru,11,14,18,7,0.042255499187454,0.305555555555556,0.0650414137703788,1.43545768947268
NADPtru,11,14,18,7,0.042255499187454,0.305555555555556,0.0650414137703788,1.43545768947268
ADMDC,2,6,27,15,0.0476956831865078,0.185185185185185,0.0193082362187519,1.77611007155412
DKMPPD1,2,6,27,15,0.0476956831865078,0.185185185185185,0.0193082362187519,1.77611007155412
DKMPPD3,2,6,27,15,0.0476956831865078,0.185185185185185,0.0193082362187519,1.77611007155412
MDRPD,2,6,27,15,0.0476956831865078,0.185185185185185,0.0193082362187519,1.77611007155412
MTAP,2,6,27,15,0.0476956831865078,0.185185185185185,0.0193082362187519,1.77611007155412
MTRI,2,6,27,15,0.0476956831865078,0.185185185185185,0.0193082362187519,1.77611007155412
PROt4,2,6,27,15,0.0476956831865078,0.185185185185185,0.0193082362187519,1.77611007155412
