SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm,0,1,23,24
2AOBUTtm,0,3,23,22
34HPLFM,2,10,21,15
34HPPOR,1,2,22,23
3DPHBH1,2,9,21,16
3DPHBH2,0,1,23,24
3DSPHR,23,25,0,0
3HAD100,23,25,0,0
3HAD120,23,25,0,0
3HAD140,23,25,0,0
3HAD40,23,25,0,0
3HAD60,23,25,0,0
3HAD80,23,25,0,0
3HAO,16,4,7,21
3M4HPGORx,1,0,22,25
3M4HPGORy,1,0,22,25
3MHISt1,1,4,22,21
3MHISt2,1,4,22,21
3MHISt3,1,4,22,21
3MOPt2im,0,1,23,24
3OAR100,23,25,0,0
3OAR120,23,25,0,0
3OAR140,23,25,0,0
3OAR40,23,25,0,0
3OAR60,23,25,0,0
3OAR80,23,25,0,0
3OAS100,23,25,0,0
3OAS120,23,25,0,0
3OAS140,23,25,0,0
3OAS60,23,25,0,0
3OAS80,23,25,0,0
4HBZCOAFm,2,10,21,15
4HBZFm,2,10,21,15
AACOAT,0,3,23,22
AACOAT_1,1,1,22,24
ACACPYRtm,2,4,21,21
ACACT1r,0,4,23,21
ACACT1rm,1,8,22,17
ACACtx,0,1,23,24
ACCOAC,23,25,0,0
ACCOAL2,18,14,5,11
ACGAM6PSi,0,1,23,24
ACGAMPM,0,1,23,24
ACITL,0,1,23,24
ACMAT1,23,25,0,0
ACNMLr,0,1,23,24
ACOAS,18,14,5,11
ACOATA,23,25,0,0
ACONTa,1,2,22,23
ACONTam,0,1,23,24
ACONTb,1,2,22,23
ACONTbm,0,1,23,24
ACt2m,1,1,22,24
ADK1,23,21,0,4
ADKd,0,2,23,23
ADNK1,7,3,16,22
ADNtm,4,2,19,23
ADPt4,3,1,20,24
ADSL1,23,25,0,0
ADSL2,23,25,0,0
ADSS,23,25,0,0
AGPAT1,12,14,11,11
AGPAT1m,13,13,10,12
AHC,3,1,20,24
AICART,23,25,0,0
AIRCr,23,25,0,0
AKGCITtm,1,0,22,25
AKGDa1,0,1,23,24
AKGDa2,0,1,23,24
AKGDb,0,1,23,24
AKGICITtm,0,2,23,23
AKGMALtm,3,1,20,24
ALATA_L,1,7,22,18
ALATRS,23,25,0,0
ALDD2x,3,2,20,23
ALDD2y,5,7,18,18
AMETEPMT,16,24,7,1
AMETt2m,2,10,21,15
AMID6,0,1,23,24
AMPPHm,4,2,19,23
AMPt4,4,7,19,18
ARGN,0,1,23,24
ARGTRS,23,25,0,0
ARGt4,0,1,23,24
ARGt5r,15,14,8,11
ARTFR13,23,23,0,2
ARTFR32,1,2,22,23
ARTFR42,1,1,22,24
ARTFR52,0,1,23,24
ARTPLM1,22,22,1,3
ARTPLM1m,0,1,23,24
ASNN,5,4,18,21
ASNTRS,23,25,0,0
ASNtN1,0,2,23,23
ASPCTr,23,25,0,0
ASPDH,0,1,23,24
ASPGLUm,1,4,22,21
ASPPROASCT1,0,6,23,19
ASPTA,0,1,23,24
ASPTAm,1,4,22,21
ASPTRS,23,25,0,0
ASPt6,0,2,23,23
ATPS4m,0,1,23,24
ATPt4,5,4,18,21
BPGP,0,1,23,24
BUP2,0,1,23,24
C14STRr,23,25,0,0
C160CPT2,0,1,23,24
C160CRNt,0,1,23,24
C30CPT1,2,1,21,24
C3STDH1Pr,11,16,12,9
C3STDH1r,12,9,11,16
C3STKR2r,23,25,0,0
C4STMO1r,23,25,0,0
C4STMO2Pr,11,16,12,9
C4STMO2r,12,8,11,17
CACT3r,0,1,23,24
CACT6r,23,22,0,3
CBPS,23,25,0,0
CBPSam,0,1,23,24
CDIPTr,23,25,0,0
CDPDAGtm,13,13,10,12
CDS,10,11,13,14
CDSm,13,13,10,12
CEPTC,18,24,5,1
CEPTE,23,25,0,0
CHLPCTD,18,24,5,1
CHOLK,14,23,9,2
CHOLt4,3,1,20,24
CHOLtu,11,23,12,2
CHSTEROLt2,23,25,0,0
CHSTEROLt3,23,25,0,0
CITACONtm,0,1,23,24
CITOAL,1,1,22,24
CITRt2m,0,1,23,24
CITRte,0,1,23,24
CITRtm,0,1,23,24
CITtam,0,2,23,23
CLS_hs,23,25,0,0
CMPACNAtg,0,1,23,24
CMPSAS,0,1,23,24
CO2t,15,8,8,17
CO2ter,23,25,0,0
CO2tm,0,2,23,23
COAtm,17,8,6,17
COAtp,0,1,23,24
COQ3m,2,10,21,15
COQ5m,2,10,21,15
COQ6m,2,10,21,15
COQ7m,2,10,21,15
COUCOAFm,2,10,21,15
CRNCARtp,0,1,23,24
CRNtim,13,6,10,19
CSNAT2m,2,1,21,24
