CollateralLethal,DoubleLethalR1,DoubleLethalR2
Htr,Htr,UDPGD
ASPPROASCT1,ASPPROASCT1,ASPt6
NaN,ASPPROASCT1,HKt
NaN,ATP1ter,Htr
