SingleLethal,CountsInNormal,CountsInCancer,NotSLInNormal,NotSLInCancer,p-value,OddsRatio,ConfidenceInterval-I,ConfidenceInterval-II
CHSTEROLt2,3,26,26,0,1.02623229818617e-12,0,-Inf,Inf
CHSTEROLt3,3,26,26,0,1.02623229818617e-12,0,-Inf,Inf
NADPHtru,4,26,25,0,7.69674223639626e-12,0,-Inf,Inf
NADPtru,4,26,25,0,7.69674223639626e-12,0,-Inf,Inf
PIter,0,20,29,6,4.5586732816745e-10,0,-Inf,Inf
PPNCL2,0,17,29,9,4.57821045288168e-08,0,-Inf,Inf
PPAer,8,25,21,1,8.69863816865404e-08,0.0152380952380952,0.000893437870529834,0.259894452814676
PPIPItr,3,20,26,6,4.65271986072078e-07,0.0346153846153846,0.00479871153310983,0.249697203885579
FBA,2,18,27,8,1.29414222076337e-06,0.0329218106995885,0.00371407186109267,0.291821391797377
PFK,2,17,27,9,4.68511134133694e-06,0.0392156862745098,0.00449640475172089,0.342022156566798
SERt4,2,16,27,10,1.56076013507634e-05,0.0462962962962963,0.00536921294110588,0.399192036945549
R5Ptr,0,12,29,14,2.20128682593556e-05,0,-Inf,Inf
RPIr,0,12,29,14,2.20128682593556e-05,0,-Inf,Inf
ETHAK,0,11,29,15,6.45710802274431e-05,0,-Inf,Inf
MAL_Lte,0,11,29,15,6.45710802274431e-05,0,-Inf,Inf
PNTOte,0,11,29,15,6.45710802274431e-05,0,-Inf,Inf
PGI,13,24,16,2,0.00016268539412436,0.0677083333333333,0.00808026523047369,0.567359891292705
L_LACt2r,0,10,29,16,0.000181606163139683,0,-Inf,Inf
PSSA2_hs,2,13,27,13,0.00037903836741308,0.0740740740740741,0.00870634575691816,0.630226343304986
ILEt4,11,22,18,4,0.000440230578889574,0.111111111111111,0.0200493469055056,0.615764646625748
THRt4,9,20,20,6,0.000733781321780285,0.135,0.0277178495349277,0.657518541510025
HISt4,7,18,22,8,0.000900819480694513,0.141414141414141,0.0295852878428571,0.675942701592711
NDPK8,0,8,29,18,0.00128311282584312,0,-Inf,Inf
TALA,10,20,19,6,0.00173005088659503,0.157894736842105,0.0330030286363208,0.755407880808873
AACOAT,0,7,29,19,0.00324154819160368,0,-Inf,Inf
LDH_L,0,7,29,19,0.00324154819160368,0,-Inf,Inf
VALt4,11,20,18,6,0.00379504598457467,0.183333333333333,0.038826442414242,0.865675787457213
CEPTE,6,15,23,11,0.00520484635414092,0.191304347826087,0.040120334403113,0.912189642525134
PETHCT,6,15,23,11,0.00520484635414092,0.191304347826087,0.040120334403113,0.912189642525134
DPCOAK,8,17,21,9,0.00524679130679966,0.201680672268908,0.0446610617183552,0.910750707704771
GLNt4,8,17,21,9,0.00524679130679966,0.201680672268908,0.0446610617183552,0.910750707704771
PNTK,8,17,21,9,0.00524679130679966,0.201680672268908,0.0446610617183552,0.910750707704771
PPCDC,8,17,21,9,0.00524679130679966,0.201680672268908,0.0446610617183552,0.910750707704771
PTPAT,8,17,21,9,0.00524679130679966,0.201680672268908,0.0446610617183552,0.910750707704771
2AOBUTtm,7,16,22,10,0.00534530000152468,0.198863636363636,0.0432489163843541,0.914398536978726
THR3Dx,7,16,22,10,0.00534530000152468,0.198863636363636,0.0432489163843541,0.914398536978726
NH4tm,2,10,27,16,0.00544818489419052,0.118518518518519,0.0137451851292311,1.02193161458061
GLYtm,11,19,18,7,0.00910503337937945,0.225146198830409,0.049923306328736,1.01537367164731
PROt4,10,18,19,8,0.0101922075227123,0.233918128654971,0.0528861558902404,1.03463165345207
CDS,14,21,15,5,0.0124012330020892,0.222222222222222,0.0448774706694787,1.10038991308323
RPE,13,20,16,6,0.0150752543657416,0.24375,0.0524081390853291,1.13368006452708
TKT1,13,20,16,6,0.0150752543657416,0.24375,0.0524081390853291,1.13368006452708
TKT2,13,20,16,6,0.0150752543657416,0.24375,0.0524081390853291,1.13368006452708
GMPS2,1,7,28,19,0.0169505957519276,0.0969387755102041,0.00556195701263078,1.68953592702669
ALAt4,0,5,29,21,0.0189090311176882,0,-Inf,Inf
CYTK1,0,5,29,21,0.0189090311176882,0,-Inf,Inf
PIMALtm,0,5,29,21,0.0189090311176882,0,-Inf,Inf
TXA2tr,0,5,29,21,0.0189090311176882,0,-Inf,Inf
TXB2c,0,5,29,21,0.0189090311176882,0,-Inf,Inf
TXB2r,0,5,29,21,0.0189090311176882,0,-Inf,Inf
TXB2tr,0,5,29,21,0.0189090311176882,0,-Inf,Inf
UMPK,0,5,29,21,0.0189090311176882,0,-Inf,Inf
GLYATm,11,18,18,8,0.0196143834315973,0.271604938271605,0.0622614883162814,1.18482941041793
CHOLtu,9,16,20,10,0.0224858128836833,0.28125,0.0649706992917808,1.21749593835766
AMETEPMT,8,15,21,11,0.02311268639557,0.279365079365079,0.0635852478404536,1.22740494406006
PEMET1,8,15,21,11,0.02311268639557,0.279365079365079,0.0635852478404536,1.22740494406006
PEMET2,8,15,21,11,0.02311268639557,0.279365079365079,0.0635852478404536,1.22740494406006
ASPPROASCT1,2,8,27,18,0.0249655060739671,0.166666666666667,0.0188024887967816,1.47734579597422
C4STMO2r,3,9,26,17,0.0314712798005594,0.217948717948718,0.03273323056659,1.45117493242398
ASNt4,17,22,12,4,0.0329279344064826,0.257575757575758,0.0468685103005665,1.41556175916954
CLFORtex2,1,6,28,20,0.0361432623363811,0.119047619047619,0.00666531649796849,2.12628096583659
NACDe,1,6,28,20,0.0361432623363811,0.119047619047619,0.00666531649796849,2.12628096583659
NACPRT,1,6,28,20,0.0361432623363811,0.119047619047619,0.00666531649796849,2.12628096583659
NCAMDe,1,6,28,20,0.0361432623363811,0.119047619047619,0.00666531649796849,2.12628096583659
NDPK1,1,6,28,20,0.0361432623363811,0.119047619047619,0.00666531649796849,2.12628096583659
NMNDA,1,6,28,20,0.0361432623363811,0.119047619047619,0.00666531649796849,2.12628096583659
NMNS,1,6,28,20,0.0361432623363811,0.119047619047619,0.00666531649796849,2.12628096583659
C160CPT1,0,4,29,22,0.0438345721364589,0,-Inf,Inf
CACT3r,0,4,29,22,0.0438345721364589,0,-Inf,Inf
HEX1,0,4,29,22,0.0438345721364589,0,-Inf,Inf
PMTCOAPTr,0,4,29,22,0.0438345721364589,0,-Inf,Inf
PNTOt2e,0,4,29,22,0.0438345721364589,0,-Inf,Inf
ACACT1r,2,7,27,19,0.0496189644063166,0.201058201058201,0.0221757840668608,1.82290737007896
