DoubleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm;2AOBUTtm,0,1,26,22
10FTHFtm;5MTHFt2,1,0,25,23
10FTHFtm;ACACFORte,1,0,25,23
10FTHFtm;ACACPYRte,1,0,25,23
10FTHFtm;CLFORtex,0,3,26,20
10FTHFtm;DHFR,0,2,26,21
10FTHFtm;DHFRm,1,0,25,23
10FTHFtm;FDH,0,1,26,22
10FTHFtm;FOLR2,1,0,25,23
10FTHFtm;FOLt2,1,0,25,23
10FTHFtm;FTCD,0,2,26,21
10FTHFtm;G5SDym,0,1,26,22
10FTHFtm;GLU5Km,0,1,26,22
10FTHFtm;GLUt2m,0,1,26,22
10FTHFtm;GLYATm,0,1,26,22
10FTHFtm;GluForTx,0,2,26,21
10FTHFtm;H2Otm,1,1,25,22
10FTHFtm;HISD,0,2,26,21
10FTHFtm;ICDHxrm,1,0,25,23
10FTHFtm;IZPN,0,2,26,21
10FTHFtm;MTHFC,0,6,26,17
10FTHFtm;MTHFD,0,3,26,20
10FTHFtm;MTHFR3x,1,0,25,23
10FTHFtm;ORNTArm,0,1,26,22
10FTHFtm;PIt2m_2,0,2,26,21
10FTHFtm;PPA,0,1,26,22
10FTHFtm;RDH1,1,0,25,23
10FTHFtm;RDH1a,1,0,25,23
10FTHFtm;THR3Dx,0,1,26,22
10FTHFtm;URCN,0,2,26,21
13DAMPPOX;PTCRTD,1,0,25,23
13DAMPPOX;PTRCOR,1,0,25,23
2AMACHYD;CBPSam,1,0,25,23
2AMACHYD;CITRte,1,0,25,23
2AMACHYD;HCO3tm,1,0,25,23
2AMACHYD;NH4tm,1,0,25,23
2AMACHYD;OCBTm,1,0,25,23
2AMACSULT;ACGAM6PSi,1,0,25,23
2AMACSULT;ACGAMPM,1,0,25,23
2AMACSULT;GALU,1,0,25,23
2AMACSULT;GF6PTA,1,0,25,23
2AMACSULT;H2Otg,1,0,25,23
2AMACSULT;Htg,1,0,25,23
2AMACSULT;NDP7g,1,0,25,23
2AMACSULT;PGMT,1,0,25,23
2AMACSULT;PItg,1,0,25,23
2AMACSULT;UAGDP,1,0,25,23
2AOBUTtm;ACACT1r,0,1,26,22
2AOBUTtm;ACCOAL2,0,1,26,22
2AOBUTtm;ACOAS,0,1,26,22
2AOBUTtm;ACOD,0,1,26,22
2AOBUTtm;ACONTbm,0,2,26,21
2AOBUTtm;ADPT,0,1,26,22
2AOBUTtm;AKGACONtm,0,1,26,22
2AOBUTtm;AKGSUCCtm,0,1,26,22
2AOBUTtm;ALDD2x,0,1,26,22
2AOBUTtm;CITMCOAHm,0,1,26,22
2AOBUTtm;CITMCOALm,0,1,26,22
2AOBUTtm;DADK3,0,1,26,22
2AOBUTtm;DRPA,0,1,26,22
2AOBUTtm;GHMT2rm,0,1,26,22
2AOBUTtm;ICDHyrm,0,2,26,21
2AOBUTtm;ITCOALm,0,1,26,22
2AOBUTtm;MTHFCm,0,1,26,22
2AOBUTtm;MTHFDm,0,1,26,22
2AOBUTtm;NTD6,0,1,26,22
2AOBUTtm;OXALSUCCCLm,0,2,26,21
2AOBUTtm;PGCD,0,1,26,22
2AOBUTtm;PIMALtm,0,1,26,22
2AOBUTtm;PPA,0,4,26,19
2AOBUTtm;PPM2,0,1,26,22
2AOBUTtm;PSERT,0,1,26,22
2AOBUTtm;PSP_L,0,1,26,22
2AOBUTtm;PUNP2,0,1,26,22
2AOBUTtm;PYRtm,0,1,26,22
2AOBUTtm;SERTm,0,1,26,22
2AOBUTtm;SO4AKGtm,0,1,26,22
2AOBUTtm;SO4MALtm,0,1,26,22
2AOBUTtm;SUCCACONtm,0,1,26,22
2AOBUTtm;THDm,0,4,26,19
2AOBUTtm;THFtm,0,1,26,22
2AOBUTtm;THRtm,0,4,26,19
34HPLFM;ATPS4m,2,4,24,19
34HPLFM;ATPtm,0,1,26,22
34HPLFM;CBPSam,1,0,25,23
34HPLFM;CITRte,1,0,25,23
34HPLFM;CK,1,0,25,23
34HPLFM;CREATtmdiffir,1,0,25,23
34HPLFM;CRTNsyn,1,0,25,23
34HPLFM;CRTNte,1,0,25,23
34HPLFM;CYOOm2,1,5,25,18
34HPLFM;CYOOm3,1,0,25,23
34HPLFM;CYOR_u10m,2,5,24,18
34HPLFM;GACMTRc,1,0,25,23
34HPLFM;GLYAMDTRc,1,0,25,23
34HPLFM;HCO3tm,1,0,25,23
34HPLFM;NH4tm,1,0,25,23
34HPLFM;O2Stm,1,0,25,23
34HPLFM;OCBTm,1,0,25,23
34HPLFM;ORNt4m,1,0,25,23
34HPLFM;PCREATtmdiffir,1,0,25,23
34HPPte;CITRt2m,0,1,26,22
34HPPte;LDH_L,0,1,26,22
3DPHBH1;ATPS4m,2,4,24,19
3DPHBH1;ATPtm,0,1,26,22
3DPHBH1;CBPSam,1,0,25,23
3DPHBH1;CITRte,1,0,25,23
3DPHBH1;CK,1,0,25,23
3DPHBH1;CREATtmdiffir,1,0,25,23
3DPHBH1;CRTNsyn,1,0,25,23
3DPHBH1;CRTNte,1,0,25,23
3DPHBH1;CYOOm2,1,4,25,19
3DPHBH1;CYOOm3,1,0,25,23
