SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
DHRT_ivcoa,1,12,28,9
DHSPMDNABUT,2,0,27,21
DKMPPD1,2,6,27,15
DKMPPD3,2,6,27,15
DLD,14,13,15,8
DMATTx,29,21,0,0
DNAsyn,29,21,0,0
DNDPt42m,1,3,28,18
DNPH4,0,1,29,20
DPGM,0,1,29,20
DPMVDc,29,19,0,2
DSAT,29,21,0,0
DTMPK,29,21,0,0
DTTPtn,29,21,0,0
DUMPtm,1,3,28,18
DURAD2x,0,1,29,20
DURAD2xm,0,1,29,20
DURIK1,1,7,28,14
DURIPP,5,0,24,21
DUTCP,0,2,29,19
DUTPDP,4,2,25,19
DUTPDPm,1,3,28,18
EAR100y,29,21,0,0
EAR120y,29,21,0,0
EAR140y,29,21,0,0
EAR40y,29,21,0,0
EAR60y,29,21,0,0
EAR80y,29,21,0,0
EBP1r,18,15,11,6
EBP2r,11,6,18,15
ECOAH1m,2,0,27,21
ENO,9,11,20,10
ETHAK,21,2,8,19
ETHP,0,10,29,11
FA140ACPH,29,17,0,4
FACOAL140i,29,12,0,9
FADH2ETC,0,1,29,20
FAE180,21,15,8,6
FAE200,0,1,29,20
FAE201,1,0,28,21
FAE220,0,1,29,20
FAE221,1,0,28,21
FAE240,0,1,29,20
FAE241,1,0,28,21
FAE260,0,1,29,20
FBA,4,4,25,17
FBA2,0,1,29,20
FCLTm,0,1,29,20
FCYTOB5OXRr,29,17,0,4
FCYTOB5OXRyr,0,4,29,17
FDH,17,7,12,14
FE2tm,0,1,29,20
FKYNH,2,0,27,21
FOLtm,0,1,29,20
FORLACte,1,0,28,21
FORtr,29,21,0,0
FRDPtr,29,21,0,0
FUM,24,21,5,0
G3PD1,25,20,4,1
G6PDH1rer,4,0,25,21
G6PDH2r,3,7,26,14
G6PDH2rer,12,7,17,14
G6Pt6er,13,15,16,6
G6Pter,2,9,27,12
GACMTRc,0,1,29,20
GALGLUSIDEtg,1,0,28,21
GALGLUSIDEtr,1,0,28,21
GALU,2,1,27,20
GAPD,9,11,20,10
GARFT,29,21,0,0
GF6PTA,2,0,27,21
GHMT2r,29,20,0,1
GHMT2rm,0,1,29,20
GK1i,29,21,0,0
GLCURter,1,0,28,21
GLCt1r,1,0,28,21
GLCt4,4,0,25,21
GLNTRS,29,21,0,0
GLNt4,5,8,24,13
GLUDxm,3,4,26,17
GLUDym,6,6,23,15
GLUPRT,29,21,0,0
GLUTRS,29,21,0,0
GLUt2m,0,1,29,20
GLXtm,0,2,29,19
GLXtp,0,2,29,19
GLYALDORy,0,1,29,20
GLYAMDTRc,0,1,29,20
GLYATm,1,0,28,21
GLYK,0,1,29,20
GLYOp,0,1,29,20
GLYTRS,29,21,0,0
GMPS,9,15,20,6
GMPS2,20,6,9,15
GND,3,7,26,14
GNDer,16,7,13,14
GPAM_hs,29,12,0,9
GPAT,2,0,27,21
GRTTx,29,21,0,0
GTPGDPtm,16,3,13,18
GULN3D,1,0,28,21
GULNDer,1,0,28,21
GULNter,1,0,28,21
H2O2tm,4,0,25,21
H2O2tp,0,1,29,20
H2Otg,1,0,28,21
H2Otn,0,2,29,19
HACD180,21,15,8,6
HACD1m,2,0,27,21
HACD200,0,1,29,20
HACD201,1,0,28,21
HACD220,0,1,29,20
HACD221,1,0,28,21
HACD240,0,1,29,20
HACD241,1,0,28,21
HACD260,0,1,29,20
HCO3E,4,1,25,20
HCO3Em,1,2,28,19
HEX12,13,12,16,9
HEXCCOAtr,0,1,29,20
HISTRS,29,21,0,0
HISt4,5,7,24,14
