SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm,7,9,21,18
25HVITD3t,1,0,27,27
25HVITD3tm,1,0,27,27
2AMACSULT,1,0,27,27
2AOBUTtm,2,4,26,23
2HBACACte,0,1,28,26
2HBFORte,0,1,28,26
34DHMORx,0,1,28,26
34DHMORy,0,1,28,26
34HPLFM,3,1,25,26
3DPHBH1,2,1,26,26
3DSPHR,28,27,0,0
3HAD100,28,27,0,0
3HAD120,28,27,0,0
3HAD140,28,27,0,0
3HAD40,28,27,0,0
3HAD60,28,27,0,0
3HAD80,28,27,0,0
3HLYTCL,2,0,26,27
3HPCOAHYDm,1,0,27,27
3HPPDm,1,0,27,27
3M4HPGORx,3,2,25,25
3M4HPGORy,3,2,25,25
3MHISc,0,1,28,26
3MOPt2im,1,0,27,27
3MTPte,1,0,27,27
3OAR100,28,27,0,0
3OAR120,28,27,0,0
3OAR140,28,27,0,0
3OAR40,28,27,0,0
3OAR60,28,27,0,0
3OAR80,28,27,0,0
3OAS100,28,27,0,0
3OAS120,28,27,0,0
3OAS140,28,27,0,0
3OAS60,28,27,0,0
3OAS80,28,27,0,0
3OHGLUTACOAT3t,1,0,27,27
3OHGLUTACte,1,0,27,27
4HBZCOAFm,3,1,25,26
4HBZFm,3,1,25,26
4HPROLTASCT1,7,6,21,21
4HPRO_LTte,7,6,21,21
4MOPt2im,5,4,23,23
4MPTNLte,0,3,28,24
4MPTNLtm,0,3,28,24
5AOPtm,7,8,21,19
7DHCHSTEROLtr,1,0,27,27
AACOAT,2,2,26,25
ACACFORte,7,2,21,25
ACACLACte,3,2,25,25
ACACPYRte,5,1,23,26
ACACPYRtm,2,2,26,25
ACACT1r,3,4,25,23
ACACT1rm,16,19,12,8
ACACt2,5,1,23,26
ACACt2m,0,1,28,26
ACCOAC,28,27,0,0
ACCOAL2,18,14,10,13
ACGAM2E,4,1,24,26
ACGAM6PSi,11,6,17,21
ACGAMK,1,0,27,27
ACGAMPM,13,7,15,20
ACGAMtly,5,2,23,25
ACITL,1,4,27,23
ACMAT1,28,27,0,0
ACNAM9PL,2,0,26,27
ACNAMPH,2,0,26,27
ACNAMlt,4,2,24,25
ACNMLr,2,1,26,26
ACOA40ORm,1,0,27,27
ACOAD1fm,1,0,27,27
ACOAD8m,10,5,18,22
ACOAHim,0,1,28,26
ACOAS,18,14,10,13
ACOATA,28,27,0,0
ACOD,1,1,27,26
ACONTa,2,2,26,25
ACONTam,3,4,25,23
ACONTb,2,2,26,25
ACONTbm,3,5,25,22
ACRNtm,7,1,21,26
ACSm,1,2,27,25
ACt2m,1,3,27,24
ADK1,22,23,6,4
ADK1m,0,1,28,26
ADK3,5,1,23,26
ADK3m,3,1,25,26
ADKd,6,5,22,22
ADNK1,0,1,28,26
ADNK3,2,0,26,27
ADNt,0,1,28,26
ADPT,0,1,28,26
ADPt4,2,3,26,24
ADRNLPVESSEC,2,0,26,27
ADSK,5,2,23,25
ADSL1,28,27,0,0
ADSL2,28,27,0,0
ADSS,28,27,0,0
AG13T16g,2,1,26,26
AG13T17g,2,1,26,26
AG13T18g,2,1,26,26
AGPAT1,17,18,11,9
AGPAT1m,12,11,16,16
AHC,2,2,26,25
AHCYStn,7,11,21,16
AICART,28,27,0,0
AIRCr,28,27,0,0
AKGACONtm,1,0,27,27
AKGBHBte,3,0,25,27
AKGBUTte,2,0,26,27
AKGCITtm,1,0,27,27
AKGDa1,3,2,25,25
AKGDa2,3,2,25,25
AKGDb,3,2,25,25
AKGFORte,7,3,21,24
AKGICITtm,1,0,27,27
AKGLACte,0,3,28,24
AKGMALtm,1,0,27,27
AKGSUCCtm,7,9,21,18
AKGtn,3,0,25,27
AKR1C41,0,2,28,25
ALASm,7,8,21,19
ALATA_L,8,5,20,22
ALATRS,28,27,0,0
ALAt2r,1,1,27,26
ALAt4,1,0,27,27
ALAtN1,1,2,27,25
ALCD1,2,0,26,27
ALDD19xrm,0,4,28,23
ALDD19yrm,0,4,28,23
ALDD2x,0,1,28,26
ALDD2y,14,10,14,17
AMANK,2,0,26,27
AMETEPMT,18,15,10,12
AMETt2m,3,1,25,26
AMETtn,7,11,21,16
AMID6,3,2,25,25
AMPt4,3,2,25,25
ARACHCOAtr,2,0,26,27
ARGATB0tc,4,12,24,15
ARGTRS,28,27,0,0
ARGt4,2,2,26,25
ARGt5r,0,2,28,25
ARGtn,1,0,27,27
ARTFR12,1,0,27,27
ARTFR13,28,27,0,0
ARTFR207,2,0,26,27
ARTFR32,5,2,23,25
ARTFR41,0,2,28,25
ARTFR42,4,1,24,26
ARTFR45,1,0,27,27
ARTFR52,5,2,23,25
ARTPLM1,26,27,2,0
ARTPLM2,1,0,27,27
ARTPLM3,1,0,27,27
ASAH1,1,0,27,27
ASCBt,0,2,28,25
ASCBt5,3,0,25,27
ASCBtr,5,2,23,25
ASNATB0tc,3,5,25,22
ASNN,1,0,27,27
ASNTRS,28,27,0,0
ASNt4,24,15,4,12
ASP1DC,0,1,28,26
ASPCTr,28,27,0,0
ASPDH,0,1,28,26
ASPPROASCT1,2,12,26,15
ASPTA,4,7,24,20
ASPTRS,28,27,0,0
ASPt6,4,6,24,21
ASPte,0,1,28,26
ATP1ter,2,1,26,26
ATPS4m,25,25,3,2
ATPt4,2,4,26,23
ATPtm,3,6,25,21
B3GALTg,0,2,28,25
B3GNT310g,1,1,27,26
B3GNT51g,1,3,27,24
BDMT,2,0,26,27
BETALDHxm,2,1,26,26
BHBt,3,0,25,27
BHMT,2,1,26,26
BILDGLCURt,1,3,27,24
BILDGLCURtr,1,3,27,24
BILDGLUCRabc,2,1,26,26
BILIRED,3,1,25,26
BILIRED2,4,7,24,20
BILIRUBtr,5,7,23,20
BPNT,5,2,23,25
BUTt2m,2,0,26,27
BUTt2r,2,0,26,27
C14STRr,28,27,0,0
C160CPT1,3,0,25,27
C161CPT1,1,2,27,25
C3STDH1Pr,27,26,1,1
C3STDH1r,1,1,27,26
C3STKR2r,28,27,0,0
C4STMO1r,28,27,0,0
C4STMO2Pr,24,25,4,2
C4STMO2r,3,2,25,25
CACT3r,3,0,25,27
CACT4r,1,2,27,25
CACT6r,25,7,3,20
CAT,1,0,27,27
CAt7r,0,2,28,25
CBPS,28,27,0,0
CBPSam,1,0,27,27
CDIPTr,28,27,0,0
CDPDAGtm,13,12,15,15
CDS,15,15,13,12
CDSm,13,12,15,15
CEPTC,27,26,1,1
CEPTE,13,16,15,11
CERT2rt,1,3,27,24
CHLPCTD,27,26,1,1
CHLtm,2,1,26,26
CHOLD2m,2,1,26,26
CHOLK,28,27,0,0
CHOLPtl,1,0,27,27
CHOLt4,14,2,14,25
CHOLtu,13,25,15,2
CHSTEROLt2,27,26,1,1
CHSTEROLt3,27,26,1,1
CHSTEROLtrc,1,1,27,26
CITMCOAHm,1,1,27,26
CITMCOALm,1,1,27,26
CITRORNte,0,1,28,26
CITRt2m,7,2,21,25
CITRte,1,1,27,26
CITRtm,8,2,20,25
CITSUCCtm,3,4,25,23
CITt4_4,1,0,27,27
CITtam,1,0,27,27
CITte,2,0,26,27
CLCFTRte,1,1,27,26
CLFORtex,11,10,17,17
CLFORtex2,1,8,27,19
CLHCO3tex2,0,1,28,26
CLHCOtex,2,0,26,27
CLPNH,2,1,26,26
CLS_hs,28,27,0,0
CMPACNAtg,4,2,24,25
CMPSAS,4,2,24,25
CO2t,1,1,27,26
CO2ter,28,27,0,0
CO2tm,8,14,20,13
CO2tn,3,0,25,27
COAtm,24,23,4,4
COAtr,4,2,24,25
COQ3m,3,1,25,26
COQ5m,3,1,25,26
COQ6m,3,1,25,26
COQ7m,3,1,25,26
CORE3GTg,2,1,26,26
CORE4GTg,2,1,26,26
COUCOAFm,3,1,25,26
COt,7,8,21,19
CPPPGO,7,8,21,19
CRNtim,14,2,14,25
CSNATm,7,1,21,26
CSNATr,5,1,23,26
CTPS1,27,26,1,1
CTPS2,1,1,27,26
CTPtm,11,10,17,17
CYOOm2,25,23,3,4
CYOOm3,0,3,28,24
CYOR_u10m,25,26,3,1
CYSALANaEx,2,2,26,25
CYSATB0tc,2,2,26,25
CYSGLTH,1,0,27,27
CYSGLYex,1,0,27,27
CYSRED,1,0,27,27
CYSTRS,28,27,0,0
CYSt4,22,19,6,8
CYTDK2m,2,2,26,25
CYTDn,3,2,25,25
CYTDtm,2,2,26,25
CYTDtn,3,2,25,25
CYTK1,17,14,11,13
CYTK1m,2,2,26,25
CYTK3,4,4,24,23
CYTK8,5,7,23,20
DADK1,3,2,25,25
DADK3,6,5,22,22
DADNK,3,2,25,25
DAGKm_hs,2,0,26,27
DAG_Hstem,2,0,26,27
DATPtn,28,27,0,0
DCTPtn,28,27,0,0
DCYTD,5,4,23,23
DECDPtm,3,1,25,26
DESAT16_1,1,2,27,25
DESAT18_1,10,3,18,24
DGK1i,0,1,28,26
DGNSK,0,1,28,26
DGTPtn,28,27,0,0
DHAAt1r,1,0,27,27
DHCHOLOR,0,2,28,25
DHCR241r,6,7,22,20
DHCR242r,5,4,23,23
DHCR243r,17,16,11,11
DHCR71r,17,16,11,11
DHCR72r,11,11,17,16
DHCRD1,24,22,4,5
DHCRD2,1,2,27,25
DHDPBMTm,3,1,25,26
DHFR,6,6,22,21
DHFR3m,0,1,28,26
DHFR3x,0,1,28,26
DHFRm,2,5,26,22
DHFRx,12,14,16,13
DHFtm,12,17,16,10
DHORD9,28,27,0,0
DHORTS,28,27,0,0
DHPR,1,0,27,27
DHRT_ivcoa,10,5,18,22
DLD,13,17,15,10
DMATTx,28,27,0,0
DMGDHm,2,1,26,26
DMGtm,2,1,26,26
DNAsyn,28,27,0,0
DNDPt42m,1,1,27,26
DOLASNTer,2,0,26,27
DOLDPPer,2,0,26,27
DOLGLCP_ter,2,0,26,27
DOLMANP_ter,2,0,26,27
DOLPGT1er,2,0,26,27
DOLPGT2er,2,0,26,27
DOLPGT3er,2,0,26,27
DOLPMT,2,0,26,27
DOLPMT1er,2,0,26,27
DOLPMT2_er,2,0,26,27
DOLPMT3er,2,0,26,27
DOLPMT4_er,2,0,26,27
DOLP_ter,2,0,26,27
DOPABMO,2,0,26,27
DPCOAK,2,16,26,11
DPHMBDCm,3,1,25,26
DPMVDc,28,27,0,0
DPPS,3,1,25,26
DSAT,28,27,0,0
DTMPK,28,27,0,0
DTTPtn,28,27,0,0
DUMPtm,1,1,27,26
DURIK1,5,4,23,23
DURIPP,3,2,25,25
DUTCP,5,4,23,23
DUTPDP,1,1,27,26
DUTPDPm,1,1,27,26
EAR100y,28,27,0,0
EAR120y,28,27,0,0
EAR140y,28,27,0,0
EAR40y,28,27,0,0
EAR60y,28,27,0,0
EAR80y,28,27,0,0
EBP1r,22,20,6,7
EBP2r,6,7,22,20
ECOAH1m,2,0,26,27
ENO,19,19,9,8
ETHAK,12,15,16,12
ETHP,5,0,23,27
ETHPL,3,0,25,27
FA140ACPH,28,27,0,0
FA40ACPH,2,0,26,27
FACOAL140i,24,25,4,2
FACOAL40im,2,0,26,27
FADDPle,0,2,28,25
FADFADH2tm,1,2,27,25
FADH2ETC,0,1,28,26
FADte,0,2,28,25
FAE180,20,6,8,21
FAE200,7,2,21,25
FAE201,1,0,27,27
FAE220,5,2,23,25
FAE221,1,0,27,27
FAE240,5,2,23,25
FAE241,1,0,27,27
FAE260,5,2,23,25
FALDte,0,1,28,26
FALDtm,2,1,26,26
FALDtn,3,0,25,27
FALDtx,1,0,27,27
FATP1t,1,0,27,27
FBA,21,23,7,4
FBA3,1,1,27,26
FCLTm,7,8,21,19
FCYTOB5OXRr,26,18,2,9
FCYTOB5OXRyr,3,10,25,17
FDH,0,1,28,26
FE2tm,7,10,21,17
FE3tm,0,2,28,25
FECR,0,2,28,25
FMNALKPle,0,2,28,25
FMNAT,0,2,28,25
FOLt2,0,2,28,25
FOLtm,0,1,28,26
FORLACte,1,1,27,26
FORtr,28,27,0,0
FRDPtc,3,1,25,26
FRDPtr,28,27,0,0
FTHFDHm,1,0,27,27
FTMTm,0,2,28,25
FUCACGALFUCGALACGLCGALGLUSIDEte,0,1,28,26
FUCACGALFUCGALACGLCGALGLUSIDEtg,0,1,28,26
FUM,24,20,4,7
FUMMALtm,3,4,25,23
FUMSUCCtm,0,1,28,26
FUMm,4,5,24,22
FUT121g,0,1,28,26
FUT33g,0,1,28,26
G12MT1,2,0,26,27
G12MT2,2,0,26,27
G13MT,2,0,26,27
G14T18g,2,1,26,26
G14T19g,2,1,26,26
G14T20g,2,1,26,26
G14T21g,2,1,26,26
G16MT,2,0,26,27
G3PD1,27,27,1,0
G5SADr,3,3,25,24
G6PDH2r,7,1,21,26
GALASE17ly,4,2,24,25
GALASE18ly,4,2,24,25
GALASE19ly,4,2,24,25
GALASE20ly,2,1,26,26
GALGLUSIDEtg,1,3,27,24
GALGLUSIDEtr,1,3,27,24
GALK,2,0,26,27
GALM2,3,1,25,26
GALNTg,4,2,24,25
GALU,17,11,11,16
GALtly,4,2,24,25
GAPD,17,19,11,8
GARFT,28,27,0,0
GDPFUCtg,3,3,25,24
GDPtg,3,3,25,24
GF6PTA,11,6,17,21
GFUCSx,2,3,26,24
GGTA1g,0,1,28,26
GHMT2r,28,27,0,0
GHMT2rm,5,8,23,19
GK1i,28,27,0,0
GLACter,5,2,23,25
GLCNACPT,2,0,26,27
GLCNACT,2,0,26,27
GLCURter,5,2,23,25
GLCURtly,5,2,23,25
GLCt1r,17,14,11,13
GLCt2_2,0,1,28,26
GLCt4,5,2,23,25
GLCt4_2,1,1,27,26
GLCter,2,0,26,27
GLNATB0tc,2,3,26,24
GLNTRS,28,27,0,0
GLNt4,17,10,11,17
GLNtN1,3,4,25,23
GLNtm,0,1,28,26
GLRASE,5,2,23,25
GLU5SAtmc,3,3,25,24
GLUDxm,3,1,25,26
GLUDym,4,8,24,19
GLUGLUr,0,1,28,26
GLUGLUt,0,1,28,26
GLUNm,0,1,28,26
GLUPROASCT1,3,1,25,26
GLUPRT,28,27,0,0
GLUTRS,28,27,0,0
GLUt2m,2,7,26,20
GLXtm,1,1,27,26
GLXtp,1,1,27,26
GLYATm,2,4,26,23
GLYBtm,2,1,26,26
GLYC3Ptm,1,6,27,21
GLYC3Ptmc,10,4,18,23
GLYCLTDym,1,1,27,26
GLYCLTtm,1,1,27,26
GLYCLTtp,1,1,27,26
GLYCTO1p,1,1,27,26
GLYCtm,1,0,27,27
GLYKm,1,0,27,27
GLYTRS,28,27,0,0
GLYt2r,1,2,27,25
GLYt4,1,0,27,27
GLYt7_311_r,4,5,24,22
GLYtm,9,10,19,17
GLYtp,1,0,27,27
GMAND,3,3,25,24
GMPS,24,24,4,3
GMPS2,4,3,24,24
GMPtg,3,3,25,24
GND,7,1,21,26
GPAM_hs,17,18,11,9
GPAMm_hs,12,11,16,16
GPAT,3,2,25,25
GPCCPDE,1,0,27,27
GPCCPDE2,0,1,28,26
GRTTx,28,27,0,0
GTHP,1,1,27,26
GTPGDPtm,10,6,18,21
GULLACter,5,2,23,25
GULOer,5,2,23,25
H2O2t,6,4,22,23
H2O2ter,5,2,23,25
H2O2tp,2,2,26,25
H2Ot,1,3,27,24
H2Oter,0,2,28,25
H2Otg,11,7,17,20
H2Otly,5,2,23,25
H2Otn,3,2,25,25
H2Otp,1,0,27,27
H3K36MET_1,0,1,28,26
H3K36MET_2,1,1,27,26
H3K36MET_3,0,1,28,26
H3K36_synthesis,0,1,28,26
H3K4DMET_1,1,0,27,27
H3K4MET_1,2,8,26,19
