SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm,0,2,23,23
25HVITD3t,1,1,22,24
34HPLFM,2,0,21,25
3DPHBH1,1,0,22,25
3DPHBH2,1,0,22,25
3DSPHR,23,25,0,0
3HAD100,23,25,0,0
3HAD100m,2,4,21,21
3HAD120,23,25,0,0
3HAD140,23,25,0,0
3HAD140m,2,4,21,21
3HAD160,1,2,22,23
3HAD241n9p,0,2,23,23
3HAD40,23,25,0,0
3HAD60,23,25,0,0
3HAD60m,2,4,21,21
3HAD80,23,25,0,0
3HAD80m,2,4,21,21
3HDH100m,2,4,21,21
3HDH140m,2,4,21,21
3HDH224n6p,0,1,23,24
3HDH241n9p,0,2,23,23
3HDH60m,2,4,21,21
3HDH80m,2,4,21,21
3HPCOAHYDm,1,0,22,25
3HPPDm,1,0,22,25
3MHISc,1,0,22,25
3MHISt3,1,0,22,25
3MTPte,1,0,22,25
3OAR100,23,25,0,0
3OAR120,23,25,0,0
3OAR140,23,25,0,0
3OAR160,1,2,22,23
3OAR40,23,25,0,0
3OAR60,23,25,0,0
3OAR80,23,25,0,0
3OAS100,23,25,0,0
3OAS120,23,25,0,0
3OAS140,23,25,0,0
3OAS160,1,2,22,23
3OAS60,23,25,0,0
3OAS80,23,25,0,0
4ABUTtm,0,3,23,22
4HBZCOAFm,2,0,21,25
4HBZFm,2,0,21,25
4HPROLTASCT1,2,0,21,25
4HPRO_LTte,2,0,21,25
4MOPt2im,2,0,21,25
4OHBUTm,1,3,22,22
4OHBUTtce,1,3,22,22
4OHBUTtmc,1,3,22,22
5AOPtm,1,2,22,23
5MTHFt2,0,1,23,24
7DHCHSTEROLtr,1,3,22,22
AACOAT,0,2,23,23
ABTArm,0,3,23,22
ABUTt4_2_r,0,2,23,23
ACACFORte,9,0,14,25
ACACLACte,2,0,21,25
ACACPYRte,6,1,17,24
ACACPYRtm,0,2,23,23
ACACT100m,2,4,21,21
ACACT140m,2,4,21,21
ACACT1r,0,6,23,19
ACACT1rm,8,12,15,13
ACACT224n6p,0,3,23,22
ACACT60m,2,4,21,21
ACACT80m,2,4,21,21
ACACt2,6,1,17,24
ACACt2m,2,0,21,25
ACCOAC,23,25,0,0
ACCOAL2,16,13,7,12
ACGAM2E,0,1,23,24
ACGAM6PSi,13,7,10,18
ACGAMPM,13,7,10,18
ACGAMtly,0,1,23,24
ACITL,1,8,22,17
ACMAT1,23,25,0,0
ACNMLr,3,1,20,24
ACOA40ORm,0,1,23,24
ACOAD100m,2,4,21,21
ACOAD140m,2,4,21,21
ACOAD1fm,2,2,21,23
ACOAD241n9p,0,2,23,23
ACOAD60m,2,4,21,21
ACOAD80m,2,4,21,21
ACOAD8m,12,4,11,21
ACOAHim,0,1,23,24
ACOAS,16,13,7,12
ACOATA,23,25,0,0
ACOATE100m,2,4,21,21
ACOATE204,0,1,23,24
ACOD,1,7,22,18
ACONTa,1,4,22,21
ACONTam,0,3,23,22
ACONTb,2,6,21,19
ACONTbm,0,12,23,13
ACRNtm,2,0,21,25
ACt2m,0,1,23,24
ADK1,10,1,13,24
ADK3,7,13,16,12
ADK3m,0,4,23,21
ADKd,7,12,16,13
ADNK3,0,1,23,24
ADNtm,0,2,23,23
ADPGK,2,8,21,17
ADPt4,1,0,22,25
ADSL1,23,25,0,0
ADSL2,23,25,0,0
ADSS,23,25,0,0
AGPAT1,4,12,19,13
AGPAT1m,19,14,4,11
AHEXASE2ly,0,1,23,24
AICART,23,25,0,0
AIRCr,23,25,0,0
AKGACONtm,0,4,23,21
AKGACte,1,0,22,25
AKGCITtm,0,2,23,23
AKGDa1,2,12,21,13
AKGDa2,2,12,21,13
AKGDb,2,12,21,13
AKGFORte,2,1,21,24
AKGGHTRDtm,0,4,23,21
AKGLACte,0,1,23,24
AKGMALtm,1,4,22,21
AKGSUCCtm,2,0,21,25
ALAATB0tc,2,0,21,25
ALAGLNexR,0,1,23,24
ALASm,1,2,22,23
ALATA_L,0,2,23,23
ALATRS,23,25,0,0
ALAt2r,4,0,19,25
ALAt4,3,0,20,25
ALAtN1,2,0,21,25
ALCD1,3,0,20,25
ALDD19x,1,0,22,25
ALDD19xrm,2,0,21,25
ALDD19y,1,0,22,25
ALDD19yrm,2,0,21,25
ALDD2y,6,1,17,24
AMETEPMT,10,6,13,19
AMETt2m,2,0,21,25
AMID6,0,10,23,15
AMPPHm,0,2,23,23
AMPt4,3,0,20,25
ARACHCOAtr,0,1,23,24
ARACHDCOAtr,0,1,23,24
ARCOAATp,0,3,23,22
ARGATB0tc,4,2,19,23
ARGLYSex,0,11,23,14
ARGTRS,23,25,0,0
ARGt4,2,4,21,21
ARTFR12,4,4,19,21
ARTFR13,22,23,1,2
ARTFR207,0,1,23,24
ARTFR212,0,1,23,24
ARTFR32,3,2,20,23
ARTFR41,2,1,21,24
ARTFR42,3,1,20,24
ARTFR45,4,1,19,24
ARTFR52,3,2,20,23
ARTPLM1,22,21,1,4
ARTPLM1m,0,2,23,23
ARTPLM3,0,2,23,23
ASNALANaEx,0,1,23,24
ASNATB0tc,6,3,17,22
ASNN,0,2,23,23
ASNPHELAT2tc,0,2,23,23
ASNTHRNaEx,0,1,23,24
ASNTRS,23,25,0,0
ASNt4,13,15,10,10
ASNtN1,2,2,21,23
ASPCTr,23,25,0,0
ASPGLUm,0,13,23,12
ASPPROASCT1,10,1,13,24
ASPTA,0,3,23,22
ASPTAm,0,13,23,12
ASPTRS,23,25,0,0
ASPt6,6,6,17,19
ATP1ter,0,1,23,24
ATPS4m,2,10,21,15
ATPt4,1,0,22,25
ATPtm,2,2,21,23
A_MANASEly,0,1,23,24
Asn_X_Ser/Thrtr,0,1,23,24
B3GALTg,0,1,23,24
B3GNT310g,5,0,18,25
B3GNT51g,10,3,13,22
BDMT,0,1,23,24
BILDGLCURt5e,1,1,22,24
BILDGLCURtr,1,1,22,24
BILDGLUCRabc,0,1,23,24
BILIRED,1,1,22,24
BILIRED2,0,1,23,24
BILIRUBtr,1,2,22,23
BTCOACRNtm,1,3,22,22
B_MANNASEly,0,1,23,24
C14STRr,23,25,0,0
C160CPT1,0,2,23,23
C160CPT2,0,2,23,23
C160CRNt,0,2,23,23
C161CPT1,6,5,17,20
C204CPT1,0,3,23,22
C3STDH1Pr,13,16,10,9
C3STDH1r,10,9,13,16
C3STKR2r,23,25,0,0
C4STMO1r,23,25,0,0
C4STMO2Pr,14,16,9,9
C4STMO2r,9,9,14,16
CACT4r,6,5,17,20
CACT6r,21,9,2,16
CACT7p,0,3,23,22
CAT,1,1,22,24
CATm,0,1,23,24
CATp,0,2,23,23
CAtm7,0,1,23,24
CBPS,23,25,0,0
CDIPTr,23,25,0,0
CDPDAGtm,20,17,3,8
CDS,4,9,19,16
CDSm,20,17,3,8
CEPTC,23,25,0,0
CEPTE,2,2,21,23
CERT2rt,10,3,13,22
CHLPCTD,23,25,0,0
CHOLESTTDe,0,1,23,24
CHOLK,23,25,0,0
CHOLtu,22,24,1,1
CHSTEROLt2,12,3,11,22
CHSTEROLt3,12,3,11,22
CHSTEROLtrc,11,22,12,3
CITMCOAHm,1,7,22,18
CITMCOALm,1,7,22,18
CITRt2m,0,2,23,23
CITRtm,0,1,23,24
CITSUCCtm,0,1,23,24
CITt4_3,0,1,23,24
CITtam,0,7,23,18
CITte,0,2,23,23
CLFORtex,8,14,15,11
CLFORtex2,2,10,21,15
CLHCOtex,0,1,23,24
CLPNH,0,1,23,24
CLS_hs,23,25,0,0
CMPACNAtg,3,1,20,24
CMPSAS,3,1,20,24
CO2t,2,5,21,20
CO2ter,23,25,0,0
CO2tm,4,8,19,17
COAtm,23,17,0,8
COAtp,0,3,23,22
COAtr,6,5,17,20
COQ3m,2,0,21,25
COQ5m,2,0,21,25
COQ6m,2,0,21,25
COQ7m,2,0,21,25
COUCOAFm,2,0,21,25
COt,1,2,22,23
CPPPGO,1,2,22,23
CRNCARtp,0,3,23,22
CRNtim,19,14,4,11
CSNATm,2,0,21,25
CSNATp,0,3,23,22
CSNATr,2,3,21,22
CTPS1,23,25,0,0
CTPtm,20,14,3,11
CYOOm2,17,24,6,1
CYOOm3,1,0,22,25
CYOR_u10m,18,24,5,1
CYP2R1,1,3,22,22
CYSALANaEx,1,3,22,22
CYSATB0tc,6,0,17,25
CYSGLUexR,0,2,23,23
CYSGLYex,3,3,20,22
CYSSNAT5tc,0,1,23,24
CYSTRS,23,25,0,0
CYSt4,12,9,11,16
CYTDK2m,0,3,23,22
CYTDn,0,3,23,22
CYTDtm,0,3,23,22
CYTDtn,0,3,23,22
CYTK1,10,0,13,25
CYTK1m,0,3,23,22
CYTK3,5,9,18,16
CYTK8,7,13,16,12
DADK3,7,13,16,12
DAGKm_hs,1,3,22,22
DAG_Hstem,1,3,22,22
DATPtn,23,25,0,0
DCSPTN1COAtr,0,1,23,24
DCTPtn,23,25,0,0
DCYTD,0,5,23,20
DECDPtm,2,0,21,25
DESAT16_1,6,5,17,20
DESAT18_1,15,6,8,19
DESAT22_1p,0,1,23,24
DGTPtn,23,25,0,0
DHCR241r,4,2,19,23
DHCR242r,9,15,14,10
DHCR243r,11,9,12,16
DHCR71r,11,9,12,16
DHCR72r,12,16,11,9
DHCRD1,23,25,0,0
DHDPBMTm,2,0,21,25
DHFR,6,12,17,13
DHFR3m,2,1,21,24
DHFR3x,0,1,23,24
DHFRm,3,2,20,23
DHFRx,2,0,21,25
DHFtm,3,1,20,24
DHORD9,23,25,0,0
DHORTS,23,25,0,0
DHRT_ivcoa,12,4,11,21
DLD,14,15,9,10
DMATTx,23,25,0,0
DNAsyn,23,25,0,0
DNDPt42m,5,6,18,19
DNDPt5m,0,1,23,24
DOLASNTer,0,1,23,24
DOLDPPer,0,1,23,24
DOLGLCP_ter,0,1,23,24
DOLMANP_ter,0,2,23,23
DOLPGT1er,0,1,23,24
DOLPGT2er,0,1,23,24
DOLPGT3er,0,1,23,24
DOLPMT,0,2,23,23
DOLPMT1er,0,1,23,24
DOLPMT2_er,0,1,23,24
DOLPMT3er,0,1,23,24
DOLPMT4_er,0,1,23,24
DOLP_ter,0,2,23,23
DPCOAK,1,16,22,9
DPHMBDCm,2,0,21,25
DPMVDc,23,25,0,0
DPPS,2,0,21,25
DSAT,23,25,0,0
DTMPK,23,24,0,1
DTMPKm,0,1,23,24
DTMPtm,0,1,23,24
DTTPtn,23,25,0,0
DUMPtm,5,6,18,19
DURIK1,0,5,23,20
DUTCP,0,1,23,24
DUTPDP,2,0,21,25
DUTPDPm,5,6,18,19
EAR100y,23,25,0,0
EAR120y,23,25,0,0
EAR140y,23,25,0,0
EAR160y,1,2,22,23
EAR40y,23,25,0,0
EAR60y,23,25,0,0
EAR80y,23,25,0,0
EBP1r,19,23,4,2
EBP2r,4,2,19,23
ECOAH1m,2,3,21,22
ENGASE2ly,0,1,23,24
ENO,15,22,8,3
ESTRADIOLtr,3,0,20,25
ESTRONEtr,3,0,20,25
ETHMALACc,1,3,22,22
ETHMALACte,1,3,22,22
ETHMALCOAc,1,3,22,22
ETHP,8,4,15,21
FA140ACPH,22,24,1,1
FA160ACPH,1,2,22,23
FACOAL100im,2,4,21,21
FACOAL140i,22,24,1,1
FACOAL160i,1,2,22,23
FADH2ETC,1,0,22,25
FAE180,20,8,3,17
FAE200,3,2,20,23
FAE201,4,3,19,22
FAE220,3,2,20,23
FAE221,4,3,19,22
FAE224,0,1,23,24
FAE240,3,2,20,23
FAE241,4,3,19,22
FAE260,3,2,20,23
FBA,8,5,15,20
FBA3,5,8,18,17
FCLTm,1,2,22,23
FCYTOB5OXRr,17,17,6,8
FCYTOB5OXRyr,8,5,15,20
FE2tm,1,2,22,23
FOLt2,1,1,22,24
FOLtm,2,1,21,24
FORtr,23,25,0,0
FRDPtc,2,0,21,25
FRDPtr,23,25,0,0
FTHFL,0,2,23,23
FUCACNGAL14ACGLCGALGLUSIDEte,2,0,21,25
FUCACNGAL14ACGLCGALGLUSIDEtg,2,0,21,25
FUM,20,23,3,2
FUMMALtm,3,0,20,25
FUMSUCCtm,2,0,21,25
FUMm,3,0,20,25
FUT92g,2,0,21,25
G12MT1,0,1,23,24
G12MT2,0,1,23,24
G13MT,0,1,23,24
G16MT,0,1,23,24
G3PD1,23,25,0,0
G5SADm,0,1,23,24
G5SDym,0,1,23,24
G6PDH1rer,3,1,20,24
G6PDH2r,2,13,21,12
G6PDH2rer,6,10,17,15
G6Pt6er,19,19,4,6
G6Pter,13,7,10,18
GALGLUSIDEtg,10,3,13,22
GALGLUSIDEtr,10,3,13,22
GALU,13,8,10,17
GAPD,15,22,8,3
GARFT,23,25,0,0
GASNASE2ly,0,1,23,24
GDPFUCtg,10,3,13,22
GDPtg,10,3,13,22
GF6PTA,13,7,10,18
GFUCS,2,0,21,25
GFUCSx,7,3,16,22
GHMT2r,23,24,0,1
GHMT2rm,0,2,23,23
GK1i,23,25,0,0
GLCNACPT,0,1,23,24
GLCNACT,0,1,23,24
GLCt1r,6,21,17,4
GLCt2_2,1,0,22,25
GLCt4,3,0,20,25
GLCt4_2,4,1,19,24
GLCter,0,1,23,24
GLNATB0tc,6,1,17,24
GLNTRS,23,25,0,0
GLNt4,9,6,14,19
GLNtN1,5,3,18,22
GLU5Km,0,1,23,24
GLUDxm,4,4,19,21
GLUDym,7,3,16,22
GLUGLUr,1,0,22,25
GLUGLUt,1,0,22,25
GLUPROASCT1,1,0,22,25
GLUPRT,23,25,0,0
GLUTRS,23,25,0,0
GLUt2e,0,2,23,23
GLUt2m,0,6,23,19
GLUt6,1,0,22,25
GLYC3Ptm,6,10,17,15
GLYC3Ptmc,4,4,19,21
GLYTRS,23,25,0,0
GLYt2r,2,0,21,25
GLYt7_311_r,0,1,23,24
GLYtm,0,3,23,22
GMAND,10,3,13,22
GMPS,19,23,4,2
GMPS2,4,2,19,23
GMPtg,10,3,13,22
GND,2,13,21,12
GNDer,10,12,13,13
GPAM_hs,4,12,19,13
GPAMm_hs,19,14,4,11
GPAT,0,10,23,15
GRTTx,23,25,0,0
GTPGDPtm,6,13,17,12
H2O2tm,0,1,23,24
H2O2tp,0,1,23,24
H2Ot,1,6,22,19
H2Oter,8,1,15,24
H2Otg,12,6,11,19
H2Otly,0,1,23,24
H2Otn,0,3,23,22
H2Otp,0,2,23,23
HACD180,20,8,3,17
HACD1m,2,3,21,22
HACD200,3,2,20,23
HACD201,4,3,19,22
HACD220,3,2,20,23
HACD221,4,3,19,22
HACD224,0,1,23,24
HACD240,3,2,20,23
HACD241,4,3,19,22
HACD260,3,2,20,23
HBZOPT10m,2,0,21,25
HCO3E,0,16,23,9
HCO3Ee,2,11,21,14
HCO3Em,7,5,16,20
HCO3_CLt,0,2,23,23
HCO3_NAt,0,4,23,21
HCO3tm,4,4,19,21
HEX1,9,0,14,25
HEX11,1,0,22,25
HEX12,12,17,11,8
HEX16,0,1,23,24
HEXCCOAtr,3,2,20,23
HISTRS,23,25,0,0
HISt4,11,6,12,19
HIStN1,5,4,18,21
HIStiDF,1,0,22,25
HISyLATthc,0,1,23,24
HMBS,1,2,22,23
HMGCOARc,23,25,0,0
HMGCOASi,0,8,23,17
HMGCOASim,11,12,12,13
HMGCOAtm,23,17,0,8
HMGL,4,1,19,24
HOXG,1,2,22,23
HSD17B1,3,0,20,25
HSD17B8r,3,0,20,25
HSD180,20,8,3,17
HSD200,3,2,20,23
HSD201,4,3,19,22
HSD220,3,2,20,23
HSD221,4,3,19,22
HSD224,0,1,23,24
HSD240,3,2,20,23
HSD241,4,3,19,22
HSD260,3,2,20,23
Htg,12,6,11,19
Htr,9,4,14,21
Htx,0,1,23,24
ICDHxrm,1,4,22,21
ICDHyr,1,0,22,25
ICDHyrm,0,10,23,15
ICITACONtm,1,2,22,23
ICITMALtm,0,2,23,23
ILEATB0tc,4,2,19,23
ILELAT1tc,0,2,23,23
ILEOX,0,1,23,24
ILEPHELAT2tc,0,1,23,24
ILETA,0,1,23,24
ILETRS,23,25,0,0
ILEt4,19,15,4,10
IMPC,23,25,0,0
IMPD,23,25,0,0
INSTt2r,0,1,23,24
INSTt4_2,23,16,0,9
IPDDIx,23,25,0,0
IPDPtx,23,25,0,0
ITCOAL1m,1,7,22,18
KCC2t,2,2,21,23
KCCt,1,1,22,24
LARGtiDF,17,8,6,17
LDH_L,0,12,23,13
LEUATB0tc,6,2,17,23
LEUPHELAT2tc,0,1,23,24
LEUTA,2,0,21,25
LEUTAm,10,3,13,22
LEUTRS,23,25,0,0
LEUt4,12,14,11,11
LEUt5m,10,3,13,22
LEUyLAThtc,0,3,23,22
LNS14DMr,23,25,0,0
LNSTLSr,23,25,0,0
LSTO1r,11,9,12,16
LSTO2r,13,17,10,8
LYSATB0tc,0,1,23,24
LYSTRS,23,25,0,0
LYSt4,0,3,23,22
LYSt5r,19,18,4,7
LYStiDF,0,3,23,22
L_LACt2r,0,11,23,14
L_LACt4r,1,0,22,25
M1316Mg,0,1,23,24
M13N2Tg,0,1,23,24
M14NTg,0,1,23,24
M16NTg,0,1,23,24
M4MPDOL_ter,0,1,23,24
M8MASNterg,0,1,23,24
MALACONtm,0,4,23,21
MALCOAMT,21,9,2,16
MALCOAMTr,21,9,2,16
MAL_Lte,19,0,4,25
MALtm,0,1,23,24
MAN1PT2,11,5,12,20
MAN6PI,11,5,12,20
MANtg,0,1,23,24
MANtly,0,1,23,24
MCCCm,12,4,11,21
MCOATA,23,25,0,0
MDH,1,5,22,20
MDHm,0,17,23,8
ME1m,1,0,22,25
ME2,1,0,22,25
ME2m,0,1,23,24
METATB0tc,7,2,16,23
METDECARc,1,0,22,25
METTRANSc,1,0,22,25
METTRS,23,25,0,0
METt4,16,20,7,5
MEVK1c,23,25,0,0
MG1er,0,1,23,24
MG2er,0,1,23,24
MG3er,0,1,23,24
MGCHrm,12,4,11,21
MI1PP,0,8,23,17
MI3PP,0,8,23,17
MI3PS,0,8,23,17
MM5ag,0,1,23,24
MM6bg,0,1,23,24
MM7Cag,0,1,23,24
MM8Ag,0,1,23,24
MMCDm,1,0,22,25
MMEm,1,0,22,25
MMMm,1,0,22,25
MMSAD3m,1,0,22,25
MOD_3mhop,12,4,11,21
MTHFC,22,20,1,5
MTHFCm,0,2,23,23
MTHFD,1,13,22,12
MTHFD2,21,4,2,21
MTHFDm,0,2,23,23
MTHFR3x,0,1,23,24
N2M2NMASNt,0,1,23,24
N2M2NMASNtly,0,1,23,24
NACDe,8,2,15,23
NACPRT,8,2,15,23
NADH2_u10m,2,2,21,23
NADHtpu,0,3,23,22
NADHtru,9,6,14,19
NADPHtru,9,12,14,13
NADPtru,9,12,14,13
NADtru,9,6,14,19
NADtx,0,3,23,22
NAHCO3_HCLt,0,3,23,22
NAtm,0,1,23,24
NCAMDe,8,2,15,23
NCKt,3,9,20,16
NCNt,3,9,20,16
NDP6,0,5,23,20
NDP7er,11,5,12,20
NDP7g,12,6,11,19
NDP8,16,14,7,11
NDPK1,12,0,11,25
NDPK2,22,21,1,4
NDPK3,22,17,1,8
NDPK3m,0,3,23,22
NDPK4,23,25,0,0
NDPK5,22,21,1,4
NDPK6,5,0,18,25
NDPK7,23,25,0,0
NDPK8,7,3,16,22
NDPK9,1,0,22,25
NH4t3r,1,0,22,25
NH4tm,12,8,11,17
NH4tn,0,3,23,22
