SingleLethal,CountsInNormal,CountsInCancer,NotSLInNormal,NotSLInCancer,p-value,OddsRatio,ConfidenceInterval-I,ConfidenceInterval-II
DPCOAK,2,16,26,11,3.5877551462301e-05,0.0528846153846154,0.00620632895151297,0.450633952249163
PNTK,2,16,26,11,3.5877551462301e-05,0.0528846153846154,0.00620632895151297,0.450633952249163
PPCDC,2,16,26,11,3.5877551462301e-05,0.0528846153846154,0.00620632895151297,0.450633952249163
PTPAT,2,16,26,11,3.5877551462301e-05,0.0528846153846154,0.00620632895151297,0.450633952249163
Htr,0,12,28,15,3.962316286684e-05,0,-Inf,Inf
L_LACt2r,0,12,28,15,3.962316286684e-05,0,-Inf,Inf
PPNCL2,2,15,26,12,0.000101754889324798,0.0615384615384615,0.00726017925461758,0.521610020319007
PPIPItr,1,13,27,14,0.0001336129910626,0.0398860398860399,0.00241470684476481,0.658836156960378
CHOLtu,13,25,15,2,0.000204914456856729,0.0693333333333333,0.00824200267804828,0.583245516761885
ASPPROASCT1,2,12,26,15,0.00164297905561804,0.0961538461538462,0.01134403008534,0.815015656748448
PNTOt1,0,8,28,19,0.00182337085777707,0,-Inf,Inf
LYStn,1,10,27,17,0.00208312951836697,0.062962962962963,0.00376496276710108,1.0529545576696
PDHa,1,10,27,17,0.00208312951836697,0.062962962962963,0.00376496276710108,1.0529545576696
PDHbr,1,10,27,17,0.00208312951836697,0.062962962962963,0.00376496276710108,1.0529545576696
peplys_synthesis,1,10,27,17,0.00208312951836697,0.062962962962963,0.00376496276710108,1.0529545576696
RPE,20,27,8,0,0.0025527192008879,0,-Inf,Inf
TKT1,20,27,8,0,0.0025527192008879,0,-Inf,Inf
TKT2,20,27,8,0,0.0025527192008879,0,-Inf,Inf
LYSATB0tc,2,11,26,16,0.00374531035982028,0.111888111888112,0.0131307455503084,0.953407370047817
NAt5,4,13,24,14,0.00708221895898551,0.179487179487179,0.032507029458633,0.99103634311647
PYK6,2,10,26,17,0.00814022919484937,0.130769230769231,0.0152186866350088,1.12365752223575
CLFORtex2,1,8,27,19,0.0105134787756933,0.087962962962963,0.00514508925144961,1.50385784873286
H3K4MET_2,1,8,27,19,0.0105134787756933,0.087962962962963,0.00514508925144961,1.50385784873286
H3K4MET_3,1,8,27,19,0.0105134787756933,0.087962962962963,0.00514508925144961,1.50385784873286
H3K4_synthesis,1,8,27,19,0.0105134787756933,0.087962962962963,0.00514508925144961,1.50385784873286
TALA,20,26,8,1,0.0142843648900748,0.0961538461538462,0.00563212748883422,1.64157543459501
ARGATB0tc,4,12,24,15,0.0144449802494998,0.208333333333333,0.0376109242809565,1.15399391553251
FCYTOB5OXRyr,3,10,25,17,0.0227899586449463,0.204,0.0311581594620443,1.33563730074285
PPCOAtm,3,10,25,17,0.0227899586449463,0.204,0.0311581594620443,1.33563730074285
NCKt,0,5,28,22,0.02320653818989,0,-Inf,Inf
NCNt,0,5,28,22,0.02320653818989,0,-Inf,Inf
TXA2tr,0,5,28,22,0.02320653818989,0,-Inf,Inf
TXB2c,0,5,28,22,0.02320653818989,0,-Inf,Inf
TXB2r,0,5,28,22,0.02320653818989,0,-Inf,Inf
TXB2tr,0,5,28,22,0.02320653818989,0,-Inf,Inf
H3K4MET_1,2,8,26,19,0.0334666986023635,0.182692307692308,0.0206574852631383,1.61570873050548
GLYC3Ptm,1,6,27,21,0.0452195972728714,0.12962962962963,0.00726663509096582,2.31246521499424
