SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm,5,17,21,6
2AOBUTtm,1,2,25,21
3DSPHR,26,23,0,0
3HAD100,26,23,0,0
3HAD120,26,23,0,0
3HAD140,26,23,0,0
3HAD40,26,23,0,0
3HAD60,26,23,0,0
3HAD80,26,23,0,0
3M4HPGORx,1,0,25,23
3M4HPGORy,1,0,25,23
3MOPt2im,1,0,25,23
3OAR100,26,23,0,0
3OAR120,26,23,0,0
3OAR140,26,23,0,0
3OAR40,26,23,0,0
3OAR60,26,23,0,0
3OAR80,26,23,0,0
3OAS100,26,23,0,0
3OAS120,26,23,0,0
3OAS140,26,23,0,0
3OAS60,26,23,0,0
3OAS80,26,23,0,0
4HPROLTASCT1,0,2,26,21
4HPRO_LTte,0,1,26,22
4OHBUTm,0,1,26,22
4OHBUTtce,0,1,26,22
4OHBUTtmc,0,1,26,22
5AOPtm,0,1,26,22
5MTHFt2,1,0,25,23
AACOAT,0,3,26,20
ACACPYRte,0,1,26,22
ACACPYRtm,0,2,26,21
ACACT1r,5,4,21,19
ACACT1rm,9,19,17,4
ACCOAC,26,23,0,0
ACCOAL2,5,9,21,14
ACGAM6PSi,4,1,22,22
ACGAMPM,4,1,22,22
ACITL,0,6,26,17
ACMAT1,26,23,0,0
ACNAM9PL,1,0,25,23
ACNAMPH,1,0,25,23
ACNMLr,0,1,26,22
ACOAS,5,9,21,14
ACOATA,26,23,0,0
ACOD,3,0,23,23
ACONTa,3,4,23,19
ACONTam,3,5,23,18
ACONTb,3,4,23,19
ACONTbm,4,3,22,20
ACRNtm,1,2,25,21
ADK1,11,21,15,2
ADK3,3,1,23,22
ADK3m,4,1,22,22
ADKd,4,1,22,22
ADPGK,0,1,26,22
ADPT,1,0,25,23
ADSK,0,2,26,21
ADSL1,26,23,0,0
ADSL2,26,23,0,0
ADSS,26,23,0,0
AGMTm,1,0,25,23
AGPAT1,26,17,0,6
AGPAT1m,0,8,26,15
AHC,1,0,25,23
AICART,26,23,0,0
AIRCr,26,23,0,0
AKGACONtm,3,0,23,23
AKGCITtm,1,1,25,22
AKGDa1,13,3,13,20
AKGDa2,13,3,13,20
AKGDb,13,3,13,20
AKGGHTRDtm,1,0,25,23
AKGICITtm,2,1,24,22
AKGMALtm,0,3,26,20
AKGSUCCtm,1,1,25,22
ALASm,0,1,26,22
ALATA_L,13,0,13,23
ALATRS,26,23,0,0
ALAt2r,2,0,24,23
ALAtN1,1,0,25,23
ALCD1,0,1,26,22
ALDD2x,1,1,25,22
ALDD2y,3,5,23,18
AMANK,1,0,25,23
AMETEPMT,20,1,6,22
AMETt2m,1,1,25,22
AMPt4,4,1,22,22
ARGATB0tc,0,5,26,18
ARGDCm,1,0,25,23
ARGLYSex,0,1,26,22
ARGN,1,0,25,23
ARGTRS,26,23,0,0
ARGt4,0,2,26,21
ARGt5r,0,3,26,20
ARTFR13,26,22,0,1
ARTFR32,0,1,26,22
