CollateralLethal,DoubleLethalR1,DoubleLethalR2
NADPHtru,NADPHtru,PGLer
NADPtru,NADPHtru,RU5Ptr
PPAer,NADPtru,PGLer
FBA,NADPtru,RU5Ptr
PFK,PPAer,PPItr
PGI,FBA,PGI
TALA,FBA,FBA3
VALt4,FBA,PFK_3
RPE,FBA,RPE
G6PDH2rer,FBA,TKT1
GNDer,FBA,TKT2
FBA3,FBA,G6PDH2r
G6PDH2r,FBA,GND
GND,FBA,PGL
PFK_3,PFK,PGI
PGLer,PFK,PFK_3
RU5Ptr,PFK,RPE
TKT1,PFK,TKT1
TKT2,PFK,TKT2
PGL,PFK,PGL
PSSA2_hs,PGI,RPE
NaN,PGI,TKT1
NaN,PGI,TKT2
NaN,HISt4,HIStiDF
NaN,TALA,TKT1
NaN,TALA,TKT2
NaN,VALt4,VALtec
NaN,RPE,TALA
NaN,G6PDH2rer,NADPHtru
NaN,GNDer,NADPHtru
NaN,G6PDH2rer,NADPtru
NaN,GNDer,NADPtru
NaN,GALU,PPAer
NaN,PGMT,PPAer
NaN,FBA3,PFK
NaN,G6PDH2r,PFK
NaN,GND,PFK
NaN,FBA,PGI
NaN,PFK,PGI
NaN,FBA3,PGI
NaN,PFK_3,PGI
NaN,PE_HStm,PSSA2_hs
NaN,PSDm_hs,PSSA2_hs
NaN,PSFLIPm,PSSA2_hs
NaN,ILEPHELAT2tc,ILEt4
NaN,RPE,TALA
NaN,VALPHELAT2tc,VALt4
NaN,PGI,RPE
NaN,FBA,RPE
NaN,PFK,RPE
NaN,PGI,TKT1
NaN,FBA,TKT1
NaN,PFK,TKT1
NaN,TALA,TKT1
NaN,PGI,TKT2
NaN,FBA,TKT2
NaN,PFK,TKT2
NaN,TALA,TKT2
