CollateralLethal,DoubleLethalR1,DoubleLethalR2
HCO3E,HCO3E,HCO3Ee
MI1PP,MI1PP,MI4PP
ATPS4m,MI1PP,PIK4
MI14PP,ATPS4m,CAtm7
MI4PP,ATPS4m,NAtm
PIK4,ATPS4m,PIATPLtm
HCO3Ee,ATPS4m,FE3tm
PIPLC,ATPS4m,FECR
O2tm,ATPS4m,FTMTm
NaN,PGK,TPI
NaN,CO2t,HCO3E
NaN,H2Ot,HCO3E
NaN,MI14PP,MI1PP
NaN,MI14PP,PIPLC
NaN,MI4PP,PIPLC
NaN,PIK4,PIPLC
NaN,HCO3E,HCO3Ee
NaN,CATm,O2tm
NaN,H2O2tm,O2tm
NaN,ADPt4,ATPS4m
