Collateral,RxnToDelete,normalModel,cancerModel,Cancer
FBA,GND,PN22,PT10,PN
FBA,GND,PN22,PT11,PN
FBA,GND,PN22,PT12,PN
FBA,GND,PN22,PT14,PN
FBA,GND,PN22,PT15,PN
FBA,GND,PN22,PT16,PN
FBA,GND,PN22,PT18,PN
FBA,GND,PN22,PT20,PN
FBA,GND,PN22,PT23,PN
FBA,GND,PN22,PT27,PN
FBA,GND,PN22,PT29,PN
FBA,GND,PN22,PT3,PN
FBA,GND,PN22,PT30,PN
FBA,GND,PN22,PT5,PN
FBA,GND,PN22,PT6,PN
FBA,GND,PN22,PT7,PN
FBA,GND,PN22,PT8,PN
FBA,GND,PN24,PT1,PN
FBA,GND,PN24,PT10,PN
FBA,GND,PN24,PT11,PN
FBA,GND,PN24,PT12,PN
FBA,GND,PN24,PT14,PN
FBA,GND,PN24,PT15,PN
FBA,GND,PN24,PT16,PN
FBA,GND,PN24,PT18,PN
FBA,GND,PN24,PT20,PN
FBA,GND,PN24,PT23,PN
FBA,GND,PN24,PT27,PN
FBA,GND,PN24,PT29,PN
FBA,GND,PN24,PT3,PN
FBA,GND,PN24,PT30,PN
FBA,GND,PN24,PT5,PN
FBA,GND,PN24,PT6,PN
FBA,GND,PN24,PT7,PN
FBA,GND,PN24,PT8,PN
FBA,GND,PN25,PT1,PN
FBA,GND,PN25,PT10,PN
FBA,GND,PN25,PT11,PN
FBA,GND,PN25,PT12,PN
FBA,GND,PN25,PT14,PN
FBA,GND,PN25,PT15,PN
FBA,GND,PN25,PT16,PN
FBA,GND,PN25,PT18,PN
FBA,GND,PN25,PT20,PN
FBA,GND,PN25,PT23,PN
FBA,GND,PN25,PT27,PN
FBA,GND,PN25,PT29,PN
FBA,GND,PN25,PT3,PN
FBA,GND,PN25,PT30,PN
FBA,GND,PN25,PT5,PN
FBA,GND,PN25,PT6,PN
FBA,GND,PN25,PT7,PN
FBA,GND,PN25,PT8,PN
FBA,GND,PN26,PT1,PN
FBA,GND,PN26,PT10,PN
FBA,GND,PN26,PT11,PN
FBA,GND,PN26,PT12,PN
FBA,GND,PN26,PT14,PN
FBA,GND,PN26,PT15,PN
FBA,GND,PN26,PT16,PN
FBA,GND,PN26,PT18,PN
FBA,GND,PN26,PT20,PN
FBA,GND,PN26,PT23,PN
FBA,GND,PN26,PT27,PN
FBA,GND,PN26,PT29,PN
FBA,GND,PN26,PT3,PN
FBA,GND,PN26,PT30,PN
FBA,GND,PN26,PT5,PN
FBA,GND,PN26,PT6,PN
FBA,GND,PN26,PT7,PN
FBA,GND,PN26,PT8,PN
FBA,GND,PN27,PT1,PN
FBA,GND,PN27,PT10,PN
FBA,GND,PN27,PT11,PN
FBA,GND,PN27,PT12,PN
FBA,GND,PN27,PT14,PN
FBA,GND,PN27,PT15,PN
FBA,GND,PN27,PT16,PN
FBA,GND,PN27,PT18,PN
FBA,GND,PN27,PT20,PN
FBA,GND,PN27,PT23,PN
FBA,GND,PN27,PT27,PN
FBA,GND,PN27,PT29,PN
FBA,GND,PN27,PT3,PN
FBA,GND,PN27,PT30,PN
FBA,GND,PN27,PT5,PN
FBA,GND,PN27,PT6,PN
FBA,GND,PN27,PT7,PN
FBA,GND,PN27,PT8,PN
FBA,GND,PN27,PT1,PN
FBA,GND,PN27,PT10,PN
FBA,GND,PN27,PT11,PN
FBA,GND,PN27,PT12,PN
FBA,GND,PN27,PT14,PN
FBA,GND,PN27,PT15,PN
FBA,GND,PN27,PT16,PN
FBA,GND,PN27,PT18,PN
FBA,GND,PN27,PT20,PN
FBA,GND,PN27,PT23,PN
FBA,GND,PN27,PT27,PN
FBA,GND,PN27,PT29,PN
FBA,GND,PN27,PT3,PN
FBA,GND,PN27,PT30,PN
FBA,GND,PN27,PT5,PN
FBA,GND,PN27,PT6,PN
FBA,GND,PN27,PT7,PN
FBA,GND,PN27,PT8,PN
FBA,GND,PN29,PT1,PN
FBA,GND,PN29,PT10,PN
FBA,GND,PN29,PT11,PN
FBA,GND,PN29,PT12,PN
FBA,GND,PN29,PT14,PN
FBA,GND,PN29,PT15,PN
FBA,GND,PN29,PT16,PN
FBA,GND,PN29,PT18,PN
FBA,GND,PN29,PT20,PN
FBA,GND,PN29,PT23,PN
FBA,GND,PN29,PT27,PN
FBA,GND,PN29,PT29,PN
FBA,GND,PN29,PT3,PN
FBA,GND,PN29,PT30,PN
FBA,GND,PN29,PT5,PN
FBA,GND,PN29,PT6,PN
FBA,GND,PN29,PT7,PN
FBA,GND,PN29,PT8,PN
FBA,GND,PN3,PT1,PN
FBA,GND,PN3,PT10,PN
FBA,GND,PN3,PT11,PN
FBA,GND,PN3,PT12,PN
FBA,GND,PN3,PT14,PN
FBA,GND,PN3,PT15,PN
FBA,GND,PN3,PT16,PN
FBA,GND,PN3,PT18,PN
FBA,GND,PN3,PT20,PN
FBA,GND,PN3,PT23,PN
FBA,GND,PN3,PT27,PN
FBA,GND,PN3,PT29,PN
FBA,GND,PN3,PT3,PN
FBA,GND,PN3,PT30,PN
FBA,GND,PN3,PT5,PN
FBA,GND,PN3,PT6,PN
FBA,GND,PN3,PT7,PN
FBA,GND,PN3,PT8,PN
FBA,GND,PN3,PT1,PN
FBA,GND,PN3,PT10,PN
FBA,GND,PN3,PT11,PN
FBA,GND,PN3,PT12,PN
FBA,GND,PN3,PT14,PN
FBA,GND,PN3,PT15,PN
FBA,GND,PN3,PT16,PN
FBA,GND,PN3,PT18,PN
FBA,GND,PN3,PT20,PN
FBA,GND,PN3,PT23,PN
FBA,GND,PN3,PT27,PN
FBA,GND,PN3,PT29,PN
FBA,GND,PN3,PT3,PN
FBA,GND,PN3,PT30,PN
FBA,GND,PN3,PT5,PN
FBA,GND,PN3,PT6,PN
FBA,GND,PN3,PT7,PN
FBA,GND,PN3,PT8,PN
FBA,GND,PN4,PT1,PN
FBA,GND,PN4,PT10,PN
FBA,GND,PN4,PT11,PN
FBA,GND,PN4,PT12,PN
FBA,GND,PN4,PT14,PN
FBA,GND,PN4,PT15,PN
FBA,GND,PN4,PT16,PN
FBA,GND,PN4,PT18,PN
FBA,GND,PN4,PT20,PN
FBA,GND,PN4,PT23,PN
FBA,GND,PN4,PT27,PN
FBA,GND,PN4,PT29,PN
FBA,GND,PN4,PT3,PN
FBA,GND,PN4,PT30,PN
FBA,GND,PN4,PT5,PN
FBA,GND,PN4,PT6,PN
FBA,GND,PN4,PT7,PN
FBA,GND,PN4,PT8,PN
FBA,GND,PN4,PT1,PN
FBA,GND,PN4,PT10,PN
FBA,GND,PN4,PT11,PN
FBA,GND,PN4,PT12,PN
FBA,GND,PN4,PT14,PN
FBA,GND,PN4,PT15,PN
FBA,GND,PN4,PT16,PN
FBA,GND,PN4,PT18,PN
FBA,GND,PN4,PT20,PN
FBA,GND,PN4,PT23,PN
FBA,GND,PN4,PT27,PN
FBA,GND,PN4,PT29,PN
FBA,GND,PN4,PT3,PN
FBA,GND,PN4,PT30,PN
FBA,GND,PN4,PT5,PN
FBA,GND,PN4,PT6,PN
FBA,GND,PN4,PT7,PN
FBA,GND,PN4,PT8,PN
FBA,GND,PN4,PT1,PN
FBA,GND,PN4,PT10,PN
FBA,GND,PN4,PT11,PN
FBA,GND,PN4,PT12,PN
FBA,GND,PN4,PT14,PN
FBA,GND,PN4,PT15,PN
FBA,GND,PN4,PT16,PN
FBA,GND,PN4,PT18,PN
FBA,GND,PN4,PT20,PN
FBA,GND,PN4,PT23,PN
FBA,GND,PN4,PT27,PN
FBA,GND,PN4,PT29,PN
FBA,GND,PN4,PT3,PN
FBA,GND,PN4,PT30,PN
FBA,GND,PN4,PT5,PN
FBA,GND,PN4,PT6,PN
FBA,GND,PN4,PT7,PN
FBA,GND,PN4,PT8,PN
FBA,GND,PN4,PT1,PN
FBA,GND,PN4,PT10,PN
FBA,GND,PN4,PT11,PN
FBA,GND,PN4,PT12,PN
FBA,GND,PN4,PT14,PN
FBA,GND,PN4,PT15,PN
FBA,GND,PN4,PT16,PN
FBA,GND,PN4,PT18,PN
FBA,GND,PN4,PT20,PN
FBA,GND,PN4,PT23,PN
FBA,GND,PN4,PT27,PN
FBA,GND,PN4,PT29,PN
FBA,GND,PN4,PT3,PN
FBA,GND,PN4,PT30,PN
FBA,GND,PN4,PT5,PN
FBA,GND,PN4,PT6,PN
FBA,GND,PN4,PT7,PN
FBA,GND,PN4,PT8,PN
FBA,GND,PN4,PT1,PN
FBA,GND,PN4,PT10,PN
FBA,GND,PN4,PT11,PN
FBA,GND,PN4,PT12,PN
FBA,GND,PN4,PT14,PN
FBA,GND,PN4,PT15,PN
FBA,GND,PN4,PT16,PN
FBA,GND,PN4,PT18,PN
FBA,GND,PN4,PT20,PN
FBA,GND,PN4,PT23,PN
FBA,GND,PN4,PT27,PN
FBA,GND,PN4,PT29,PN
FBA,GND,PN4,PT3,PN
FBA,GND,PN4,PT30,PN
FBA,GND,PN4,PT5,PN
FBA,GND,PN4,PT6,PN
FBA,GND,PN4,PT7,PN
FBA,GND,PN4,PT8,PN
FBA,GND,PN9,PT1,PN
FBA,GND,PN9,PT10,PN
FBA,GND,PN9,PT11,PN
FBA,GND,PN9,PT12,PN
FBA,GND,PN9,PT14,PN
FBA,GND,PN9,PT15,PN
FBA,GND,PN9,PT16,PN
FBA,GND,PN9,PT18,PN
FBA,GND,PN9,PT20,PN
FBA,GND,PN9,PT23,PN
FBA,GND,PN9,PT27,PN
FBA,GND,PN9,PT29,PN
FBA,GND,PN9,PT3,PN
FBA,GND,PN9,PT30,PN
FBA,GND,PN9,PT5,PN
FBA,GND,PN9,PT6,PN
FBA,GND,PN9,PT7,PN
FBA,GND,PN9,PT8,PN
