Reaction,log_fc,p_value,adj_p_val,Fluxes
3HAD140p,0.00015390224876910363,0.8123991531268748,1.0,Unchanged
3HAD141n5m,0.0,1.0,1.0,Unchanged
3HAD141n5p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
3HAD141n7m,1.9798172510724925,0.9917669449474061,1.0,Unchanged
3HAD142n6m,0.0,1.0,1.0,Unchanged
3HAD142n6p,0.0,1.0,1.0,Unchanged
3HAD160,4.074326782085581e-05,0.6350263239877817,1.0,Unchanged
3HAD160m,-1.5806910918478609e-06,0.7964303032729557,1.0,Unchanged
3HAD160p,0.00015390224876910363,0.8123991531268748,1.0,Unchanged
3HAD161n7m,0.0,1.0,1.0,Unchanged
3HAD161n7p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
3HAD161n9m,1.9798172510724925,0.9917669449474061,1.0,Unchanged
3HAD162n6m,0.0,1.0,1.0,Unchanged
3HAD162n6p,0.0,1.0,1.0,Unchanged
3HAD180,0.0,1.0,1.0,Unchanged
3HAD180m,0.0,1.0,1.0,Unchanged
3HAD180p,5.028294582660819,0.9917669449474061,1.0,Unchanged
3HAD181m,1.9798172510724925,0.9917669449474061,1.0,Unchanged
3HAD181n9m,0.0,1.0,1.0,Unchanged
3HAD181n9p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
3HAD183n6m,0.0,1.0,1.0,Unchanged
3HAD183n6p,0.0,1.0,1.0,Unchanged
3HAD200m,0.0,1.0,1.0,Unchanged
3HAD200p,5.028294582660819,0.9917669449474061,1.0,Unchanged
3HAD201n9p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
3HAD203n6p,3.7061657009995086,0.7647532424227965,1.0,Unchanged
3HAD204n6m,0.0,1.0,1.0,Unchanged
3HAD204n6p,0.0,1.0,1.0,Unchanged
3HAD220p,5.028294582660819,0.9917669449474061,1.0,Unchanged
3HAD221n9p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
3HAD224n6m,0.0,1.0,1.0,Unchanged
3HAD224n6p,2.365072231582645,0.9753043408807641,1.0,Unchanged
3HAD240p,5.028294582660819,0.9917669449474061,1.0,Unchanged
3HAD241n9p,0.4346529235475558,0.8204133823820066,1.0,Unchanged
3HAD244n6m,0.0,1.0,1.0,Unchanged
3HAD244n6p,2.1780698878514153,0.5156382177966408,1.0,Unchanged
3HAD245n6m,0.0,1.0,1.0,Unchanged
3HAD245n6p,0.0002315734974583954,0.47646704794698846,1.0,Unchanged
3HAD260p,5.028294582660819,0.9917669449474061,1.0,Unchanged
3HAD40,2.25600511192014,0.00019525154578122787,0.01386553442917651,Unchanged
3HAD60,1.7240700236135127,0.0005466429957795445,0.024857870965975075,Unchanged
3HAD60m,2.717974950038554,0.9588522504512661,1.0,Unchanged
3HAD60p,8.260848153240895e-06,0.8123991531268748,1.0,Unchanged
3HAD80,1.7240700236135127,0.0005466429957795445,0.024857870965975075,Unchanged
3HAD80m,2.717974950038554,0.9588522504512661,1.0,Unchanged
3HAD80p,8.260848153240895e-06,0.8123991531268748,1.0,Unchanged
3HAO,-1.102051108576634,0.0032730833172741934,0.0722028251776571,Unchanged
3HBCOAHLm,0.0,1.0,1.0,Unchanged
3HCO3_NAt,0.0,1.0,1.0,Unchanged
3HDH100m,2.717974950038554,0.9588522504512661,1.0,Unchanged
3HDH100p,0.00015816062394991383,0.6350263239877817,1.0,Unchanged
3HDH120m,0.0,1.0,1.0,Unchanged
3HDH120p,0.00015816062394991383,0.6350263239877817,1.0,Unchanged
3HDH121n5m,1.9798172510724925,0.9917669449474061,1.0,Unchanged
3HDH121n6m,0.0,1.0,1.0,Unchanged
3HDH121n6p,0.0,1.0,1.0,Unchanged
3HDH140m,2.7276810737514254,0.6949740416821913,1.0,Unchanged
3HDH140p,0.00015390224876910363,0.8123991531268748,1.0,Unchanged
3HDH141n5m,0.0,1.0,1.0,Unchanged
3HDH141n5p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
3HDH141n7m,1.9798172510724925,0.9917669449474061,1.0,Unchanged
3HDH142n6m,0.0,1.0,1.0,Unchanged
3HDH142n6p,0.0,1.0,1.0,Unchanged
3HDH160m,-1.5806910918478609e-06,0.7964303032729557,1.0,Unchanged
3HDH160p,0.00015390224876910363,0.8123991531268748,1.0,Unchanged
3HDH161n7m,0.0,1.0,1.0,Unchanged
3HDH161n7p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
3HDH161n9m,1.9798172510724925,0.9917669449474061,1.0,Unchanged
3HDH162n6m,0.0,1.0,1.0,Unchanged
3HDH162n6p,0.0,1.0,1.0,Unchanged
3HDH180m,0.0,1.0,1.0,Unchanged
3HDH180p,5.028294582660819,0.9917669449474061,1.0,Unchanged
3HDH181m,1.9798172510724925,0.9917669449474061,1.0,Unchanged
3HDH181n9m,0.0,1.0,1.0,Unchanged
3HDH181n9p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
3HDH183n6m,0.0,1.0,1.0,Unchanged
3HDH183n6p,0.0,1.0,1.0,Unchanged
3HDH200m,0.0,1.0,1.0,Unchanged
3HDH200p,5.028294582660819,0.9917669449474061,1.0,Unchanged
3HDH201n9p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
3HDH203n6p,3.7061657009995086,0.7647532424227965,1.0,Unchanged
3HDH204n6m,0.0,1.0,1.0,Unchanged
3HDH204n6p,0.0,1.0,1.0,Unchanged
3HDH220p,5.028294582660819,0.9917669449474061,1.0,Unchanged
3HDH221n9p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
3HDH224n6m,0.0,1.0,1.0,Unchanged
3HDH224n6p,2.815471628724948,0.8123991531268748,1.0,Unchanged
3HDH240p,5.028294582660819,0.9917669449474061,1.0,Unchanged
3HDH241n9p,-0.3938552764977947,0.4032551717886842,1.0,Unchanged
3HDH244n6m,0.0,1.0,1.0,Unchanged
3HDH244n6p,2.1780698878514153,0.5156382177966408,1.0,Unchanged
3HDH245n6m,0.0,1.0,1.0,Unchanged
3HDH245n6p,0.0002315734974583954,0.47646704794698846,1.0,Unchanged
3HDH260p,5.028294582660819,0.9917669449474061,1.0,Unchanged
3HDH60m,2.717974950038554,0.9588522504512661,1.0,Unchanged
3HDH60p,8.260848153240895e-06,0.8123991531268748,1.0,Unchanged
3HDH80m,2.717974950038554,0.9588522504512661,1.0,Unchanged
3HDH80p,8.260848153240895e-06,0.8123991531268748,1.0,Unchanged
3HGLUTCOAm,5.36279243371934,0.10086236377893393,0.8953261880650574,Unchanged
3HIVAcm,0.0,1.0,1.0,Unchanged
3HIVActe,0.0,1.0,1.0,Unchanged
3HIVActm,0.0,1.0,1.0,Unchanged
3HKYNAKGAT,0.0,1.0,1.0,Unchanged
3HLYTCL,0.29888706262350784,0.4637817455817044,1.0,Unchanged
3HPCOAHYDm,2.7355995196844196,1.0,1.0,Unchanged
3HPPDm,2.7355995196844196,1.0,1.0,Unchanged
3M2OPLOXRD,0.27904887223485375,0.45128679288134854,1.0,Unchanged
3M4HDXPAC,0.0005720492687836224,0.47646704794698846,1.0,Unchanged
3M4HPGORx,10.35517384099941,0.9753043408807641,1.0,Unchanged
3M4HPGORy,10.35517384099941,0.9753043408807641,1.0,Unchanged
3M4HPORx,4.250100970803237,1.0,1.0,Unchanged
3MCPST,0.0,1.0,1.0,Unchanged
3MGLUTACc,0.0,1.0,1.0,Unchanged
3MGLUTACte,0.0,1.0,1.0,Unchanged
3MGLUTACtm,0.0,1.0,1.0,Unchanged
3MGLUTRc,0.0,1.0,1.0,Unchanged
3MGLUTRte,0.0,1.0,1.0,Unchanged
3MHISc,0.00014361550887920807,0.8123991531268748,1.0,Unchanged
3MLDAt,0.0031459554359692487,0.34245359251361285,1.0,Unchanged
3MOBt2im,0.0,1.0,1.0,Unchanged
3MOBte,0.0,1.0,1.0,Unchanged
3MOPt2im,0.018957853869715442,0.1544485962005998,1.0,Unchanged
3MOPte,0.0,1.0,1.0,Unchanged
3MOX4HOXMte,0.0,1.0,1.0,Unchanged
3MOX4HOXPGALDOX,0.0,1.0,1.0,Unchanged
3MOX4HOXPGALDOXy,0.0,1.0,1.0,Unchanged
3MOXTYROX,0.0005720492687836224,0.47646704794698846,1.0,Unchanged
3MTPte,0.0,1.0,1.0,Unchanged
