CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
LIT7,LIN2,CYOR_u10m,34HPPOR,0,0.00306085072791215,-0.00306085072791215
LIT7,LIN2,CYOR_u10m,ABUTt4_2_r,0,-1000,1000
LIT7,LIN2,CYOR_u10m,ACACPYRte,0,999.913542906655,-999.913542906655
LIT7,LIN2,CYOR_u10m,ACACPYRtm,0,0.00306085072793394,-0.00306085072793394
LIT7,LIN2,CYOR_u10m,ACBUTte,-999.10427594591,0,-999.10427594591
LIT7,LIN2,CYOR_u10m,ACTLMO,3.38528605403493,0,3.38528605403493
LIT7,LIN2,CYOR_u10m,ADNK1,0,0.00325100829680711,-0.00325100829680711
LIT7,LIN2,CYOR_u10m,ADNt,-1000,0,-1000
LIT7,LIN2,CYOR_u10m,ADNt4,1000,0,1000
LIT7,LIN2,CYOR_u10m,ADPt4,-0.0146200174816613,0,-0.0146200174816613
LIT7,LIN2,CYOR_u10m,AKGACte,0,0.0864570933454161,-0.0864570933454161
LIT7,LIN2,CYOR_u10m,AKGGHTRDtm,0.000107893981407869,0,0.000107893981407869
LIT7,LIN2,CYOR_u10m,AKR1C42,1000,0,1000
LIT7,LIN2,CYOR_u10m,ALAt4,999.921909708525,0,999.921909708525
LIT7,LIN2,CYOR_u10m,ALCD1,-0.0979769364704453,0,-0.0979769364704453
LIT7,LIN2,CYOR_u10m,ALCD21_D,0,999.887187395791,-999.887187395791
LIT7,LIN2,CYOR_u10m,ALCD22_D,1000,0,1000
LIT7,LIN2,CYOR_u10m,ALDD19x,-1.11919711370979,0,-1.11919711370979
LIT7,LIN2,CYOR_u10m,ALDD19y,1.11919711370977,0,1.11919711370977
LIT7,LIN2,CYOR_u10m,ALDD2y,0,9.86061606439537e-05,-9.86061606439537e-05
LIT7,LIN2,CYOR_u10m,ALR2,3.38528605403493,0,3.38528605403493
LIT7,LIN2,CYOR_u10m,ATPt4,0.0167688358836813,0,0.0167688358836813
LIT7,LIN2,CYOR_u10m,BHBACACte,0,999.913542906655,-999.913542906655
LIT7,LIN2,CYOR_u10m,BILDGLCURt5e,0,1000,-1000
LIT7,LIN2,CYOR_u10m,BILGLCURt5e,0,1000,-1000
LIT7,LIN2,CYOR_u10m,CAT,0.0386250738326158,0,0.0386250738326158
LIT7,LIN2,CYOR_u10m,CRNtim,0.0099097305704845,0,0.0099097305704845
LIT7,LIN2,CYOR_u10m,DCYTt,-1000,0,-1000
LIT7,LIN2,CYOR_u10m,DCYTte,1000,0,1000
LIT7,LIN2,CYOR_u10m,DESAT16_1,0,0.000934772052013946,-0.000934772052013946
LIT7,LIN2,CYOR_u10m,DGCHOLt2e,0,-1000,1000
LIT7,LIN2,CYOR_u10m,DGCHOLte,0,1000,-1000
LIT7,LIN2,CYOR_u10m,DHCR241r,0.0003811506692276,0,0.0003811506692276
LIT7,LIN2,CYOR_u10m,DHEASt,999.923909409037,0,999.923909409037
LIT7,LIN2,CYOR_u10m,DHEASt5e,-999.923909409037,0,-999.923909409037
LIT7,LIN2,CYOR_u10m,DHPR,0.00513192351241524,0,0.00513192351241524
LIT7,LIN2,CYOR_u10m,DURIt,-1000,0,-1000
LIT7,LIN2,CYOR_u10m,DURIt3e,1000,0,1000
LIT7,LIN2,CYOR_u10m,EBP2r,0.000381150669227281,0,0.000381150669227281
LIT7,LIN2,CYOR_u10m,ENO,0.99574191498084,0,0.99574191498084
LIT7,LIN2,CYOR_u10m,ESTRADIOLtr,0.0041926573615001,0,0.0041926573615001
LIT7,LIN2,CYOR_u10m,ESTRONEtr,-0.0041926573615001,0,-0.0041926573615001
LIT7,LIN2,CYOR_u10m,EX_asp_L(e),-0.0120954477801067,0,-0.0120954477801067
LIT7,LIN2,CYOR_u10m,EX_glu_L(e),-0.1,0,-0.1
LIT7,LIN2,CYOR_u10m,EX_glyc(e),0,0.000336963213136663,-0.000336963213136663
LIT7,LIN2,CYOR_u10m,EX_isomal(e),0,0.499643110872675,-0.499643110872675
LIT7,LIN2,CYOR_u10m,EX_meoh(e),0.097976936470496,0,0.097976936470496
LIT7,LIN2,CYOR_u10m,FADFADH2tm,0,-0.000934772052005428,0.000934772052005428
LIT7,LIN2,CYOR_u10m,FAE180,0.00211262207316556,0,0.00211262207316556
LIT7,LIN2,CYOR_u10m,FAE181,0,0.000934772052013946,-0.000934772052013946
LIT7,LIN2,CYOR_u10m,FAE200,0.00211262207316556,0,0.00211262207316556
LIT7,LIN2,CYOR_u10m,FAE220,0.00211262207316556,0,0.00211262207316556
LIT7,LIN2,CYOR_u10m,FAE240,0.00211262207316556,0,0.00211262207316556
LIT7,LIN2,CYOR_u10m,FAE260,0.00211262207316556,0,0.00211262207316556
LIT7,LIN2,CYOR_u10m,FATP1t,0,-1000,1000
LIT7,LIN2,CYOR_u10m,FBA3,0.00522711309429269,0,0.00522711309429269
LIT7,LIN2,CYOR_u10m,FORBHBte,-1000,0,-1000
LIT7,LIN2,CYOR_u10m,FUMAC,0,0.00306085072791215,-0.00306085072791215
LIT7,LIN2,CYOR_u10m,GAPD,0.99574191498084,0,0.99574191498084
LIT7,LIN2,CYOR_u10m,GCHOLAt2e,0,1000,-1000
LIT7,LIN2,CYOR_u10m,GLYALDORy,0,-0.000336963213158015,0.000336963213158015
LIT7,LIN2,CYOR_u10m,GLYCt,0,0.000336963213158015,-0.000336963213158015
LIT7,LIN2,CYOR_u10m,GLYtm,-0.0733949789411099,0,-0.0733949789411099
LIT7,LIN2,CYOR_u10m,HACD180,0.00211262207312757,0,0.00211262207312757
LIT7,LIN2,CYOR_u10m,HACD181,0,0.000934772052005428,-0.000934772052005428
LIT7,LIN2,CYOR_u10m,HACD200,0.00211262207312757,0,0.00211262207312757
LIT7,LIN2,CYOR_u10m,HACD220,0.00211262207312757,0,0.00211262207312757
LIT7,LIN2,CYOR_u10m,HACD240,0.00211262207312757,0,0.00211262207312757
