CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
CT26,CN11,ADK3,10FTHFtm,-0.000724568726809593,0,-0.000724568726809593
CT26,CN11,ADK3,5AOPtm,-1.08721319520555e-05,0,-1.08721319520555e-05
CT26,CN11,ADK3,ACGAM6PSi,0,0.0146125621360034,-0.0146125621360034
CT26,CN11,ADK3,ACGAMPM,0,0.0146125621359943,-0.0146125621359943
CT26,CN11,ADK3,ADK1,0.0230117421528326,0,0.0230117421528326
CT26,CN11,ADK3,ALASm,1.08721318976521e-05,0,1.08721318976521e-05
CT26,CN11,ADK3,ATPtn,0,0.0121175994200939,-0.0121175994200939
CT26,CN11,ADK3,BILGLCURtr,-1.35901643716352e-06,0,-1.35901643716352e-06
CT26,CN11,ADK3,BILIRED2,1.35901648720651e-06,0,1.35901648720651e-06
CT26,CN11,ADK3,BILIRUBtr,1.35901643716352e-06,0,1.35901643716352e-06
CT26,CN11,ADK3,CHLPCTD,0,0.00436923880585652,-0.00436923880585652
CT26,CN11,ADK3,CHOLK,0,0.00436923880585652,-0.00436923880585652
CT26,CN11,ADK3,CITt4_2,0,1000,-1000
CT26,CN11,ADK3,CLHCO3tex2,0.00566760739309302,0,0.00566760739309302
CT26,CN11,ADK3,COt,1.35901643716352e-06,0,1.35901643716352e-06
CT26,CN11,ADK3,CPPPGO,1.35901648720651e-06,0,1.35901648720651e-06
CT26,CN11,ADK3,DADK3,0,-0.255849460405102,0.255849460405102
CT26,CN11,ADK3,DHCRD1,0,0.000327689630919314,-0.000327689630919314
CT26,CN11,ADK3,DLD,1.08721319520555e-05,0,1.08721319520555e-05
CT26,CN11,ADK3,DOLMANP_ter,0,0.0116900497088182,-0.0116900497088182
CT26,CN11,ADK3,DOLP_ter,0,0.0233800994176363,-0.0233800994176363
CT26,CN11,ADK3,DOLPMT,0,0.0116900497088027,-0.0116900497088027
CT26,CN11,ADK3,ENO,0,1.52685128515861,-1.52685128515861
CT26,CN11,ADK3,EX_bilglcur(e),1.35901648720651e-06,0,1.35901648720651e-06
CT26,CN11,ADK3,EX_co(e),1.35901643716352e-06,0,1.35901643716352e-06
CT26,CN11,ADK3,EX_gal(e),0.998888183428562,0,0.998888183428562
CT26,CN11,ADK3,EX_glu_L(e),-0.000426092681972939,0,-0.000426092681972939
CT26,CN11,ADK3,EX_h2o2(e),0.00323341471691175,0,0.00323341471691175
CT26,CN11,ADK3,EX_lac_L(e),0.000626493896334068,0,0.000626493896334068
CT26,CN11,ADK3,FBA,0,0.7660471971069,-0.7660471971069
CT26,CN11,ADK3,FCLTm,1.35901648720651e-06,0,1.35901648720651e-06
CT26,CN11,ADK3,FCYTOB5OXRr,0,0.000962438109635258,-0.000962438109635258
CT26,CN11,ADK3,FE2tm,1.35901648720651e-06,0,1.35901648720651e-06
CT26,CN11,ADK3,GALM2,-0.998888183428562,0,-0.998888183428562
CT26,CN11,ADK3,GAPD,0,1.52685128515861,-1.52685128515861
CT26,CN11,ADK3,GF6PTA,0,0.0146125621360034,-0.0146125621360034
CT26,CN11,ADK3,H2Otg,0,0.0263026118448124,-0.0263026118448124
CT26,CN11,ADK3,HEX12,0,0.802465949375794,-0.802465949375794
CT26,CN11,ADK3,HISt4,1000,0,1000
CT26,CN11,ADK3,HMBS,1.35901648720651e-06,0,1.35901648720651e-06
CT26,CN11,ADK3,HOXG,1.35901648720651e-06,0,1.35901648720651e-06
CT26,CN11,ADK3,Htg,0,0.0175350745631704,-0.0175350745631704
CT26,CN11,ADK3,ILEt4,0,0.1,-0.1
CT26,CN11,ADK3,MAN6PI,0,-0.00876753728164203,0.00876753728164203
CT26,CN11,ADK3,NADH2_u10m,0.000119819094327474,0,0.000119819094327474
CT26,CN11,ADK3,NDP7er,1.35901648720651e-06,0,1.35901648720651e-06
CT26,CN11,ADK3,NDP7g,0,0.00876753728160205,-0.00876753728160205
CT26,CN11,ADK3,NDPK9,0.00111181657142186,0,0.00111181657142186
CT26,CN11,ADK3,PGK,0,-1.52685128515861,1.52685128515861
CT26,CN11,ADK3,PGM,0,-1.52685128515861,1.52685128515861
CT26,CN11,ADK3,PHEMEtm,1.35901643716352e-06,0,1.35901643716352e-06
CT26,CN11,ADK3,PItg,0,0.00876753728160205,-0.00876753728160205
CT26,CN11,ADK3,PMANM,0,-0.0263026118448124,0.0263026118448124
CT26,CN11,ADK3,PPAer,0.0256974788390156,0,0.0256974788390156
CT26,CN11,ADK3,PPBNGS,5.43606594882606e-06,0,5.43606594882606e-06
CT26,CN11,ADK3,PPPG9tm,1.35901643716352e-06,0,1.35901643716352e-06
CT26,CN11,ADK3,PPPGOm,6.79508243603257e-07,0,6.79508243603257e-07
CT26,CN11,ADK3,PROt4,0.00120778059097578,0,0.00120778059097578
CT26,CN11,ADK3,UAGDP,0,0.0146125621360034,-0.0146125621360034
CT26,CN11,ADK3,UDPGD,1.35901648720651e-06,0,1.35901648720651e-06
CT26,CN11,ADK3,UDPGLCAter,-1000,0,-1000
CT26,CN11,ADK3,UGLCNACtg,0,0.00876753728164203,-0.00876753728164203
CT26,CN11,ADK3,UGT1A10r,1.35901643716352e-06,0,1.35901643716352e-06
CT26,CN11,ADK3,UMPtr,999.999998640983,0,999.999998640983
CT26,CN11,ADK3,UPP3S,1.35901648720651e-06,0,1.35901648720651e-06
CT26,CN11,ADK3,UPPDC1,1.35901648720651e-06,0,1.35901648720651e-06
CT26,CN11,ADK3,URIK4,0,-0.00024532683050893,0.00024532683050893
CT26,CN11,ADK3,Zn2t,0,-1000,1000
CT26,CN11,ADK3,ADPtn,0,0.0121175994200939,-0.0121175994200939
CT26,CN11,ADK3,EX_co2(e),0,-0.00381969954264605,0.00381969954264605
CT26,CN11,ADK3,EX_pyr(e),0,1.53187095349374,-1.53187095349374
