id	filename	md5	size	state
eb3ec248-9c3e-4c94-afa0-f3c50eeec35a	bdca9ec9-c82d-4713-964e-0fd765ba1cd0.FPKM-UQ.txt.gz	6822c5a54231a30bb2761db71a1f501f	529312	released
d6348bfa-9aab-4acd-aaec-d99f026bc157	f8f2d5be-b4b1-48d6-9941-9607dfa65c5c.FPKM-UQ.txt.gz	e07c1e392f7ce2fbff9061aa5c6aae25	520861	released
ea4bdeaa-3805-46fa-89ed-0dc581387551	0b92d208-9700-44d4-ba58-2bfe2001c112.FPKM-UQ.txt.gz	d42c067b2448e62a1b12afb65e0fe66e	527964	released
f5bc849e-93e1-4c5b-bc29-55ecad09a423	0edf649b-505c-4363-8b74-6066f5efb48f.FPKM-UQ.txt.gz	bf2c3ae3070be38b41d90602ad74be51	501554	released
d7596cbc-eb6b-4f84-a1cb-5d73eec2e2e7	49d7a9c5-914d-400b-8e23-6ef0ecacce93.FPKM-UQ.txt.gz	9d94d1f9f9e78004b491f23e8ef8a194	501008	released
7557e430-8036-4b17-9747-d0440c90f63f	fe30b98a-9a64-4698-8d6f-cdaa8d7e7050.FPKM-UQ.txt.gz	cd1acdffb2947dc503cc6b3b0b64724a	508244	released
458a971c-5b6a-4584-859a-c77d98d31e27	818cabd7-e726-4153-8922-688aed1c9f4c.FPKM-UQ.txt.gz	c8db487eb3ee0ae80b54d41b94874c52	505501	released
496569f4-58f3-4218-b05e-f2eb5ab70e3b	9eb9e10b-30ff-44db-a0e9-06fb53e33641.FPKM-UQ.txt.gz	bf1fc3cf6da930cd55a19cc53b7b3ab9	512317	released
6617d6b4-07ef-4b8a-b984-d873aeec0441	0fbf4163-6783-468e-9bb8-1e43956e4533.FPKM-UQ.txt.gz	3c2339e690c688d3ca11373df8c91d15	522224	released
096198b2-1894-47bf-bba1-da2ba9650ea7	81eb8510-d674-4bb4-bf67-b3a59ca2836b.FPKM-UQ.txt.gz	12aa64223b1a005fee5b8914b160d655	540558	released
18a43833-3c37-4996-ae88-57d022dd6bdc	c839fd1f-0eaf-4702-a06b-d357f0b3deef.FPKM-UQ.txt.gz	313cdabd9fefe354bb0685767f2adc42	533024	released
9910540e-c6a5-408c-9e23-d1b5787de548	dc2f6c9f-0b25-47da-8bbc-4f1353c75799.FPKM-UQ.txt.gz	577dfb42a8fe0ee7f6fe9fc12c85f4f5	522794	released
003ca95b-ff85-44f4-8357-697391eaccad	7d4d3a36-6f6a-4e91-8849-cc871fb6cf4e.FPKM-UQ.txt.gz	60d5dd12fddde9c075f21ba3cb2a4bbf	528713	released
eef252df-5fe8-4cb4-9867-5f6a9e47a145	7708f336-278b-400d-817e-d94457856a25.FPKM-UQ.txt.gz	1dc2b3ad7a50d5cd5c108990355eba68	532855	released
eac1f3b2-774d-4769-9f9c-a1e5e20cdf59	837af0ea-4dfd-4ba0-bbfc-ffa25b9e259e.FPKM-UQ.txt.gz	ed26711a747a2e755438fba3a85cef36	531688	released
32fed78e-b8d2-46bd-b1a2-2e3e26c8b522	b4e20023-e2cd-4b02-b6c3-16133a6d3ca7.FPKM-UQ.txt.gz	20732c809b50da9defccb713bdd8e2a7	519910	released
fe7a35c4-c77f-4217-92de-65304331deba	86991d9e-05b0-4c12-9326-48a8ea9532c8.FPKM-UQ.txt.gz	006b08793f2fab43938919a77461e38c	494324	released
00749066-a4b1-4f5a-bca9-5e4699fb179f	ecff92ce-841b-42cd-8a80-9066a44ab9fe.FPKM-UQ.txt.gz	eeb64317bc275ff866f084e915feccb1	524988	released
d4add82c-d4e0-48b2-a3f6-167b114ff1ca	eb030e6a-7561-4087-8134-82f8a806c573.FPKM-UQ.txt.gz	376eb238bc02a006cb2f52eb9bd1068a	518997	released
5caa1364-0b32-4f9c-9731-719e39bdded9	c132d760-0597-45cb-918b-ae271d26039b.FPKM-UQ.txt.gz	2dd125e655202e0930c3066004c2d6bb	510916	released
