"entrezgene_id"	"V2"
7105	329952.356845
64102	0
8813	569695.529857
57147	53536.7787175
55732	16545.9330614
2268	33184.0261126
3075	521972.996249
2519	548844.239195
2729	112096.790277
4800	263179.324727
90529	34118.332185
57185	426431.66093
81887	208550.695413
22875	173879.044024
6405	410119.716027
1080	5693.74755347
54467	172803.241843
1595	29864.921814
889	125766.293276
5893	30077.6630903
NA	137.274405244
572	462943.679153
51056	413054.68381
4267	624001.096445
9957	9103.30248078
26	5619.30001747
51384	979.513148573
23072	457.456838882
8379	116313.103549
3927	803369.959114
29916	156464.372245
55365	58760.6531071
4074	659642.587886
90293	7069.2812958
56603	8916.98769391
3382	95170.9146879
79007	100551.510489
57679	53495.6753235
843	84805.9643167
8837	159929.379991
7035	6693.09405935
55471	60684.9626262
10181	177259.080012
9108	40455.4167788
6542	633805.937339
381	1109221.75414
23098	20963.1341189
26073	1156185.10257
23129	547066.35073
204	427737.93826
952	1736.7798883
2288	484005.914133
23028	348777.918212
10180	172709.562703
84254	95398.6482258
5965	158410.666779
55610	62536.0663171
126393	23270.9612551
115703	13194.1233706
4706	568784.029038
5166	1471504.26371
85413	445.939787909
51364	23250.7710646
340273	0
170302	908.703103978
10165	190352.263221
7982	111337.171271
996	355231.775116
6521	164.770829522
799	1005.77331845
3052	180446.686383
1856	204949.36988
64063	215687.36281
5976	556485.037775
8935	106946.526737
292	2655051.42166
55013	79801.8796193
3207	2139.78289071
5439	413605.587962
56919	82386.7429544
4222	3969.00688341
221981	19714.7767333
3980	56080.2622061
79657	141278.161279
6296	5976.9063106
81691	15316.6514765
57019	179078.015101
56928	70538.5846975
80256	78836.5045865
51226	113736.52933
5577	20376.4430162
10943	70494.3094955
1387	199054.064406
9256	66521.1649388
4353	329.417045067
5444	205.071416121
6936	98192.9221261
84058	102242.585001
54677	421428.803151
5244	2169.91500036
55904	278304.18901
57414	2435585.07083
30812	12383.1301146
25998	193332.170854
7748	75380.0713936
23077	150972.689127
26224	202225.319065
3683	26292.2341445
5164	288103.002916
3675	3829315.91797
7543	110085.839884
3920	1458474.14598
3674	4760.34631519
51666	7882.2238118
51573	638167.758226
55049	103830.639732
9244	711712.784395
114881	77013.7403029
26022	714840.290731
51087	6036.50671758
3883	0
9020	62968.8393563
6833	2998.91985333
10368	0
54972	53235.8740101
163	1293070.55698
6863	153.80356209
10127	112389.411751
6376	402204.30967
64847	336792.048933
8913	3708.64759791
51330	2652713.28792
1750	336.771383273
4293	31391.9204488
5898	325242.706427
55971	219813.306966
80853	41878.9321642
2115	163822.54621
55750	82541.5112337
221	191863.653221
55001	61289.3605351
57157	48296.0973949
10344	4524.35180948
9855	21295.5560511
10083	118.426233779
79017	1441177.70729
10926	22492.9739157
6915	8837.2343875
3475	58239.0773255
56891	269.120597986
1352	73327.6422783
9569	337482.03412
54623	838165.30936
27072	276273.389493
9912	199490.362509
60528	233952.452665
85477	4047.29779633
414	502115.641288
8228	189621.153265
8735	45.7365136599
79602	226208.773803
51265	6649.22432642
151531	2749.63527438
10942	2362.02237094
57787	127248.597467
8842	10429.3463056
115098	657555.813089
90273	9216.05028035
5048	532883.487343
4843	8761.49946805
1770	342.027238194
9703	644120.990825
9058	0
8522	41947.1348224
79090	254900.47327
4145	7713.57734242
1087	0
974	8795.19754293
6329	5985.78771536
54879	30215.9622354
8277	159.11294533
5080	1885.84684223
113000	131085.737282
64285	329086.790067
55692	84396.716286
9254	10334.6651655
8938	140702.081179
115939	745693.122867
9091	286111.43624
57585	39258.5015833
7005	289618.469612
6401	4496.63247352
55735	131222.790605
2328	8720.65752919
29116	508478.125974
27035	7807.79617059
1870	4150.5823287
5689	1222020.56866
6853	43706.4766234
3720	45427.8701311
6792	24003.5030634
57172	3038.36752853
728642	19148.7234249
65220	229176.916786
7021	0
83741	0
9940	3900.53802176
9265	110242.834216
53616	2975.46033719
6856	1072664.1351
1534	232414.066018
9043	304095.522598
1951	6907.35755243
10157	26691.5344905
55200	43284.5104505
51188	211145.691364
84954	318866.535754
4257	1419432.89815
1407	103486.280109
8993	0
4784	839027.278524
6482	619450.903064
64386	4926.48540133
9235	87593.9324461
5310	31479.3697702
23542	7873.40790312
9862	237326.716826
23221	477275.36008
54497	135459.291661
7095	666067.200082
6224	6139016.82
7812	3656801.97558
9690	205975.331777
5980	59244.7607606
10178	28754.3964729
5081	0
10747	3142.20930615
389434	813302.549347
199870	96889.6863052
80342	7418.76939289
29954	59108.7428298
51534	107403.429132
51085	75806.6613521
9031	527568.940686
10048	416354.651916
51513	26665.1580874
83932	29500.2836329
51603	207295.854225
8798	73151.01496
7756	177595.731761
7384	1282217.52113
83930	185662.264979
928	2800474.65299
57467	300726.768914
9918	182142.870132
25900	16631.4770935
2696	7235.0026978
51533	29683.7765898
56920	36797.4485171
11188	372509.440418
23166	71662.8145276
80199	181512.811837
6540	12045.033712
3423	1055584.76624
5646	7154.82339802
7752	21726.3018475
920	176268.882911
10233	95272.3927562
695	13836.7399562
3077	86730.5739664
22955	288748.670059
2534	598511.899587
3097	155886.000007
2326	3063.43219284
6924	269966.64805
11313	868763.202523
1185	71109.4741655
9902	1300831.24772
654364	8189.63689197
6534	198.392934566
10867	297394.180054
55727	116736.645772
9546	54093.6761357
54903	54330.7500118
51099	144732.837006
3730	333457.854123
26993	176423.250064
54799	69157.5655831
51096	513849.730969
54476	214689.182098
54902	314571.440218
5725	817395.656149
8193	665.456745312
9066	79704.8141476
23395	112372.595651
5286	208163.262087
5329	144506.469767
54443	12896.1677371
58525	130516.563504
23637	263029.137553
2844	263029.137553
1634	327721.330635
54814	141312.35059
5536	269360.477119
23177	58763.1988311
8491	160530.458878
27033	1572.46096693
7305	482474.482599
57146	296851.697603
2556	554.030289009
672	19266.3686813
2067	258301.718279
933	32814.6230164
7869	145492.623423
51360	109946.029267
4007	69640.5578972
4057	22494.7940192
2137	72024.1837836
9971	0
60481	575735.983927
240	817193.209519
8284	92.057843779
57658	393538.546765
55148	260824.194235
11183	149611.062683
30845	35639.9612282
5704	695722.519972
23324	334666.041717
57709	55.5275122338
5010	7846.83743567
51629	842072.321453
9961	1578914.85954
51667	438496.428429
5238	138955.385078
112611	52507.4844494
1195	249885.034069
55703	48835.1954118
23357	114314.365637
9604	277745.732371
1774	166916.414356
1663	22539.7338664
50865	453119.414176
9052	1687513.43959
10046	83342.0147932
923	13500.4316361
10460	19705.7044233
23376	339513.688385
23649	56189.7112734
23144	152467.602337
823	1108969.0927
55	22576.7342771
4190	727814.976596
10463	277158.23385
10903	100314.629625
1355	208418.150211
440193	39142.7961335
10138	57036.7575983
10771	700749.922953
