CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
PT12,PN4,GND,25HVITD3t,0,NaN,NaN
PT12,PN4,GND,2AMACSULT,0,NaN,NaN
PT12,PN4,GND,2AOBUTtm,0.000765500318948398,NaN,NaN
PT12,PN4,GND,2MCITt,0.000265453647216418,NaN,NaN
PT12,PN4,GND,335TRITHYRt5e,0,NaN,NaN
PT12,PN4,GND,34DHMORx,-1000,NaN,NaN
PT12,PN4,GND,34DHMORy,1000,NaN,NaN
PT12,PN4,GND,34DHOXMANDte,0,NaN,NaN
PT12,PN4,GND,34DHPHAMT,0,NaN,NaN
PT12,PN4,GND,34DHPLACOX,0,NaN,NaN
PT12,PN4,GND,34DHPLACOXy,0,NaN,NaN
PT12,PN4,GND,34DHXMANDACOX,0,NaN,NaN
PT12,PN4,GND,34DHXMANDACOXy,0,NaN,NaN
PT12,PN4,GND,3DSPHR,3.64512049458425e-05,0.000872188265195189,-0.000835737060249346
PT12,PN4,GND,3HAD100,0.00134697628221238,0.0282011196890185,-0.0268541434068061
PT12,PN4,GND,3HAD120,0.00134697628221238,0.0282011196890185,-0.0268541434068061
PT12,PN4,GND,3HAD140,0.00134697628221238,0.0282011196890185,-0.0268541434068061
PT12,PN4,GND,3HAD241n9p,0,0,0
PT12,PN4,GND,3HAD40,0.00134697628221238,0.0282011196890185,-0.0268541434068061
PT12,PN4,GND,3HAD60,0.00134697628221238,0.0282011196890185,-0.0268541434068061
PT12,PN4,GND,3HAD80,0.00134697628221238,0.0282011196890185,-0.0268541434068061
PT12,PN4,GND,3HDH224n6p,0,0,0
PT12,PN4,GND,3HGLUTCOAm,0.00489654793685221,NaN,NaN
PT12,PN4,GND,3HLYTCL,0.0239855146588768,NaN,NaN
PT12,PN4,GND,3M4HDXPAC,0,NaN,NaN
PT12,PN4,GND,3M4HPORx,0.00550829845394674,0,0.00550829845394674
PT12,PN4,GND,3M4HPORy,-0.00550829845394674,0,-0.00550829845394674
PT12,PN4,GND,3MLDAt,0,NaN,NaN
PT12,PN4,GND,3MOX4HOXMte,0,NaN,NaN
PT12,PN4,GND,3MOX4HOXPGALDOX,0,NaN,NaN
PT12,PN4,GND,3MOX4HOXPGALDOXy,0,NaN,NaN
PT12,PN4,GND,3MOXTYROX,0,NaN,NaN
PT12,PN4,GND,3OAR100,0.00134697628221238,0.0282011196890185,-0.0268541434068061
PT12,PN4,GND,3OAR120,0.00134697628221238,0.0282011196890185,-0.0268541434068061
PT12,PN4,GND,3OAR140,0.00134697628221238,0.0282011196890185,-0.0268541434068061
PT12,PN4,GND,3OAR40,0.00134697628221238,0.0282011196890185,-0.0268541434068061
PT12,PN4,GND,3OAR60,0.00134697628221238,0.0282011196890185,-0.0268541434068061
PT12,PN4,GND,3OAR80,0.00134697628221238,0.0282011196890185,-0.0268541434068061
PT12,PN4,GND,3OAS100,0.00134697628221238,0.0282011196890185,-0.0268541434068061
