CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
PT12,PN24,GND,25HVITD3t,0,NaN,NaN
PT12,PN24,GND,2AMACSULT,0,0,0
PT12,PN24,GND,2AOBUTtm,0.000765500318948398,NaN,NaN
PT12,PN24,GND,2MCITt,0.000265453647216418,0,0.000265453647216418
PT12,PN24,GND,335TRITHYRt5e,0,NaN,NaN
PT12,PN24,GND,34DHMORx,-1000,NaN,NaN
PT12,PN24,GND,34DHMORy,1000,NaN,NaN
PT12,PN24,GND,34DHOXMANDte,0,NaN,NaN
PT12,PN24,GND,34DHPHAMT,0,NaN,NaN
PT12,PN24,GND,34DHPLACOX,0,NaN,NaN
PT12,PN24,GND,34DHPLACOXy,0,NaN,NaN
PT12,PN24,GND,34DHXMANDACOX,0,NaN,NaN
PT12,PN24,GND,34DHXMANDACOXy,0,NaN,NaN
PT12,PN24,GND,3DSPHR,3.64512049458425e-05,4.28381690544827e-05,-6.38696410864017e-06
PT12,PN24,GND,3HAD100,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3HAD120,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3HAD140,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3HAD241n9p,0,0,0
PT12,PN24,GND,3HAD40,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3HAD60,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3HAD80,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3HDH224n6p,0,0,0
PT12,PN24,GND,3HGLUTCOAm,0.00489654793685221,NaN,NaN
PT12,PN24,GND,3HLYTCL,0.0239855146588768,0,0.0239855146588768
PT12,PN24,GND,3M4HDXPAC,0,NaN,NaN
PT12,PN24,GND,3M4HPORx,0.00550829845394674,NaN,NaN
PT12,PN24,GND,3M4HPORy,-0.00550829845394674,NaN,NaN
PT12,PN24,GND,3MLDAt,0,NaN,NaN
PT12,PN24,GND,3MOX4HOXMte,0,NaN,NaN
PT12,PN24,GND,3MOX4HOXPGALDOX,0,NaN,NaN
PT12,PN24,GND,3MOX4HOXPGALDOXy,0,NaN,NaN
PT12,PN24,GND,3MOXTYROX,0,NaN,NaN
PT12,PN24,GND,3OAR100,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3OAR120,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3OAR140,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3OAR40,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3OAR60,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3OAR80,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3OAS100,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3OAS120,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3OAS140,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3OAS60,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3OAS80,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,3OHGLUTACm,0.00489654793685221,NaN,NaN
PT12,PN24,GND,3OHGLUTACOAT3t,0.00489654793682348,NaN,NaN
PT12,PN24,GND,3OHGLUTACtm,0.00489654793685221,NaN,NaN
PT12,PN24,GND,41R2A1H12BOOX,0,NaN,NaN
PT12,PN24,GND,42A12BOOX,0,NaN,NaN
PT12,PN24,GND,4HOXPACDOX,0,NaN,NaN
PT12,PN24,GND,4HOXPACDOXy,0,NaN,NaN
PT12,PN24,GND,4MPTNLte,0,0.00144252832808434,-0.00144252832808434
PT12,PN24,GND,4MPTNLtm,0,-0.00144252832808434,0.00144252832808434
PT12,PN24,GND,5AOPtm,0,0,0
PT12,PN24,GND,7DHCHSTEROLtr,0,NaN,NaN
PT12,PN24,GND,A_MANASEly,0,NaN,NaN
PT12,PN24,GND,AACTOOR,0,NaN,NaN
PT12,PN24,GND,AACTtm,0,NaN,NaN
PT12,PN24,GND,AAPSAS,0.00489654793685221,NaN,NaN
PT12,PN24,GND,AASAD3m,0.00489654793685221,NaN,NaN
PT12,PN24,GND,AATA,0.00489654793682348,NaN,NaN
PT12,PN24,GND,ABUTt2r,999.96578929251,NaN,NaN
PT12,PN24,GND,ABUTt4_2_r,-999.96578929251,0,-999.96578929251
PT12,PN24,GND,ACACLACte,0.00916338032834574,NaN,NaN
PT12,PN24,GND,ACACPYRte,-0.00916338032834574,NaN,NaN
PT12,PN24,GND,ACACT1rm,0.000255166772944904,0.00895504695154159,-0.00869988017859669
PT12,PN24,GND,ACACT224n6p,0,0,0
PT12,PN24,GND,ACCOAC,0.00808185769327429,0.00969583135523453,-0.00161397366196024
PT12,PN24,GND,ACGAM6PSi,0,0.0153458727758207,-0.0153458727758207
PT12,PN24,GND,ACGAMK,0,0,0
PT12,PN24,GND,ACGAMPM,0,0.0153458727758107,-0.0153458727758107
PT12,PN24,GND,ACGAMtly,0,0,0
PT12,PN24,GND,ACHe,0,NaN,NaN
PT12,PN24,GND,ACHVESSEC,0,NaN,NaN
PT12,PN24,GND,ACITL,0.00942883397548667,NaN,NaN
PT12,PN24,GND,ACLYSHYc,0,NaN,NaN
PT12,PN24,GND,ACLYSt,0,NaN,NaN
PT12,PN24,GND,ACMAT1,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,ACNAM9PL,0,0,0
PT12,PN24,GND,ACNAMlt,0,NaN,NaN
PT12,PN24,GND,ACNAMPH,0,0,0
PT12,PN24,GND,ACOAD241n9p,0,0,0
PT12,PN24,GND,ACOATA,0.00134697628221238,0.0013851187650335,-3.81424828211189e-05
PT12,PN24,GND,ACONTa,-0.00942883397544847,NaN,NaN
PT12,PN24,GND,ACONTb,0.00942883397544847,0.0522804160643773,-0.0428515820889288
PT12,PN24,GND,ACP1_FMN,0,0,0
PT12,PN24,GND,ADHAPtx,0,0,0
PT12,PN24,GND,ADK1,0.0160013740807647,NaN,NaN
PT12,PN24,GND,ADNCYC,0,0,0
PT12,PN24,GND,ADNK1,0.000265453647167937,NaN,NaN
PT12,PN24,GND,ADSK,0,0,0
PT12,PN24,GND,ADSL1,0.000307795913830441,0.000163853669270891,0.00014394224455955
PT12,PN24,GND,ADSL2,0.000403718491640287,0.000276583759002221,0.000127134732638066
PT12,PN24,GND,ADSS,0.000307795913830441,0.000163853669270891,0.00014394224455955
PT12,PN24,GND,AGLPC,0,0,0
PT12,PN24,GND,AGLPH,0,0,0
PT12,PN24,GND,AGLPR,0,0,0
PT12,PN24,GND,AGLPT,0,0,0
