CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
PT30,PN25,GND,2AMACSULT,0,NaN,NaN
PT30,PN25,GND,2AOBUTtm,0.0939902118234386,0.0161121676017046,0.0778780442217339
PT30,PN25,GND,2DR1PP,0,NaN,NaN
PT30,PN25,GND,2MCITt,0.0635867996522848,NaN,NaN
PT30,PN25,GND,335TRITHYRt5e,0,NaN,NaN
PT30,PN25,GND,34DHMORx,0.0592654565533621,1000,-999.940734543447
PT30,PN25,GND,34DHMORy,-0.0592654565533621,-1000,999.940734543447
PT30,PN25,GND,34DHOXMANDte,0,0,0
PT30,PN25,GND,34DHPHAMT,0,0,0
PT30,PN25,GND,34DHPLACOX,0,0,0
PT30,PN25,GND,34DHPLACOXy,0,0,0
PT30,PN25,GND,34DHXMANDACOX,0,0,0
PT30,PN25,GND,34DHXMANDACOXy,0,0,0
PT30,PN25,GND,3DSPHR,0.000336074566039825,4.92991165465244e-05,0.0002867754494933
PT30,PN25,GND,3HAD100,0.012418916471569,0.00182174336406309,0.010597173107506
PT30,PN25,GND,3HAD100m,0,NaN,NaN
PT30,PN25,GND,3HAD120,0.012418916471569,0.00182174336406309,0.010597173107506
PT30,PN25,GND,3HAD140,0.012418916471569,0.00182174336406309,0.010597173107506
PT30,PN25,GND,3HAD140m,0,NaN,NaN
PT30,PN25,GND,3HAD241n9p,0,0,0
PT30,PN25,GND,3HAD40,0.012418916471569,0.00182174336406309,0.010597173107506
PT30,PN25,GND,3HAD60,0.012418916471569,0.00182174336406309,0.010597173107506
PT30,PN25,GND,3HAD60m,0,NaN,NaN
PT30,PN25,GND,3HAD80,0.012418916471569,0.00182174336406309,0.010597173107506
PT30,PN25,GND,3HAD80m,0,NaN,NaN
PT30,PN25,GND,3HDH100m,0,NaN,NaN
PT30,PN25,GND,3HDH140m,0,NaN,NaN
PT30,PN25,GND,3HDH224n6p,0,NaN,NaN
PT30,PN25,GND,3HDH60m,0,NaN,NaN
PT30,PN25,GND,3HDH80m,0,NaN,NaN
PT30,PN25,GND,3HLYTCL,0,0,0
PT30,PN25,GND,3M4HDXPAC,0,0,0
PT30,PN25,GND,3M4HPORx,-1000,-0.125901286848261,-999.874098713152
PT30,PN25,GND,3M4HPORy,1000,0.125901286848261,999.874098713152
PT30,PN25,GND,3MHISt1,-0.115471999680153,NaN,NaN
PT30,PN25,GND,3MHISt2,-0.0104850805648766,NaN,NaN
PT30,PN25,GND,3MHISt3,-0.104986919115277,NaN,NaN
PT30,PN25,GND,3MLDAt,0.0645408926167192,0,0.0645408926167192
PT30,PN25,GND,3MOX4HOXMte,0,0,0
PT30,PN25,GND,3MOX4HOXPGALDOX,0,0,0
PT30,PN25,GND,3MOX4HOXPGALDOXy,0,0,0
PT30,PN25,GND,3MOXTYROX,0,0,0
PT30,PN25,GND,3OAR100,0.012418916471569,0.00182174336406309,0.010597173107506
PT30,PN25,GND,3OAR120,0.012418916471569,0.00182174336406309,0.010597173107506
PT30,PN25,GND,3OAR140,0.012418916471569,0.00182174336406309,0.010597173107506
PT30,PN25,GND,3OAR40,0.012418916471569,0.00182174336406309,0.010597173107506
PT30,PN25,GND,3OAR60,0.012418916471569,0.00182174336406309,0.010597173107506
PT30,PN25,GND,3OAR80,0.012418916471569,0.00182174336406309,0.010597173107506
PT30,PN25,GND,3OAS100,0.012418916471569,0.00182174336406309,0.010597173107506
